"file_path","bytes","sha256","media_type","role","scope","authority_basis","public_caveat","supersession"
"BUILD_LOG_SANITIZATION.md","561","107B49ECD46144D8F2B99EBF10ECA7B6AB5DB018B6D7A88660A8A8CB91C9931D","text/markdown","public checkpoint documentation and QA evidence","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"CHECKPOINT_README.md","802","19AE23D9D4BC01D0B3978A9EFDBDA19F0C4331FC9B2E38372EDB233D056120A6","text/markdown","public checkpoint documentation and QA evidence","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"CONTINUATION_CURSOR.md","359","BB1ABDE6C0A37D4197851861CCB382FF47212CC1B2A9A35930B4C4A7BB976B49","text/markdown","public checkpoint documentation and QA evidence","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"drafts/SGA1_I_5_English_source_draft.texfrag","8801","D0959C14AEC3D333EDE96AFFBC6FA8320A223B0A5F2B482B7DCE0268868E8FF9","application/x-tex","current editable source-audited section translation fragment","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"drafts/SGA1_I_6_English_source_draft.texfrag","2168","101CD6F1FC9C46E754E3AD31903863FCA2418DCF31A2E91D47637DF4815291EF","application/x-tex","current editable source-audited section translation fragment","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"drafts/SGA1_I_7_English_source_draft.texfrag","13003","9158A7291A27FD6346D2678A91B359C92A4BDA71CD93D2C24BCBD16856E78F01","application/x-tex","current editable source-audited section translation fragment","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"drafts/SGA1_I_8_English_source_draft.texfrag","7567","4C25DB6731B4AC26CBDB65E8F5EA2B289A95CA7ADACAC7DD0464451B81F5BCA8","application/x-tex","current editable source-audited section translation fragment","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"drafts/SGA1_I_9_1_English_source_draft.texfrag","2848","BBDE49C52927FE7817B5B5D788488144B21DA1B5481CDFF8D4F5212D8098A4F8","application/x-tex","current editable source-audited section translation fragment","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/BUILD_SOURCE_RENDER_REVIEW_SUMMARY_LOCAL_SEAL_I_9_1.md","2957","833039FC8B324060C73B3C71036B75117F8EAA6A10A43F361088D66CADB63B59","text/markdown","public checkpoint documentation and QA evidence","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/build/COMPILE_PASS1_SANITIZED_FULL.console.txt","13947","7109A82914B03EADCBF0C243FB9E00034D3A4F192D52BEFB79F47E06A895D574","text/plain","path-scrubbed full compiler log","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/build/COMPILE_PASS1_SANITIZED_FULL.log","32761","80340868445064CD5CF766AC6D43EB061A43B544688551401A85D75E6478447C","text/plain","path-scrubbed full compiler log","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/build/COMPILE_PASS2_SANITIZED_FULL.console.txt","9208","41F677B1F483CC36218B5293851D49A21CC47EEFD2B8AD6906F87132E261EEAE","text/plain","path-scrubbed full compiler log","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/build/COMPILE_PASS2_SANITIZED_FULL.log","28105","5779AC32EA8EBFFAE12F355FC08C1234EC6BE13CCF12125E5A50E72F1BA8B5EA","text/plain","path-scrubbed full compiler log","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/build/COMPILE_PASS3_SANITIZED_FULL.console.txt","9208","41F677B1F483CC36218B5293851D49A21CC47EEFD2B8AD6906F87132E261EEAE","text/plain","path-scrubbed full compiler log","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/build/COMPILE_PASS3_SANITIZED_FULL.log","28105","5779AC32EA8EBFFAE12F355FC08C1234EC6BE13CCF12125E5A50E72F1BA8B5EA","text/plain","path-scrubbed full compiler log","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/PREDECESSOR_AND_CUMULATIVE_MACHINE_VALIDATION.txt","472","9A5954F921E4822E25A70B111D10FD0AB791E4870709D7F57D90C33C4FDAA534","text/plain","cumulative historical/current machine-evidence validation receipt","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/predecessor_i8_r4_machine_controls/PUBLIC_ADVERSE_AND_REJECTED_CHOICES_I_8.csv","4734","7A0A107BC1B88E49FDB64211D1932A63D5256C5448726BD1C2E367B6E00C494D","text/csv","byte-preserved historical I.8 r4 machine-audit control","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/predecessor_i8_r4_machine_controls/PUBLIC_ADVERSE_AND_REJECTED_CHOICES.csv","19346","841CBD106AB936080632C18A3F85E625A579627185B31436E99681405F184BDD","text/csv","byte-preserved historical I.8 r4 machine-audit control","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/predecessor_i8_r4_machine_controls/PUBLIC_AUTHORITY_AND_COVERAGE_I_8.csv","5077","6500D9DD2DF4D41663B135D21F2B94F0596D4F4F26D604F68A9B7EDFAFD4A39D","text/csv","byte-preserved historical I.8 r4 machine-audit control","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
"evidence/predecessor_i8_r4_machine_controls/PUBLIC_AUTHORITY_AND_COVERAGE.csv","12763","2475E921D2AC429F2C71DD16EF721D88C9FE94A7F17A9F7298E030F50D665327","text/csv","byte-preserved historical I.8 r4 machine-audit control","SGA1 Expose I opening through Proposition I.9.1; French lines 556-1703; line 1704 excluded.","Corrected French arXiv math/0206203v2 TeX is sole text authority; English controls are comparison-only.","Bounded working translation; not complete SGA1, a critical edition, certification, human peer review, publication, or rights determination.","If archive-reviewed and published, supersedes opening-through-I.8 r4 as current bounded SGA1 surface; all predecessors remain preserved."
