expose,relative_path,old_sha256,new_bytes,new_sha256,reader_bytes,reader_sha256,reader_apparatus_removals
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/01_expose_VIII_opening_through_corollary_1_3.tex,5F3769901C129F9B7A5D6FE52E29C0D6097942443342FE38F69773698B383876,10601,5F3769901C129F9B7A5D6FE52E29C0D6097942443342FE38F69773698B383876,10601,5F3769901C129F9B7A5D6FE52E29C0D6097942443342FE38F69773698B383876,0
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/02_expose_VIII_corollary_1_4_through_remark_1_7_4.tex,F29151740789456BB190D38703DE81EC83040141F65A4B96AB9466540D5F57DC,13730,6F7F585B62B01FBBC52E154FB63C29322A8B0D734459680F5F0E1B61AE8CB1B0,13730,6F7F585B62B01FBBC52E154FB63C29322A8B0D734459680F5F0E1B61AE8CB1B0,0
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/03_expose_VIII_section4_continuation_p14.tex,4473432CCB8BA2B5E3627B5F5C37B6DAB8F1B5BE705D109176B1891D62C65B1C,1741,4473432CCB8BA2B5E3627B5F5C37B6DAB8F1B5BE705D109176B1891D62C65B1C,1741,4473432CCB8BA2B5E3627B5F5C37B6DAB8F1B5BE705D109176B1891D62C65B1C,0
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/05_expose_VIII_section7_part1.tex,2DEE4AE08EEE3076C86DC38DF10E07809C8FFEDC4495A84144D12E0D5E8E7401,13122,2DEE4AE08EEE3076C86DC38DF10E07809C8FFEDC4495A84144D12E0D5E8E7401,13122,2DEE4AE08EEE3076C86DC38DF10E07809C8FFEDC4495A84144D12E0D5E8E7401,0
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/06_expose_VIII_section7_part2_and_bibliography.tex,FED4A0E4508E9332B61E40ECDC24DA68407FC115CDEDA360637B91716EBE84B9,15279,AE01E8B692E23539673E343BFE561B6D0DCF61B74A6D062EC13AC948C9C9085E,14864,FE806CB3601019CB1DD1CBBC54F92BD728919290752983ED3FF0EA6B0C0D8DAF,3
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/delegated_sections2_4/01_expose_VIII_s2_s4_pp007_013.tex,67667402EFB375BBDEC0803C91B6106EFDC4ABFE0E9CFFF1C6EA795037939BA8,26301,6AA6C1BA6BC579E9CEAAC27D3597FCC9472769E8A39262AD5A0409FF3A148D59,26240,67667402EFB375BBDEC0803C91B6106EFDC4ABFE0E9CFFF1C6EA795037939BA8,1
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/delegated_sections5_6/05_expose_VIII_section5_en.tex,1C104391E656E5D2D08AF9193F676B547B5C50AE71483E2833C1CC57325E9C1C,11260,5804BB0AACDB92CC6AA4696BD21FE6C436F0547881966406FAAB7BD1F745C6F8,11073,1C104391E656E5D2D08AF9193F676B547B5C50AE71483E2833C1CC57325E9C1C,3
VIII,upstream_controls/exposeVIII_checkpoint_20260724_r1/source/tex/components/delegated_sections5_6/06_expose_VIII_section6_en.tex,A69EA9F7C12DE30B6EABDEF4A767BDA317202DB31D1D24AF836E83386E874FE2,22976,CABF99706E2778E75335F947FA8F58133724AB962CCA5C8B00BE62DD1316D67E,22942,A69EA9F7C12DE30B6EABDEF4A767BDA317202DB31D1D24AF836E83386E874FE2,1
IX,ix/components/01_expose_IX_opening_and_section_1.tex,4090BF598E35547E42426164C2362493F0C69EF12F7503249A3C26C14DC3C412,10902,4090BF598E35547E42426164C2362493F0C69EF12F7503249A3C26C14DC3C412,10902,4090BF598E35547E42426164C2362493F0C69EF12F7503249A3C26C14DC3C412,0
IX,ix/components/02_expose_IX_sections_2_3.tex,70C47CDC0D959EE3A7044EC7D9EEFD4BDAFCE70BE62B3752BF44677F7577CD03,28379,70C47CDC0D959EE3A7044EC7D9EEFD4BDAFCE70BE62B3752BF44677F7577CD03,28379,70C47CDC0D959EE3A7044EC7D9EEFD4BDAFCE70BE62B3752BF44677F7577CD03,0
