"language","bcp47","branch","english_concept","target_rendering_source_title","source_url","source_body","source_status","has_math_markup","formula_neighboring_usage_note","term_alternatives_or_register_note","interlinear_scaffold_note","non_claim_boundary"
"Azerbaijani","az","Oghuz","Mathematics","Riyaziyyat","https://az.wikipedia.org/wiki/Riyaziyyat","bodies/az/wikitext-20260629T101500Z/Mathematics__Riyaziyyat.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Algebra","Cəbr","https://az.wikipedia.org/wiki/C%C9%99br","bodies/az/wikitext-20260629T101500Z/Algebra__Cəbr.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Linear algebra","Xətti cəbr","https://az.wikipedia.org/wiki/X%C9%99tti_c%C9%99br","bodies/az/wikitext-20260629T101500Z/Linear algebra__Xətti cəbr.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Group theory","Qrup nəzəriyyəsi","https://az.wikipedia.org/wiki/Qrup_n%C9%99z%C9%99riyy%C9%99si","bodies/az/wikitext-20260629T101500Z/Group theory__Qrup nəzəriyyəsi.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Matrix (mathematics)","Matris","https://az.wikipedia.org/wiki/Matris","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Polynomial","Çoxhədli","https://az.wikipedia.org/wiki/%C3%87oxh%C9%99dli","bodies/az/wikitext-20260629T101500Z/Polynomial__Çoxhədli.wiki","source-title/body witness only","True","Polynomial-title/context witness; source body contains math markup; formula-neighboring review still required; not a polynomial-ring closure.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Equation","Tənlik","https://az.wikipedia.org/wiki/T%C9%99nlik","bodies/az/wikitext-20260629T101500Z/Equation__Tənlik.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Function (mathematics)","Funksiya (riyaziyyat)","https://az.wikipedia.org/wiki/Funksiya_(riyaziyyat)","bodies/az/wikitext-20260629T101500Z/Function (mathematics)__Funksiya (riyaziyyat).wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Set (mathematics)","Çoxluqlar","https://az.wikipedia.org/wiki/%C3%87oxluqlar","bodies/az/wikitext-20260629T101500Z/Set (mathematics)__Çoxluqlar.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Differential equation","Diferensial tənliklər","https://az.wikipedia.org/wiki/Diferensial_t%C9%99nlikl%C9%99r","bodies/az/wikitext-20260629T101500Z/Differential equation__Diferensial tənliklər.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Probability","Ehtimal","https://az.wikipedia.org/wiki/Ehtimal","bodies/az/wikitext-20260629T101500Z/Probability__Ehtimal.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","Statistics","Statistika","https://az.wikipedia.org/wiki/Statistika","bodies/az/wikitext-20260629T101500Z/Statistics__Statistika.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Azerbaijani source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
