"language","bcp47","query","observed_result_titles","action","blocker_effect"
"Azerbaijani","az","halqa riyaziyyat","Riyaziyyat | Pyer Ferma | Böyük Ferma teoremi","no direct ring source body packaged","Azerbaijani ring/Noetherian rows remain source-acquisition gaps outside prior polynomial body"
"Azerbaijani","az","çoxhədli halqa","Matris | Riyaziyyat","no direct polynomial-ring source body packaged","Azerbaijani polynomial-ring row remains unclosed"
"Kazakh","kk","сақина математика","Сақина (түсінік) | Анықтауыш (математика) | Изоморфизм (Математика)","packaged Сақина (түсінік)","ring neighborhood strengthened; Noetherian/polynomial-ring rows remain unclosed"
"Kazakh","kk","көпмүшелік сақина","Көпмүшелік","no new direct body packaged because local shelf already has Көпмүшелік","polynomial base support remains not polynomial-ring closure"
"Kyrgyz","ky","көп мүчө / Нётер шакек / идеал алгебра","HTTP 429 during probe","no source body packaged","Kyrgyz ring/polynomial/Noetherian rows remain source-acquisition gaps; retry later with slower API cadence"
"Turkmen","tk","halka matematika / kopagza / Noether halka","no relevant math ring or polynomial-ring title in probe","no source body packaged","Turkmen ring/polynomial/Noetherian rows remain source-acquisition gaps"
"Tatar","tt","боҗра математика / күпбуын / Нётер боҗра","no relevant ring/polynomial-ring title in probe","no source body packaged","Tatar ring/polynomial/Noetherian rows remain source-acquisition gaps"
"Bashkir","ba","Ҡулса математика","Ҡулса (математика) | Коммутатив ҡулса | Төркөм (математика)","packaged Коммутатив ҡулса","ring/ideal neighborhood strengthened; Noetherian/polynomial-ring rows remain unclosed"
"Uzbek","uz","halqa matematika","Bezu halqasi | Izomorfizm (matematika) | Algebra","packaged Bezu halqasi","ring and Noetherian-adjacent context strengthened; full Noetherian-ring row remains unclosed"
"Kyrgyz","ky","көп мүчө","Көп мүчө | Келтирилбес көп мүчө | Алгебралык көп түспөлдүүлүк | Квадраттык үч мүчө | Жакындатып интегралдоо","packaged Көп мүчө and Келтирилбес көп мүчө","Kyrgyz polynomial neighborhood strengthened; polynomial-ring hard row remains unclosed"
"Kyrgyz","ky","шакек алгебра / Нётер шакек","Эмми Нётер | Изоморфизм (математикада)","no ring or Noetherian-ring source body packaged","Kyrgyz ring/Noetherian hard rows remain source-acquisition gaps"
"Turkmen","tk","halka matematika / köpagza / köp agza / Noeter halka","no target math ring, polynomial, or Noetherian-ring source body in second pass","no source body packaged","Turkmen rows remain source-acquisition gaps"
"Tatar","tt","боҗра математика / күпбуын / күпбуыннар / Нётер боҗра","Коммутативлык/Dистрибутивлык context only; 429 on Нётер боҗра","no source body packaged","Tatar ring/polynomial/Noetherian rows remain source-acquisition gaps"
"Uyghur","ug","ھالقا ماتېماتىكا / كۆپ ئەزالىق / كۆپ ئەزالىق ھالقا / نوئېتېر ھالقا","HTTP 429 during second-pass probe","no source body packaged","Uyghur rows remain candidate/gap-gated pending slower retry or non-API source"
