"language","bcp47","english_concept","local_title","status","source_url","package_relative_path","sha256","hard_row_effect","note"
"Azerbaijani","az","Mathematics","Riyaziyyat","included_source_body","https://az.wikipedia.org/wiki/Riyaziyyat","bodies/az/wikitext-20260629T101500Z/Mathematics__Riyaziyyat.wiki","7bd24a9d19693ea4d5cccdfd147e3bfecaa04cacfb45509d1a636da625ac3c0a","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Algebra","Cəbr","included_source_body","https://az.wikipedia.org/wiki/C%C9%99br","bodies/az/wikitext-20260629T101500Z/Algebra__Cəbr.wiki","1dcc2f3f7f3de9e702abb563c7ca90c8165dbb060ae2eaf3c3bbb35e77ba9ba2","supports algebra context; adjacent source-canon witness","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Linear algebra","Xətti cəbr","included_source_body","https://az.wikipedia.org/wiki/X%C9%99tti_c%C9%99br","bodies/az/wikitext-20260629T101500Z/Linear algebra__Xətti cəbr.wiki","bba23c2049e3d84c1a369e52cb3bd5b2a2f5c1202fb8507b3ba83c1e07b6e4bc","supports algebra context; adjacent source-canon witness","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Group theory","Qrup nəzəriyyəsi","included_source_body","https://az.wikipedia.org/wiki/Qrup_n%C9%99z%C9%99riyy%C9%99si","bodies/az/wikitext-20260629T101500Z/Group theory__Qrup nəzəriyyəsi.wiki","7cc250bd2aab17bd6edbf453d35ff5bdf69762862b77233e221c95ba5c28797e","supports group-theory context; adjacent algebra witness","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Ring (mathematics)","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'."
"Azerbaijani","az","Field (mathematics)","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Field_%28mathematics%29","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'."
"Azerbaijani","az","Ideal (ring theory)","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'."
"Azerbaijani","az","Invariant theory","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Invariant_theory","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'."
"Azerbaijani","az","Matrix (mathematics)","Matris","included_source_body","https://az.wikipedia.org/wiki/Matris","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki","ca077c49f72db796c8f5cba086425025c8857327a161a878890ae101f042422e","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Polynomial","Çoxhədli","included_source_body","https://az.wikipedia.org/wiki/%C3%87oxh%C9%99dli","bodies/az/wikitext-20260629T101500Z/Polynomial__Çoxhədli.wiki","3e147c1827ae647d17741112647981eb9e0a8fb3bcad3a324ba3010bb530d5f8","supports polynomial terminology/context; does not close polynomial-ring hard row by itself","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Equation","Tənlik","included_source_body","https://az.wikipedia.org/wiki/T%C9%99nlik","bodies/az/wikitext-20260629T101500Z/Equation__Tənlik.wiki","46ba0006a863ae4714707c81ce0545461b2284b6413a662e54fa8b5dd4197bf0","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Function (mathematics)","Funksiya (riyaziyyat)","included_source_body","https://az.wikipedia.org/wiki/Funksiya_(riyaziyyat)","bodies/az/wikitext-20260629T101500Z/Function (mathematics)__Funksiya (riyaziyyat).wiki","7d0b33364563139f79181e9034f40e8fbe60d67d0bf900f23f2ef754fbcaf05a","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Set (mathematics)","Çoxluqlar","included_source_body","https://az.wikipedia.org/wiki/%C3%87oxluqlar","bodies/az/wikitext-20260629T101500Z/Set (mathematics)__Çoxluqlar.wiki","88362c5448bc28122accb274981bc88722bc7a05a49800365b05cc0028ee4b72","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Differential equation","Diferensial tənliklər","included_source_body","https://az.wikipedia.org/wiki/Diferensial_t%C9%99nlikl%C9%99r","bodies/az/wikitext-20260629T101500Z/Differential equation__Diferensial tənliklər.wiki","0c69e93bbe406be0de3d073ffb2f77535e0014cea33a7c7904ffee1b9e916836","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Probability","Ehtimal","included_source_body","https://az.wikipedia.org/wiki/Ehtimal","bodies/az/wikitext-20260629T101500Z/Probability__Ehtimal.wiki","2aa334a53ed1710a72d50e0c8cd92aceb92606daa0629d573dcaf316db242883","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Azerbaijani","az","Statistics","Statistika","included_source_body","https://az.wikipedia.org/wiki/Statistika","bodies/az/wikitext-20260629T101500Z/Statistics__Statistika.wiki","f241bf93295ffdb36ca0a87ea51e811c7f95b283e53046d6fb8fe819065a52c6","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Mathematics","Matematika","included_source_body","https://uz.wikipedia.org/wiki/Matematika","bodies/uz/wikitext-20260629T101500Z/Mathematics__Matematika.wiki","9fdd11dc453fbc3b814bd002a0f44955ca0326d6eb26f89e1efa53f03cdc3941","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Algebra","Algebra","included_source_body","https://uz.wikipedia.org/wiki/Algebra","bodies/uz/wikitext-20260629T101500Z/Algebra__Algebra.wiki","2746a44ad0951c52359991485d2ba228877c8b7acbdfd540c489ee05f6b6c6a9","supports algebra context; adjacent source-canon witness","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Linear algebra","Chiziqli algebra","included_source_body","https://uz.wikipedia.org/wiki/Chiziqli_algebra","bodies/uz/wikitext-20260629T101500Z/Linear algebra__Chiziqli algebra.wiki","e385c1b4441ab74ecf79dad268c0f869303bffd052a9a6f7878c1913d6fc5415","supports algebra context; adjacent source-canon witness","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Group theory","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Group_theory","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'."
"Uzbek","uz","Ring (mathematics)","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'."
"Uzbek","uz","Field (mathematics)","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Field_%28mathematics%29","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'."
"Uzbek","uz","Ideal (ring theory)","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'."
"Uzbek","uz","Invariant theory","","no_langlink_from_enwiki","https://en.wikipedia.org/wiki/Invariant_theory","","","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'."
"Uzbek","uz","Matrix (mathematics)","Matritsa matematikada","included_source_body","https://uz.wikipedia.org/wiki/Matritsa_matematikada","bodies/uz/wikitext-20260629T101500Z/Matrix (mathematics)__Matritsa matematikada.wiki","fd36eacae3ee853fa09b7ccbe7f6f3efe67288b7259770b0f8bc5eb1b3efd5d2","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Polynomial","Koʻphad","included_source_body","https://uz.wikipedia.org/wiki/Ko%CA%BBphad","bodies/uz/wikitext-20260629T101500Z/Polynomial__Koʻphad.wiki","c5ced6a358f84078305fcccdbdd7804055ddc52866f0239b7921fad394b677e6","supports polynomial terminology/context; does not close polynomial-ring hard row by itself","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Equation","Tenglama","included_source_body","https://uz.wikipedia.org/wiki/Tenglama","bodies/uz/wikitext-20260629T101500Z/Equation__Tenglama.wiki","f405e169d93e0f8d6e6bae38ba52d09230ddeb12b9e048cc1b0e865d8bdda546","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Function (mathematics)","Funksiya (matematika)","included_source_body","https://uz.wikipedia.org/wiki/Funksiya_(matematika)","bodies/uz/wikitext-20260629T101500Z/Function (mathematics)__Funksiya (matematika).wiki","68595d6814180422893dc17d2397b28620b3177c6e922481b1a147f30e6cf8dc","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Set (mathematics)","Toʻplam (matematika)","included_source_body","https://uz.wikipedia.org/wiki/To%CA%BBplam_(matematika)","bodies/uz/wikitext-20260629T101500Z/Set (mathematics)__Toʻplam (matematika).wiki","57afd70e933f903618754bc1480c6f0446f0ffa476f1914e4dd0a8938d389c81","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Differential equation","Differensial tenglama","included_source_body","https://uz.wikipedia.org/wiki/Differensial_tenglama","bodies/uz/wikitext-20260629T101500Z/Differential equation__Differensial tenglama.wiki","89b61e19a8c5cde43affe9b52334dbf28f40bdc83197baa3f8a42510d76c8127","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Probability","Ehtimollik","included_source_body","https://uz.wikipedia.org/wiki/Ehtimollik","bodies/uz/wikitext-20260629T101500Z/Probability__Ehtimollik.wiki","738499d5f3cb66a9e0a136edc4afb72b99338871cdeeece0c3c1f308609c694d","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Uzbek","uz","Statistics","Statistika","included_source_body","https://uz.wikipedia.org/wiki/Statistika","bodies/uz/wikitext-20260629T101500Z/Statistics__Statistika.wiki","585d37ca4a55735de0220f718a0ef4b43bbe776138e6dd97d852149af04fa80b","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
"Kazakh","kk","Mathematics","Математика","included_source_body","https://kk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0","bodies/kk/wikitext-20260629T101500Z/Mathematics__Математика.wiki","cafb3a2bc0b7ebe059bc812afb3777425f5898f710fd740492733accd7af1fa1","supports target-language mathematical wikitext source-canon baseline","Literal target-language Wikipedia wikitext body included from local shelf; not TeX/PDF; no license-clearance, native-review, accepted-terminology, bridge/pilot, or completion claim."
