"ToLabel","PathClass","Count"
"1A1110EB_PRIOR_FRONTIER","logbook-heartbeat-like","2"
"1A1110EB_PRIOR_FRONTIER","manifest-hash-like","14"
"1A1110EB_PRIOR_FRONTIER","other","54"
"1A1110EB_PRIOR_FRONTIER","source-body-witness-like","6"
"8BE81510_CURRENT_REQUESTED_HEAD","logbook-heartbeat-like","8"
"8BE81510_CURRENT_REQUESTED_HEAD","manifest-hash-like","42"
"8BE81510_CURRENT_REQUESTED_HEAD","other","163"
"8BE81510_CURRENT_REQUESTED_HEAD","source-body-witness-like","14"
"A2C52A42_BRANCH_ADVANCE","logbook-heartbeat-like","4"
"A2C52A42_BRANCH_ADVANCE","manifest-hash-like","20"
"A2C52A42_BRANCH_ADVANCE","other","81"
"A2C52A42_BRANCH_ADVANCE","source-body-witness-like","6"
