"decision_id","source_lines","french_source_cue","jm_2018_form","thosgood_current_form","jcreinhold_current_form","selected_english","rejected_regression_or_unresolved_choice","evidence_channel","review_status"
"I04-001","800-804","section title with full stop; flat-morphism notice; Exposé IV footnote","Étale morphisms. Étale covers; adds if there is time","same Hosgood derivative lineage","Étale Morphisms. Étale Coverings; if needed","Étale morphisms. Étale coverings; later where appropriate; footnote retained","Rejected candidate-added time or need qualification and title conjunction","French TeX lines 800-804; source syntax","working_closed_independent_pass"
"I04-002","806-822","Definition I.4.1 parts a-b; finite type; flat and net; local homomorphism; regrets footnote","drops net and uses unramified only","same Hosgood derivative lineage","retains net at the first occurrence then unramified","retain net with equivalence to unramified at its defining occurrence; use unramified thereafter; preserve both parts and footnote","Rejected erasure of the historical term and unexplained net as a running English primary","French TeX lines 806-822; established I.3 terminology delta","working_closed_independent_pass"
"I04-003","824-849","Proposition I.4.2 and Corollaries I.4.3-I.4.4; completions; logical disjunction","statements substantially present but moves page 5 marker into I.4.2 proof","same Hosgood derivative lineage","statements present and moves page 5 marker after I.4.2 proof","preserve completion maps and the trivial OR algebraically closed hypothesis; defer page 5 marker to the original-print boundary","Rejected approximate source pagination and any collapse of the disjunction","French TeX lines 824-849; original print physical pp.21-22","working_closed_independent_pass"
"I04-004","851-862","combine flatness with I.3.7; open étale locus; pointwise remark","uses platitude and punctual comments","same Hosgood derivative lineage","readable direct rendering","combine flatness with I.3.7; open locus and pointwise scope retained","Rejected false-friend platitude and punctual in this register","French TeX lines 851-862; theorem-context review","working_closed_independent_pass"
"I04-005","863-878","Proposition I.4.6 items i-iii; proof; local homomorphisms; multiplodoque; printed page 5 begins proof","expands base extension correctly but adds a long external translator note and retains French multiplodoque","same Hosgood derivative lineage","leaves item iii elliptical and Latinizes multiplodocus","state the complete base-change assertion; put page 5 at the proof; preserve the source nonce word multiplodoque without the external note","Rejected an unverified source-external historical note and candidate Latinization","French TeX lines 863-878; original print physical pp.21-22","working_closed_independent_pass"
"I04-006","879-895","Corollaries I.4.7-I.4.8; Cartesian product; graph X to X times_Y X-prime; projection base change","substantially present","same Hosgood derivative lineage","substantially present","preserve Cartesian-product wording and the typed graph/projection factorization","Rejected stronger relative-product wording without a stated base in I.4.7","French TeX lines 879-895; formula-domain review","working_closed_independent_pass"
"I04-007","896-916","Definition I.4.9; étale and net coverings; four index entries; separable fiber algebra; composé fini","marks no flatness condition unsure and says finite composition","same Hosgood derivative lineage","renders no extra condition directly and uses finite product","retain étale and net covering names; say no additional locally-free condition; use finite product of finite separable extensions; record four index debts","Rejected unsure placeholder finite composition and candidate agreement as source proof","French TeX lines 896-916 and 2064-2069; commutative separable-algebra structure","working_closed_independent_pass"
"I04-008","918-940","Proposition I.4.10; degree n; trace; bilinear form; source B-to-B defect; discriminant section and unit ideal","repeats the B-to-B defect and says unit ring","same Hosgood derivative lineage","silently changes the target to its dual but degrades the display into a code block","use the type-correct B-to-B-dual map with immediate source-defect disclosure; preserve both exterior powers and the unit ideal","Rejected literal ill-typed reproduction silent correction malformed formula rendering and unit-ring substitution","French TeX lines 918-940; original print physical p.22/printed p.5; bilinear-form typing","working_source_defect_disclosed_independent_pass"
"I04-009","942-951","closing unnumbered remark; page 6 begins with complete remark","places page 6 inside the sentence","same Hosgood derivative lineage","places page 6 before the remark","place the page 6 marker before the complete plain Remark heading and retain the normality contrast","Rejected split-sentence source pagination and a literal star inferred from the environment name","French TeX lines 942-951; original print physical p.23/printed p.6; newtheorem-star definition","working_closed_independent_pass"
"I04-010","952","I.5 heading begins next unit","continues into I.5","same Hosgood derivative lineage","continues into I.5","exclude line 952 and fix the continuation cursor there","Rejected candidate chapter-range continuation as a unit boundary","French TeX line 952","cursor_fixed_independent_pass"
