capture_task_id,source_context_id,render_witness_id,language_or_scope,r9_language_bucket,concepts,page,source_body_path,source_body_exists,source_body_bytes,source_body_sha256,render_path,render_exists,render_bytes,render_sha256,extract_status,source_context_excerpt,formula_markers,formula_neighbor_status,open_capture_blockers_for_language,next_capture_action,current_head,input_frontier_head,source_use_label,accepted_translation_evidence,promotion_allowed,native_review_claimed,boundary_note
R9-FAA2C330-CONTEXT-CAPTURE-0001,R9-E58-CONTEXT-0001,R9-E58-RENDER-WITNESS-0001,Amharic,Amharic,algebra|ring,1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf,true,4224489,070c055a0c6e3c8b7c050d3abf19086cb61fd64d5a9e62c3860a11e2a6cdd5f2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0001_R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22_page_001.png,true,347066,f86f8156abac6f07d0d4f6ad6ba189e5fd8b7bf06fb1f580ef2de9bf976f0604,text_extracted,112,digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0002,R9-E58-CONTEXT-0002,R9-E58-RENDER-WITNESS-0002,Amharic,Amharic,algebra|ring,2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf,true,4224489,070c055a0c6e3c8b7c050d3abf19086cb61fd64d5a9e62c3860a11e2a6cdd5f2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0002_R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22_page_002.png,true,335629,7b4a44977dba0babed6c980645179aa19f49de1e7046dce0ed6202eddd1377b6,text_extracted,113,digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0003,R9-E58-CONTEXT-0003,R9-E58-RENDER-WITNESS-0003,Amharic,Amharic,algebra|ring,3,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf,true,4224489,070c055a0c6e3c8b7c050d3abf19086cb61fd64d5a9e62c3860a11e2a6cdd5f2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0003_R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22_page_003.png,true,310430,097b66d8f83f3c6633c9fd75cfa9c6e1890f692a010fd422b7ac636af4cef2e5,text_extracted,114,digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0004,R9-E58-CONTEXT-0004,R9-E58-RENDER-WITNESS-0004,Amharic,Amharic,algebra|ring,1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,true,1308247,0f48856e47a0e74d91c110c0505f17e04e42b6ccdd030ba6411ed53b712a29a1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0004_R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2_page_001.png,true,225748,5d145f5e850d6cfe8d3448ab74ad422d5f815502e86fca159a5bfd27c29d05db,text_extracted,38 6— ¡õM ¾}T] SîHõ ¡õMóÄ‹ “ ›e`Äሽ ቁጥሮች U°^õ 3 SÓu=Á በአምስተኛ ክፍል የጀመራችሁትን የአልጀብራ ትምህርት በዚህ የክፍል ደረጃ በሰፊው ትማራላችሁ፡፡ ምዕራፉም የሚጀምረው ቀለል ያሉ ክፍልፋይ ቁጥሮችን፣ አስርዮሾችን፣ በመከለስ ነው፡፡ የክፍልፋዮች፣ የአስርዮሾች፣ የመቶኛዎች አቀያየርና ዝምድናቸውን በዚህ ምዕራፍ ውስጥ ትማራላችሁ፡፡ 3.1 ¡õMó...,=|^|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0005,R9-E58-CONTEXT-0005,R9-E58-RENDER-WITNESS-0005,Amharic,Amharic,algebra|ring,2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,true,1308247,0f48856e47a0e74d91c110c0505f17e04e42b6ccdd030ba6411ed53b712a29a1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0005_R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2_page_002.png,true,276158,3392151856e9fa8cb1381c01b3bf68153196fdf6aa459662d306427d3d9ad3e5,text_extracted,U°^õ 3 ¡õMóÄ‹ “ ›e`Äሽ ቁጥሮች 6— ¡õM ¾}T] SîHõ 39 ቁጥሮችን በትንትን መግለጽ ክፍልፋዮችን በዝቅተኛ ሂሳባዊ ቃል ለመግለጽ ይጠቅማል፡፡ የአንድ ሙሉ ነገር “ክፍሎች” በብዙ አይነት ክፍልፋይ መግለጽ ይቻላል፡፡ የሚከተሉት ምስሎች ን በተለያዩ መንገዶች ማግኘት እንደምንችል ያሳያሉ፡፡ ምስል 3.1 ” ¨Å ´p}— H>dv© nM TnKM ƒ‹LL‹G<; L°K...,-|÷|^|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0006,R9-E58-CONTEXT-0006,R9-E58-RENDER-WITNESS-0006,Amharic,Amharic,algebra|ring,3,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,true,1308247,0f48856e47a0e74d91c110c0505f17e04e42b6ccdd030ba6411ed53b712a29a1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0006_R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2_page_003.png,true,208943,87fb8413a32634fc5ea594fe11aeacc8dfe7cb036608444e51e36e1fa9bbaacc,text_extracted,U°^õ 3 ¡õMóÄ‹ “ ›e`Äሽ ቁጥሮች 40 6— ¡õM ¾}T] SîHõ S<K< lØ` u¡õMóÃ SM¡ SÓKê ”ÅT>‰M ›e¨<c<:: 4 ' 18 KSK< lØa‹U }S××˜ ¡õMóÄ‹” TÓ–ƒ ”‹LK”:: SMSÍ 3.1 ¾T>Ÿ}K<ƒ” ¡õMóÄ‹ u´p}— H>dv© nM ÓKè:: G. N. W. c. K. S. ረ. ሸ. 3.2 ¡õMóÄ‹” ¨Å ›e`Äሽ ቁጥሮ‹ “ ...,=|×|^|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0007,R9-E58-CONTEXT-0007,R9-E58-RENDER-WITNESS-0007,Amharic,Amharic,algebra|ring,1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0048_048_amharic_math_g6_chapter_7_962d1aa7.pdf,true,2367109,424d2ec7478d987117ae06ca49e956abf88b3e39bb2f39a9c4eced995c21bed9,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0007_R9-LSB-0048_048_amharic_math_g6_chapter_7_962d1aa7_page_001.png,true,253639,e3ee25049af4281d3906ebc5697eb77c097ff2924165b7f57d34f24e897862a6,text_extracted,98 6— ¡õM ¾}T] SêNõ ጂኦሜትሪ እና ልኬት U°^õ 6 መግቢያ ጂኦሜትሪ ለሰው ልጅ አስፈላጊ ከሆኑት የሂሳብ ክፍሎች በጣም ጠቃሚው ነው፡፡ በየዕለቱ የምናስተውለው የሩጫ ውድድር መነሻና፣ በካርታ ላይ የምንመለከተው መስመር የጂኦሜትሪ ክፍል ናቸው፡፡ ስለቤታችን ወለል ወይም ኮርኒስ ስንናገር ስለጠለል መናገራችን ነው፡፡ 4ኛ ክፍል ነጥብ፣ መስመር እና ጠለል ትርጉም አል...,=|-|^|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0008,R9-E58-CONTEXT-0008,R9-E58-RENDER-WITNESS-0008,Amharic,Amharic,algebra|ring,2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0048_048_amharic_math_g6_chapter_7_962d1aa7.pdf,true,2367109,424d2ec7478d987117ae06ca49e956abf88b3e39bb2f39a9c4eced995c21bed9,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0008_R9-LSB-0048_048_amharic_math_g6_chapter_7_962d1aa7_page_002.png,true,183874,3f4f595e33c5b37a81fc38604522922bcf1c5f2e7b14abb9f8b6a25077bee081,text_extracted,U°^õ 6 S<K< lØa‹“ ›^~ eK?„‹ 6— ¡õM ¾}T] Sጽሐõ 99 ሐ) አንግልን ለመለካትም ሆነ ለመሳል አንግል መለኪያ መሣሪያ እንጠቀማለን፡፡ መ) በምስል 6.2 የተመለከተው አንግል ልኬት፣ ∠ሐሀለ=800 ነው፡፡ ሠ) በምስል 6.3 የተመለከተው አንግል፣ ∠ሀአለ፣ ∠ለአሀ ወይም ∠አ ተብሎ ሊሰየም ይችላል፡፡ 2. የሚከተሉትን አንግሎች “ ጎኖቹን ሰይሙ፡፡ 3. ምስ...,=|^|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0009,R9-E58-CONTEXT-0009,R9-E58-RENDER-WITNESS-0009,Amharic,Amharic,algebra|ring,3,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0048_048_amharic_math_g6_chapter_7_962d1aa7.pdf,true,2367109,424d2ec7478d987117ae06ca49e956abf88b3e39bb2f39a9c4eced995c21bed9,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0009_R9-LSB-0048_048_amharic_math_g6_chapter_7_962d1aa7_page_003.png,true,134742,55a9f898e26dcaaf33f2bfab65d89c82ac4c1825d502c65e5628f12db063af7d,text_extracted,U°^õ 6 S<K< lØa‹“ ›^~ eK?„‹ 100 6— ¡õM ¾}T] Sጽሐõ 5. የሚከተሉትን አንግሎች ለክታችሁ ባዶ ቦታዎችን ሙሉ፡፡ ሀ) ∠ሀወሠ = ለ) ∠ሠወለ = ሐ) ∠ሀወለ = 6. ባዶ ቦታዎችን ሙሉ፡፡ ሀ) ∠ሀወሠ = __________ ∠ሠወለ = __________ ∠ሀወለ = __________ ለ) ∠ሀወለ = _________ ∠ለወሠ= __________ ∠ለወመ= ____...,=|^|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-CONTEXT-CAPTURE-0010,R9-E58-CONTEXT-0010,R9-E58-RENDER-WITNESS-0010,Hausa,Hausa,algebra|ring,1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\hausa\source-pdfs\R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf,true,881857,b7bc92aa366a44c1f28621362a1bd0e487c12875f3c01cf2509ea052941ada1b,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_E58A9EF5_RENDER_WITNESS_OCR_PICKUP_20260706\render-witnesses\R9-E58-RENDER-TASK-0010_R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722_page_001.png,true,238703,561278e9a33d19258a82a9329159daabe42aa6ff82b49bfb80a33641d9c5563e,text_extracted,Lissafi Lissafi ko kuma nazari wata dabara ce wadda take taimakawa Dan'adam yin kidaya da sanin yawan abubuwa da kuma sanin tsarin yadda abubuwa suke idan an cenza su ta wata suffar. Ko kuma Ilimi ne na fasaha wanda ake koyan yadda ake t...,=|-|/|digit,marker_seen_needs_manual_capture,exact_phrase_from_render|exact_source_phrase|formula_neighbor_visual_confirmation|ocr_unicode_confidence|reviewer_boundary|source_page_language_boundary,capture exact source phrase from render/source body and record OCR/Unicode confidence; do not promote term,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-source-context-capture-task,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
