"row_id","timestamp_local","lane","evidence_action","source_title_or_probe","source_type","evidence_tier","topic_language_tags","page_id_or_revision","source_url","source_locator_or_archive_url","local_path","byte_count","sha256_or_hash_signal","license_access_signal","rtl_script_or_rendering_notes","source_package_status","gap_or_blocker_note","non_claim_boundary","status"
"AR-MW-20260705-001","2026-07-05T02:35:00+02:00","Arabic RTL","source_package_probe","GitHub Arabic TeX/source-package continuation probe","github_code_search_metadata","negative_source_archive_evidence","Arabic;TeX;LaTeX;source package;invariant theory;rings;ideals;vector spaces;homomorphism;modules","mixed; one false-positive hit; one HTTP 403","gh search code queries for نظرية الثوابت, نظرية اللا تغير, الحلقات/الهومومورفزمات, المثاليات/الحلقات, فضاء متجهي, المؤثرات الخطية, التحويلات الخطية, تشاكل الزمر, تشاكل الحلقات, مودول/حلقة","","none","0","none","GitHub API/code-search metadata only; no source body fetched.","No RTL artifact; Arabic phrases used as search keys only.","no_source_package_admitted","Nine queries produced zero target Arabic mathematical TeX/source-package hits or one false-positive i18n QA corpus; the final مودول/حلقة query hit HTTP 403 rate-limit/access blocker.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_gap_evidence"
"AR-MW-20260705-002","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness","Arabic Wikipedia: حلقة (رياضيات)","mediawiki_raw_wikitext","fallback_source_text_witness","Arabic;ring;abstract algebra;binary operations;ideals adjacent","pageid=16022; oldid=75116766","https://ar.wikipedia.org/wiki/%D8%AD%D9%84%D9%82%D8%A9_%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29","https://ar.wikipedia.org/w/index.php?title=%D8%AD%D9%84%D9%82%D8%A9%20%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29&oldid=75116766&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/حلقة__رياضيات__oldid_75116766.wiki.txt","6595","CCF371C68549D7590DE25003FCC6D3A7C9961B999D4338277CCDA83193298227","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext with inline math tags; provenance only, not PDF/TeX layout proof.","raw_text_fallback_not_tex_package","Strengthens Arabic ring provenance; not specialist Noether/invariant-theory authority.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness"
"AR-MW-20260705-003","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness","Arabic Wikipedia: زمرة (رياضيات)","mediawiki_raw_wikitext","fallback_source_text_witness","Arabic;group;abstract algebra;group theory;symmetry;automorphism adjacent","pageid=16016; oldid=75199155","https://ar.wikipedia.org/wiki/%D8%B2%D9%85%D8%B1%D8%A9_%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29","https://ar.wikipedia.org/w/index.php?title=%D8%B2%D9%85%D8%B1%D8%A9%20%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29&oldid=75199155&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/زمرة__رياضيات__oldid_75199155.wiki.txt","101653","9EE18CBE01DD2845B3E248E4FD3BF1F6863D2CDF7D815582B7A17D66F84124E0","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext with formulas and templates; provenance only, not reader QA.","raw_text_fallback_not_tex_package","Strengthens Arabic group/register provenance; not direct invariant-theory or term approval authority.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness"
"AR-MW-20260705-004","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness","Arabic Wikipedia: حقل (رياضيات)","mediawiki_raw_wikitext","fallback_source_text_witness","Arabic;field;abstract algebra;number theory;finite fields adjacent","pageid=162166; oldid=75116379","https://ar.wikipedia.org/wiki/%D8%AD%D9%82%D9%84_%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29","https://ar.wikipedia.org/w/index.php?title=%D8%AD%D9%82%D9%84%20%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29&oldid=75116379&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/حقل__رياضيات__oldid_75116379.wiki.txt","27673","8D1508EE0DA4DEC0962F8BADA8ED9088CA04BDA550686647F922A5F4C618089D","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext with math tags; provenance only.","raw_text_fallback_not_tex_package","Strengthens Arabic field provenance; not source-package closure.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness"
"AR-MW-20260705-005","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness","Arabic Wikipedia: حلقية (رياضيات) / Module","mediawiki_raw_wikitext","fallback_source_text_witness","Arabic;module;حلقية;مودول;ring coefficients;vector-space adjacent;homological algebra adjacent","pageid=2118150; oldid=75116824","https://ar.wikipedia.org/wiki/%D8%AD%D9%84%D9%82%D9%8A%D8%A9_%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29","https://ar.wikipedia.org/w/index.php?title=%D8%AD%D9%84%D9%82%D9%8A%D8%A9%20%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29&oldid=75116824&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/حلقية__رياضيات__oldid_75116824.wiki.txt","2793","8B5519D05F1B4000AC695D03F717600167E2CA5B93555D243B90B9145A1D1504","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext with module/math formula tags; provenance only.","raw_text_fallback_not_tex_package","Adds direct Arabic raw-text module provenance; does not close source-package or Artinian module authority gaps.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness"
"AR-MW-20260705-006","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness","Arabic Wikipedia: جبر مجرد","mediawiki_raw_wikitext","fallback_source_text_witness","Arabic;abstract algebra;groups;rings;fields;modern algebra","pageid=15539; oldid=75057721","https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1_%D9%85%D8%AC%D8%B1%D8%AF","https://ar.wikipedia.org/w/index.php?title=%D8%AC%D8%A8%D8%B1%20%D9%85%D8%AC%D8%B1%D8%AF&oldid=75057721&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/جبر_مجرد_oldid_75057721.wiki.txt","4024","663C75B6560B85A8C41EDF6429B2310A9E4CA25FEBCE6294904CF33C4A28005D","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext; provenance only.","raw_text_fallback_not_tex_package","Strengthens broad Arabic abstract-algebra source-text provenance; not term approval.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness"
"AR-MW-20260705-007","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness","Arabic Wikipedia: نظرية الزمر","mediawiki_raw_wikitext","fallback_source_text_witness","Arabic;group theory;abstract algebra;permutation groups;Galois theory adjacent","pageid=22047; oldid=75472653","https://ar.wikipedia.org/wiki/%D9%86%D8%B8%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%B2%D9%85%D8%B1","https://ar.wikipedia.org/w/index.php?title=%D9%86%D8%B8%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B2%D9%85%D8%B1&oldid=75472653&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/نظرية_الزمر_oldid_75472653.wiki.txt","13238","F1D1832F54A86DE26B36C07A2D73FCB313AA5C37912C0B3D2F5782808319B513","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext; provenance only.","raw_text_fallback_not_tex_package","Strengthens Arabic group-theory source-text provenance; not invariant-theory closure.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness"
"AR-MW-20260705-008","2026-07-05T02:35:00+02:00","Arabic RTL","existing_raw_text_revalidation","Arabic Wikipedia: جبر خطي","mediawiki_raw_wikitext","existing_fallback_source_text_revalidated","Arabic;linear algebra;vector spaces;linear maps;systems of equations","pageid=15929; oldid=75057716","https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A","https://ar.wikipedia.org/w/index.php?title=%D8%AC%D8%A8%D8%B1%20%D8%AE%D8%B7%D9%8A&oldid=75057716&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/جبر_خطي_oldid_75057716.wiki.txt","22214","3762E086A6268F425014603D2E31867CB8B2A566F4AA1D9559D511E9B8173103","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext; provenance only.","raw_text_fallback_not_tex_package","Revalidates an existing cross-lane linear-algebra raw-text hash; not a new source-package witness.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","revalidated_existing_witness"
"AR-MW-20260705-009","2026-07-05T02:35:00+02:00","Arabic RTL","new_raw_text_witness_with_caution","Arabic Wikipedia: شباه","mediawiki_raw_wikitext","fallback_source_text_witness_cautioned","Arabic;homomorphism-adjacent;groups;homology/homomorphism ambiguity;تشاكل","pageid=196588; oldid=75235422","https://ar.wikipedia.org/wiki/%D8%B4%D8%A8%D8%A7%D9%87","https://ar.wikipedia.org/w/index.php?title=%D8%B4%D8%A8%D8%A7%D9%87&oldid=75235422&action=raw","sources/non_slavic_reference_corpus/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/شباه_oldid_75235422.wiki.txt","4103","148178221B31F83F8B1E7C6C0A1F0844D7980E41DD476D99DF2AE7AC88E5D91C","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic RTL wikitext; includes math notation; provenance only.","raw_text_fallback_not_tex_package","Use cautiously: page title and English mapping are homology/homomorphism-adjacent and not a direct ring-homomorphism authority; does not approve homomorphism/isomorphism terms.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_raw_text_witness_cautioned"
"AR-MW-20260705-010","2026-07-05T02:35:00+02:00","Arabic RTL","open_gap_refresh","Arabic source-package and specialist authority gaps after MediaWiki pass","gap_row","open_gap","Arabic;TeX;LaTeX;arXiv;e-print;source archive;invariant theory;Artinian;ring homomorphism;isomorphism","not applicable","current heartbeat and prior R3/Arabic probes","","none","0","none","No license/access signal because no direct source package or specialist authority was located.","No rendering artifact; gap row only.","gap_open","MediaWiki raw text strengthens fallback source text but does not close direct Arabic TeX/source-package, invariant-theory, Artinian, or ring-homomorphism/isomorphism specialist gaps.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","open_gap"
