section,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_commands,target_commands,status,note
1,1823,1842,1.0104,3,3,0,0,38,76,41,42,present-structural-review,
2,958,1016,1.0605,0,0,0,0,9,18,14,15,present-structural-review,
3,1418,1434,1.0113,2,2,0,0,27,52,58,56,present-structural-review,
4,7122,6905,0.9695,17,20,10,10,79,152,209,208,present-structural-review,
5,1673,1693,1.0120,3,3,3,3,21,21,82,83,present-structural-review,
6,2219,2272,1.0239,1,1,0,0,34,34,67,70,present-structural-review,
7,1632,1661,1.0178,0,0,0,0,32,32,28,29,present-structural-review,
8,945,979,1.0360,0,0,0,0,23,23,30,31,present-structural-review,
9,582,558,0.9588,0,0,0,0,14,14,9,10,present-structural-review,
10,600,621,1.0350,0,0,0,0,15,15,6,7,present-structural-review,
11,6824,7100,1.0404,16,16,0,0,128,128,281,281,present-structural-review,
12,1706,1699,0.9959,7,7,6,6,13,13,104,105,present-structural-review,
13,3394,3619,1.0663,9,9,0,0,43,43,157,159,present-structural-review,
14,1881,1966,1.0452,7,7,0,0,19,19,65,70,present-structural-review,
15,3573,3795,1.0621,6,6,0,0,65,63,87,86,present-structural-review,
16,760,841,1.1066,5,5,4,4,2,3,28,29,present-structural-review,
17,7503,7695,1.0256,11,11,5,5,134,138,289,291,present-structural-review,
18,5476,5583,1.0195,20,20,1,1,81,81,236,239,present-structural-review,
19,9263,9552,1.0312,19,19,17,17,120,125,312,316,present-structural-review,
20,13796,14242,1.0323,15,15,3,3,268,273,320,323,present-structural-review,
21,7300,7591,1.0399,10,10,1,1,122,128,192,195,present-structural-review,
22,8548,8702,1.0180,14,14,0,0,122,122,329,332,present-structural-review,
23,7532,7668,1.0181,23,23,1,1,127,127,286,289,present-structural-review,
24,20844,21700,1.0411,60,60,6,6,336,334,855,858,present-structural-review,
25,11879,12365,1.0409,44,44,3,3,168,169,291,298,present-structural-review,
26,3708,3884,1.0475,8,8,1,1,50,50,100,102,present-structural-review,
27,10600,11297,1.0658,15,15,2,2,195,194,302,305,present-structural-review,
28,9767,10295,1.0541,14,14,1,1,136,136,357,361,present-structural-review,
29,1893,2032,1.0734,2,2,0,0,30,30,40,45,present-structural-review,
30,5183,5476,1.0565,8,8,1,1,73,72,128,128,present-structural-review,
31,4793,5075,1.0588,1,1,0,0,78,80,87,100,present-structural-review,
