unit_id,source_sha256,target_sha256,target_document_sha256,source_locator,target_locator,method,reviewed_structures,reviewed_formulas,reviewed_notes,findings,reviewer_provenance,supporting_artifacts,supporting_artifact_sha256,status
P01,53E7BA2F217E58E7212E3E4295D2FE5D9466FEBCE4ECE58841657958D4873DB4,75B6608A82C5A7C187EF67636BE44B24E355FB657FC5D8F6E6069A04C5A866FD,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P01, expanded source lines 382--473; R823 P01 authority slice lines 382--473","French unit P01, expanded target lines 214--304; expanded French P01 slice lines 210--300","For P01, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P01, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P01, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P01, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P01: P01 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P01, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P02,7232355BD713E40C51BD8476D845BA4690F217B48A3799B9563A6D2FB1A5DCF3,57F1D8243330436D39459901B523510BF2CF5E1D638D611891B3DFE853352798,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P02, expanded source lines 474--3523; R823 P02 authority slice lines 474--3523","French unit P02, expanded target lines 305--3324; expanded French P02 slice lines 301--3320","For P02, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P02, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P02, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P02, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P02: P02 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P02, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P03,C6D3E1B29A0CA6260C34DB67CE518C8F2E5448D331E81FA1C7E155778C3B7CD1,B6B3E5A5A9E38C915C0C318B11B12BCB90E7BA156B530AA8225EB01B5F5A0061,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P03, expanded source lines 3524--3561; R823 P03 authority slice lines 3524--3561","French unit P03, expanded target lines 3325--3365; expanded French P03 slice lines 3321--3361","For P03, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P03, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P03, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P03, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P03: P03 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P03, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P04,9FC3F05AECA4F993BDDCE711E4D4AEFEDF2791FAA04BF5F8141A2B33776C2EB7,DFFFE2406A1BF63DF36E0788115E231E116BD2D9B14019F0B01A2E3008A8153D,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P04, expanded source lines 3562--4509; R823 P04 authority slice lines 3562--4509","French unit P04, expanded target lines 3366--4310; expanded French P04 slice lines 3362--4306","For P04, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P04, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P04, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P04, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P04: P04 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P04, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P05,618A1253ECA9390D37B8564D570E25E77945FB1BCB60862AC88EAAF0839E0DC0,4DE01AC3E2EAC6DEA9E707DB5B41AD7B975E2EC55F9A7D0298F801FEF127737E,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P05, expanded source lines 4510--4550; R823 P05 authority slice lines 4510--4550","French unit P05, expanded target lines 4311--4358; expanded French P05 slice lines 4307--4354","For P05, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P05, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P05, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P05, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P05: P05 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P05, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P06,76E910B534E8EDA2BE1486B624CC504DB0A5D2E887FDAAB1147F222B415274C0,0C02FA287B98AD159B92674504C40C3F52B0028BC8A98382D282A25876BE39D7,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P06, expanded source lines 4551--5815; R823 P06 authority slice lines 4551--5815","French unit P06, expanded target lines 4359--5991; expanded French P06 slice lines 4355--5987","For P06, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P06, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P06, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P06, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P06: P06 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P06, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P07,18EB5FFBE8A5CA1031AF7922F76486C50FC8FC20F97F5C9243BE230305835554,B1C9382B903344A9031B85EFE8EB6EC5A4A970F62BF6A185F0183098CF12B774,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P07, expanded source lines 5816--5930; R823 P07 authority slice lines 5816--5930","French unit P07, expanded target lines 5992--6127; expanded French P07 slice lines 5988--6123","For P07, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P07, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P07, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P07, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P07: P07 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P07, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P08,63C3F5D3CC4899F1F5D0E07D5317C1336D61573242540A4BA75453790572A5A8,A277B44D3B8B4ACBF19B5B81F0120D7868C2562295FCD01B8D3EBE6CCF4230AF,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P08, expanded source lines 5931--6321; R823 P08 authority slice lines 5931--6321","French unit P08, expanded target lines 6128--6589; expanded French P08 slice lines 6124--6585","For P08, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P08, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P08, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P08, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P08: P08 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P08, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P09,7C9C4970145A374552E0D68C5A5C8B5614447086737D808E2235805E38217FA7,7433BE7FED1145DDE4003AEF1EE539B141333FA4F33A4533E31AE81599C38342,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P09, expanded source lines 6322--7653; R823 P09 authority slice lines 6322--7653","French unit P09, expanded target lines 6590--7210; expanded French P09 slice lines 6586--7206","For P09, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P09, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P09, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P09, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P09: Restored the fraktur-H family, the authority's Omega field symbols, and all deliberately explicit multiplication operators; no notation blocker remains.","French R823 manager review for P09, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
P10,4EDD9F5B95EE308344B11190088C6D864FB4456AC8AD20E152FA1254E5612234,3F4FCE62FE997256819E78430BED0AB593F06F7209EB25216CFCC1C8191BC242,C6D82EDA47B6B199D750B93FBF9A67AE2D94E20C2A7615A07FAE5D06980D2C05,"R823 unit P10, expanded source lines 7654--7854; R823 P10 authority slice lines 7654--7854","French unit P10, expanded target lines 7211--7463; expanded French P10 slice lines 7207--7459","For P10, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P10, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P10, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P10, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P10: P10 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P10, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,1FC7702D297F596F772EB426B54577941A56886D9C07B98A5C011387B545C4A7,source-reconciled
