paper,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_math_tokens,target_math_tokens,math_token_ratio,source_commands,target_commands,status,note
1,8090,7795,0.9635,7,8,2,3,36,34,447,415,0.9284,145,125,present-structural-review,
2,145644,140570,0.9652,271,269,543,507,1840,1828,33838,32798,0.9693,7734,7520,present-structural-review,
3,8196,8946,1.0915,0,2,1,1,104,104,170,406,2.3882,109,120,present-structural-review,
4,99794,102141,1.0235,119,120,57,44,1282,1280,15937,15602,0.9790,3587,3461,present-structural-review,
5,8037,8573,1.0667,1,1,0,0,30,30,47,43,0.9149,33,56,present-structural-review,
6,92254,95679,1.0371,141,144,25,24,1808,1808,12307,11512,0.9354,2570,2542,present-structural-review,
7,8361,8347,0.9983,12,12,3,3,106,106,1219,1223,1.0033,226,221,present-structural-review,
8,24863,25183,1.0129,50,50,7,6,604,604,3897,3765,0.9661,893,845,present-structural-review,
9,76608,78099,1.0195,43,48,6,2,1936,1930,5580,5411,0.9697,2002,1998,present-structural-review,
10,27817,28276,1.0165,26,26,9,9,349,702,2624,2593,0.9882,600,606,present-structural-review,
11,25376,25539,1.0064,28,28,2,0,416,408,2838,2670,0.9408,670,636,present-structural-review,
12,18482,19354,1.0472,7,22,19,18,135,133,1208,2265,1.8750,507,546,present-structural-review,
13,57116,58089,1.0170,75,90,11,8,498,496,6282,7099,1.1301,1960,1995,present-structural-review,
14,62807,64924,1.0337,5,16,0,0,437,424,1832,1881,1.0267,803,703,present-structural-review,
15,45628,44832,0.9826,64,107,14,11,466,914,5384,7041,1.3078,1314,1272,present-structural-review,
16,16351,17071,1.0440,10,21,14,7,244,244,1184,1956,1.6520,431,475,present-structural-review,
17,92646,93463,1.0088,145,146,41,35,2033,2040,11098,10863,0.9788,3298,3246,present-structural-review,
18,2452,2630,1.0726,0,2,1,1,51,48,218,227,1.0413,57,53,present-structural-review,
19,129835,134184,1.0335,95,136,20,23,2866,2801,13034,13334,1.0230,3894,3545,present-structural-review,
20,20862,21938,1.0516,12,29,9,6,474,472,1549,2674,1.7263,539,574,present-structural-review,
21,9885,12424,1.2569,5,12,6,5,98,96,432,958,2.2176,271,446,present-structural-review,
22,79209,93207,1.1767,105,105,20,16,2271,2274,12695,12648,0.9963,2630,3413,present-structural-review,
23,22301,22822,1.0234,5,14,1,16,240,180,913,1669,1.8280,352,405,present-structural-review,
24,96694,105362,1.0896,45,54,8,3,2546,2530,9508,9540,1.0034,1774,1969,present-structural-review,
25,13055,13443,1.0297,3,3,1,0,304,306,810,740,0.9136,153,150,present-structural-review,
26,1020,1122,1.1000,0,0,0,0,0,0,0,0,1.0000,4,5,present-structural-review,
27,1638,1803,1.1007,0,0,0,0,12,12,30,41,1.3667,8,18,present-structural-review,
28,1402,1474,1.0514,0,0,0,0,0,0,0,0,1.0000,5,4,present-structural-review,
29,20957,21305,1.0166,5,7,2,1,610,608,1888,1901,1.0069,342,342,present-structural-review,
30,106640,101118,0.9482,79,78,9,1,2870,2416,7685,6204,0.8073,3438,2800,present-structural-review,
31,80004,65861,0.8232,33,47,18,5,2322,1856,5961,4075,0.6836,1992,1426,gross-structural-risk,target/source math-token ratio 0.68 below 0.70
32,22264,22127,0.9938,19,19,19,10,506,506,1491,1518,1.0181,305,259,present-structural-review,
33,9327,8543,0.9159,2,2,8,5,52,28,192,141,0.7344,136,87,present-structural-review,
34,122335,115199,0.9417,235,243,89,43,2991,2611,13266,11810,0.8902,3936,3550,present-structural-review,
35,32701,31748,0.9709,6,6,3,0,944,938,3173,2907,0.9162,696,560,present-structural-review,
36,629,639,1.0159,0,0,0,0,0,0,0,0,1.0000,8,8,present-structural-review,
37,21537,23749,1.1027,15,15,4,4,275,276,1808,2656,1.4690,462,461,present-structural-review,
38,26344,26849,1.0192,19,19,2,2,333,332,1626,1633,1.0043,459,450,present-structural-review,
39,18348,18726,1.0206,3,8,7,7,120,120,577,884,1.5321,154,164,present-structural-review,
40,81688,82865,1.0144,43,89,19,7,1265,1185,4927,4648,0.9434,1394,1178,present-structural-review,
41,26717,20601,0.7711,7,35,2,0,306,194,2057,1748,0.8498,319,197,present-structural-review,
42,23653,19247,0.8137,17,30,4,3,686,236,1791,1561,0.8716,580,406,present-structural-review,
43,88370,91959,1.0406,108,108,8,8,2891,2217,10162,10169,1.0007,2455,2458,present-structural-review,
