authority_sha256,target_document_sha256,section,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_commands,target_commands,status,note
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,1,1823,1842,1.0104,3,3,0,0,38,76,41,42,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,2,958,1016,1.0605,0,0,0,0,9,18,14,15,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,3,1418,1434,1.0113,2,2,0,0,27,52,58,56,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,4,7122,6916,0.9711,17,20,10,10,79,152,209,208,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,5,1673,1693,1.0120,3,3,3,3,21,21,82,83,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,6,2219,2272,1.0239,1,1,0,0,34,34,67,70,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,7,1632,1661,1.0178,0,0,0,0,32,32,28,29,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,8,945,979,1.0360,0,0,0,0,23,23,30,31,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,9,582,558,0.9588,0,0,0,0,14,14,9,10,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,10,600,621,1.0350,0,0,0,0,15,15,6,7,present-structural-review,
