unit_id,target_start_line,target_end_line,target_chars,target_utf8_bytes,target_sha256,target_root_tex,start_excerpt
P01,230,318,7815,7975,1132936A9FD07CA12CE4F96F30E9D2234EAD3E58691A7843AAF296F93652EF64,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,{\Large\bfseries 1. Sur la formation du système de formes de la forme\\ biquadratique ternaire}\par
P02,319,3229,141006,142689,73824B00E740843EBD87F4B7F0FB72F403E813AF2B17C55D0D58A170498CC39D,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,{\Large\bfseries 2. Sur la formation du système de formes de la forme\\ biquadratique ternaire}\par
P03,3230,3268,8962,9272,97702C2061C8E1225E3FCF35C1637064F4102E69810343F975AD955EDC7167D4,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,"{\Large\bfseries 3. Sur la théorie des invariants des formes à $n$ variables\footnote{Conférence donnée à la réunion des naturalistes de Salzbourg, 1909.}}\par"
P04,3269,4183,102397,104708,939B8C50CA0627C22D72E042D689DABAFD252AF2BC6AA5A5F9CE9071BB63257C,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,{\Large\bfseries 4. Sur la théorie des invariants des formes à $n$ variables}\par
P05,4184,4228,8621,8861,93BF5482DF5621CC834927A7CECF553F7B593E9B5A8E70555227D7D1C2771416,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,"{\Large\bfseries 5. Corps de fonctions rationnelles\footnote{Conférence prononcée à la \emph{Naturforscherversammlung}, Vienne, 1913.}}\par"
P06,4229,5859,107603,109905,2D56A8E3E4916747C89649F9A4DC361403DDE106CE9667B8424F30272A2F6652,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,{\Large\bfseries 6. Corps et systèmes de fonctions rationnelles}\par
P07,5860,5993,9130,9326,414A5E3F8FDE8BAB99E6F5405919BA4B191F097BC9A70367ECDF55C801CA1288,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,\section*{7. Le théorème de finitude pour les invariants des groupes finis}
P08,5994,6444,27794,28296,E0C35A297BF2C1BDF0601A8F35908CFC0924BE4F9182D48191AB563CB1B81A80,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,\section*{8. Sur la représentation entière rationnelle des invariants d'un système d'un nombre arbitraire de formes fondamentales}
P09,6445,7062,82085,83861,9BBECB5A85BB0938B0580565A80B0EB1AF3641F181F9B7A7E1C8CB409C1ADE10,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,{\Large\bfseries 9. Les domaines les plus généraux d'entiers transcendants}\par
P10,7063,7312,29801,30366,C2A177886D7B88D1B3BB9FAEE06B57C9FC40DAD1DC11165DE17E8BCB8407B8EA,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\working\r823_fr\tex\cum_fr_R823_COMPLETE.tex,{\Large\bfseries 10. Les équations fonctionnelles de l'application\\ isomorphe}\par
