page,render_path,sha256,pdf_sha256,renderer
1,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-001.png,6D3B376AC2CEE7A555A73599FE6D23DF7EA565F691DB243DEA6638DDF7AAAA84,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
2,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-002.png,2CB9E55817004763027EA48E328ECC40F894FEB030D3A5C23914DAA23A5F0B4A,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
3,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-003.png,69C135EFA3BECA5ACF8A784C4363EDE1EB888330C0AE982CC168E85986940A60,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
4,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-004.png,0AB78BE4FA0B1728FF5705A66B530E8D342B1F83D1878744038B219C626259AF,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
5,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-005.png,1B969658BDA9330C0F7E813408EA913A59D8886CE95C81831C826F077C5094DC,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
6,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-006.png,F423B1D97F300D9FA1A72E5068C116CA6655C3EF7840399482D4EF32844B7660,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
7,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-007.png,E6D9EEA20BAF30CDE13F837F6071A74FFF9111B7F23BEF687C466B2717C93B18,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
8,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-008.png,9CE60F25D2B9DFD6A8CF20BA7D50D798E08E3C87BB6996D660917C2DDAC982CB,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
9,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-009.png,06BD8123F931FE3475CD9F1E39E5EF7B62EC850A557213DFE5571E4430F2449A,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
10,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\fr_r823_20260717\evidence\visual_qa\FINAL_6D6B23B3E196_20260718_R2\full_pages_120dpi\page-010.png,D4C294C16B61AF27B8F3B404F5F8000C5A21522B9CD8311FEA26ABB0BD5FD4DC,6D6B23B3E196F0A76D179AFC359675EF97784D3091C391AFAA56FD6211F2FC9E,Poppler pdftoppm sequential full-document render at 120 dpi
