authority_sha256,target_document_sha256,paper,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_math_tokens,target_math_tokens,math_token_ratio,source_commands,target_commands,status,note
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,1,8090,7795,0.9635,7,8,2,3,36,34,447,415,0.9284,145,125,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,2,145644,140570,0.9652,271,269,543,507,1840,1828,33838,32798,0.9693,7734,7520,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,3,8196,8946,1.0915,0,2,1,1,104,104,170,406,2.3882,109,120,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,4,99794,102141,1.0235,119,120,57,44,1282,1280,15937,15602,0.9790,3587,3461,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,5,8037,8573,1.0667,1,1,0,0,30,30,47,43,0.9149,33,56,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,6,92254,95679,1.0371,141,144,25,24,1808,1808,12307,11512,0.9354,2570,2542,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,7,8361,8347,0.9983,12,12,3,3,106,106,1219,1223,1.0033,226,221,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,8,24863,25183,1.0129,50,50,7,6,604,604,3897,3765,0.9661,893,845,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,9,76608,78099,1.0195,43,48,6,2,1936,1930,5580,5411,0.9697,2002,1998,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,10,27817,28276,1.0165,26,26,9,9,349,702,2624,2593,0.9882,600,606,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,11,25376,25539,1.0064,28,28,2,0,416,408,2838,2670,0.9408,670,636,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,12,18482,19354,1.0472,7,22,19,18,135,133,1208,2265,1.8750,507,546,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,13,57116,58085,1.0170,75,90,11,8,498,496,6282,7095,1.1294,1960,1995,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,14,62807,64924,1.0337,5,16,0,0,437,424,1832,1881,1.0267,803,703,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,15,45628,44832,0.9826,64,107,14,11,466,914,5384,7041,1.3078,1314,1272,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,16,16351,17071,1.0440,10,21,14,7,244,244,1184,1956,1.6520,431,475,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,17,92646,93463,1.0088,145,146,41,35,2033,2040,11098,10863,0.9788,3298,3246,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,18,2452,2630,1.0726,0,2,1,1,51,48,218,227,1.0413,57,53,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,19,129835,134184,1.0335,95,136,20,23,2866,2801,13034,13334,1.0230,3894,3545,present-structural-review,
