evidence_id,channel,concept_id,observed_form,language,script,source_title,source_path_or_uri,sha256,page_or_line,context_window,source_class,concept_match,provenance_level,review_status,permitted_uses,notes
ZH-P33-E001,support,linear_representation,"表示; 不可约; 完全可约",zh-Hans-CN,Hans,HFUT group representation lecture PDF,https://faculty.hfut.edu.cn/_resources/group1/M00/00/1A/rB_zR2jQEVKARzGGABDKdnVFJ60618.pdf,01C390945C8795BF481E6B429B20579751075C6C712736669FCFE5854AB53C49,"extracted lines 125-204","Defines group representations by linear maps and distinguishes irreducible from completely reducible representations.",native_independent_target_source,exact,row_verified,sense_checked,"candidate_discovery;consistency_check;target_witness","PRC Simplified witness; cannot authorize Singapore or regional Hant usage."
ZH-P33-E002,support,division_ring,除环,zh-Hans-CN,Hans,AlJabr-1 chapter 5,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter5.tex",E747D16B2EBACC95CF1C34DA4BC8B7775A5ED8787B6D1EDC2CC8E303535AC143,"lines 203-206","Defines a division ring and states that a commutative division ring is a field.",native_independent_target_source,exact,row_verified,sense_checked,"candidate_discovery;consistency_check;target_witness","Controls noncommutative Körper as 除环 rather than bare 域."
ZH-P33-E003,support,group_ring,群环,zh-Hans-CN,Hans,AlJabr-1 chapters 5 and 9,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter9.tex",308213DDC499FFBAC98E2E6C865F0F654C9A90B321C660211ACB1DE7B1F95957,"lines 703 and 728","Uses 群环 in ring and representation contexts; chapter 5 defines finite formal linear combinations for monoid rings.",native_independent_target_source,exact,row_verified,context_checked,"candidate_discovery;consistency_check;target_witness","Supports 群环; does not independently attest the historical label 群数."
ZH-P33-E004,support,composition_series,"合成列; 合成因子",zh-Hans-CN,Hans,AlJabr-1 chapter 4,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter4.tex",63DBB81492F02F00A2D1D42B0AD382A26DB92DA08E8ED8D523B92BCACAB870A3,"lines 796-820 and 902-911","Defines group composition series and composition factors and states the Jordan--Hölder theorem.",native_independent_target_source,exact,row_verified,sense_checked,"candidate_discovery;consistency_check;target_witness","Supports the controlled parenthetical 因子群（合成因子）."
ZH-P33-E005,support,simple_and_indecomposable,"单模; 不可分解模",zh-Hans-CN,Hans,AlJabr-1 chapter 6,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter6.tex",C825F51DC19C254C89A7EDE05723B62D6CD2B18CC6AC8C78D9EA00C3B8434E49,"lines 89 and 1765ff","Defines simple modules and separately discusses indecomposable modules.",native_independent_target_source,exact,row_verified,sense_checked,"candidate_discovery;consistency_check;target_witness","Prevents collapse of 不可约/单 and 不可分解."
ZH-P33-E006,support,endomorphism_division_ring,"自同态环; 除环",zh-Hans-CN,Hans,AlJabr-1 chapter 6,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter6.tex",C825F51DC19C254C89A7EDE05723B62D6CD2B18CC6AC8C78D9EA00C3B8434E49,"line 1684","Schur's lemma: for a simple module M the endomorphism ring End_R(M) is a division ring.",native_independent_target_source,exact,row_verified,sense_checked,"candidate_discovery;consistency_check;target_witness","Exact support for correcting inherited 自同构环/自同构除环."
ZH-P33-E007,support,quotient_ring,商环,zh-Hans-CN,Hans,AlJabr-1 chapter 5,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter5.tex",E747D16B2EBACC95CF1C34DA4BC8B7775A5ED8787B6D1EDC2CC8E303535AC143,"line 1369","Uses 商环 for a quotient ring by an ideal.",native_independent_target_source,exact,row_verified,context_checked,"candidate_discovery;consistency_check;target_witness","Supports 商环; not exact support for the historical radical term."
ZH-P33-E008,support,splitting_field,分裂域,zh-Hans-CN,Hans,AlJabr-1 chapter 8,"03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter8.tex",365D36BB26F16D6679169C338934EB0404C29282DA568F3F1916663A6808C6D4,"lines 317-326","Uses 分裂域 in the field-theoretic splitting-field sense.",native_independent_target_source,exact,row_verified,sense_checked,"candidate_discovery;consistency_check;target_witness","Distinguished from source Zerfallen as decomposition."
ZH-P33-E009,candidate,semisimple_ring,"完全可约环; 半单环",zh-Hans-CN,Hans,HFUT representation lecture and Paper 28 terminology continuity,"03_projects/language_management/cjk/03_working_translations/noether_paper28_cjk_tranche_003_20260718/TERMINOLOGY.md",FA973F0CE3FE77CC2C3734B44249515ED418D877D484B223A317DC8CD1E71B9C,"row vollständig reduzibler Ring","HFUT supports 半单/完全可约 at representation level; the prior Noether tranche controls the historical ring-level pairing.",language_family_reference_shelf,near,concept_shelf,context_checked,"candidate_discovery;consistency_check","Continuity evidence is not independent native proof of the exact historical ring phrase."
ZH-P33-E010,candidate,double_chain_condition,双链条件,zh-Hans-CN,Hans,Paper 26 terminology continuity,"03_projects/language_management/cjk/03_working_translations/noether_paper26_cjk_tranche_002_20260717/TERMINOLOGY.md",2DDEEF90221C86CB908995AF2F5DED7ED1EF9DE38C076C3C8E7D4EA8622898AB,"row Doppelkettensatz","Retains 双链条件 under the historical source-defined paired-chain sense.",language_family_reference_shelf,near,concept_shelf,sense_checked,"candidate_discovery;consistency_check","Exact local Chinese attestation remains absent."
