adverse_id,channel,concept_or_unit,form_or_defect,evidence_path_or_source,sha256_or_version,anchor,severity,disposition,notes
ZH-P33-A001,adverse,source_boundary,"Ordinary section-to-section extraction carries Paper 34 macro setup and footnote reset",source/Noether_Paper33_German_P31_section_interval_exact_CRLF.tex,B46F187B68752277F80C70268F34EDA21534F08CE55A9E85AEE3A7C946E50189,"tail after Paper 33 first clearpage",high,preserved_as_boundary_witness,"Translation and standalone build use the exact logical article A61962BD... with an explicit opening footnote reset."
ZH-P33-A002,adverse,witness_boundary,"Inherited section-to-section extraction carries Paper 34 BEGIN comments and reset",witness/Noether_Paper33_SimplifiedChinese_structural_next_section_boundary_defect_exact_CRLF.tex,2A03AECA0B2EC4AE232836F8A413E89D45556E698D7AE47214A221CF6CB13E95,tail,high,preserved_as_adverse_only,"The exact inherited logical article 570456F7... is the translation witness."
ZH-P33-A003,veto,group_notation,"Inherited plain G differs from sealed source fraktur G",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,"representation definition",critical,corrected,"Target restores $\\mathfrak{G}$."
ZH-P33-A004,veto,operator_group_notation,"Inherited uses fraktur M at three loci where sealed P31 has fraktur B",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,"operator-domain paragraph",critical,corrected,"Target restores all three $\\mathfrak{B}$ loci."
ZH-P33-A005,adverse,title_scope,"Inherited title attaches the arithmetical viewpoint only to representation theory",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,section title,high,corrected,"Target uses 算术观点下的超复量与表示论."
ZH-P33-A006,adverse,emphasis,"Inherited narrows two source emphases and adds six bibliographic italics",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,"citation footnotes and problem statements",medium,corrected,"Target maps exactly six source emphasis loci."
ZH-P33-A007,veto,endomorphism_ring,"Inherited 自同构环/自同构除环 excludes the zero endomorphism and misstates the Schur-lemma object",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,"final paragraph Automorphismenring/-körper",critical,replaced,"Native AlJabr line 1684 supports 自同态环 and 除环."
ZH-P33-A008,adverse,operator_domain,"Inherited 算子域 risks collision with coefficient field and analytic operator domain",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,"operator-domain paragraph",high,replaced_with_source_defined_form,"Target uses 算子系 and the source immediately defines the operator family; exact independent attestation remains held."
ZH-P33-A009,adverse,group_number,"Bare 群数 can be read as a numerical invariant or group cardinality",witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,570456F74F69CAD41FC294782CB34FA50F20401C08D28DF0B15BC2D37C8BF042,"group-ring paragraph",high,retained_only_with_gloss,"Target says 群数（即群环元素） and gives the finite-linear-combination definition."
ZH-P33-A010,gap,radical,"No exact independent Chinese shelf attestation for inherited 根基 in this Artinian Jacobson-radical sense",evidence/CHINESE_NATIVE_EVIDENCE_LEDGER.csv,2026-07-18,"checked AlJabr/HFUT shelf",medium,controlled_with_explicit_gloss,"Target says 根基（在此即 Jacobson 根）; external domain review remains pending."
ZH-P33-A011,gap,hypercomplex,"No independent Chinese shelf witness establishes 超复量 as a native standard term for Noether's historical hypercomplex systems",evidence/CHINESE_NATIVE_EVIDENCE_LEDGER.csv,2026-07-18,"checked recovered Chinese shelf",medium,controlled_historical_continuity,"Do not narrow it to a modern species or claim external acceptance."
ZH-P33-A012,adverse,dominance,"Every usable independent Chinese witness is PRC Simplified",evidence/CHINESE_NATIVE_EVIDENCE_LEDGER.csv,2026-07-18,whole ledger,high,qualitative_dominance_debt,"No scalar penalty is computed; evidence cannot authorize zh-Hans-SG or regional Hant prose."
ZH-P33-A013,adverse,zh_Hant_localization,"Generic s2t conversion cannot establish Taiwan Hong Kong or Macao prose",zh-Hant-controlled/Noether_Paper33_Chinese_P31Reconciled_zh-Hant-controlled_v001.tex,OpenCC-0.1.7-s2t-plus-controlled-normalization,whole file,high,explicitly_nonlocalized,"Controlled Hant is a script derivative only."
ZH-P33-A014,adverse,same_lane_concurrency,"A separate live Chinese Paper 23 tranche was being edited when Paper 33 was claimed",CLAIM_AND_CURSOR.md,2026-07-18T17:25:00+02:00,"collision check",medium,isolated_nonoverlapping_path,"This tranche does not edit Paper 23 or its build products."
