"thread_id","title","observed_status","visible_risk","action","boundary"
"019f2b1c-0b86-7ef0-a2c0-54ba67a9ef0e","Noether J - R2 Pan-Turkic Blockers","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1b-b71d-7a13-8daa-f60f930faf65","Noether H - R9 Africa Horn West","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1b-76eb-76b2-9994-605163fe315b","Noether G - R7 Malay SEA Pacific","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1a-c368-7072-a0b6-eb61614a7580","Noether C - Non-Slavic Core Lane","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1b-443f-7d12-94b2-234a0710581e","Noether F - R3 Arabic Persianate LA","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1a-e5f6-7603-95c8-138242581298","Noether D - Interlanguage Authority","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1a-9ff1-7530-b677-82bd81bd2c83","Noether B - GitHub PR Branch Steward","active","old_package_frontier_preview","packaging-specific whole-corpus wake sent","package/push lane only"
"019f2b1c-9b41-71b3-8924-5d774941fb10","Noether L - Slavic Canonical Baseline","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1b-09a8-7861-aa25-c87b6d5adf16","Noether E - CJK Native Source Evidence","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b1c-6412-7630-a8d7-11bd75a54bb9","Noether K - OLP Relation Function Support","active","narrow_or_checkpoint_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b3c-ba4c-7a20-adf3-b273a8b12f4c","Split Session C by CJK lane","active","narrow_split_lane_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b3c-6c21-7013-9928-855d3ec34bd4","Split Session C translations","active","narrow_split_lane_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b3d-0b6a-79f3-8cf4-4ab1d84ffc0d","Split Arabic session work","active","narrow_split_lane_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f2b3d-6628-7243-ba7a-429e022f974b","Split Persian-Tajik sessions","active","narrow_split_lane_preview","whole-corpus wake sent","no push/no completion claims requested"
"019f3329-ad9c-78a2-8255-5c23752caf73","Noether B3 - GitHub Package Steward","active","packager_not_language_lane","left for B3 pickup after artifact build","B3 packages/pushes; language lanes do not push"
