row_type,recorded_utc,head_context,route,source_rows_carried,source_use_label,current_action,non_claim_boundary,ledger_type,evidence_basis,adverse_or_do_not_use_note,requirement,current_status,next_action
r6_source_use,2026-07-06T22:28:48Z,d8fdb95a847340c2f74062354cc95f675248fe1a,Indigenous,13,source-body/provenance/gap recovery only,carry forward C33-verified source witness rows; current head has no local R6-specific head-named file hit unless listed separately,no community consent/native review/approval/source certification/final translation claim,,,,,,
r6_source_use,2026-07-06T22:28:48Z,d8fdb95a847340c2f74062354cc95f675248fe1a,Creole/contact,54,source-body/provenance plus noncanonical generated-draft audit only,preserve Kreyol/Bislama generated-draft support as noncanonical; no new translation output,no accepted terminology/license clearance/translation completion claim,,,,,,
r6_source_use,2026-07-06T22:28:48Z,d8fdb95a847340c2f74062354cc95f675248fe1a,Sign/access,90,access-route metadata only,"carry sign/access metadata forward; no sign media, sign rendering, or visual inventory",no sign-media reuse/native review/community approval/source certification claim,,,,,,
r6_source_use,2026-07-06T22:28:48Z,d8fdb95a847340c2f74062354cc95f675248fe1a,Branch head D8FDB95A,315,current-head comparison/provenance only,record remote unavailable in this workspace; hand off to B3 for branch-visible comparison,no branch-visible completion claim from non-git workspace,,,,,,
r6_source_use,2026-07-06T22:28:48Z,d8fdb95a847340c2f74062354cc95f675248fe1a,Branch payload correction D8FDB95A,315,payload-frontier provenance/gap only,"Payload/source-gate frontier note: B3 has packaged the R6 7A payload-frontier package and now reports d8fdb95a847340c2f74062354cc95f675248fe1a as the current frontier after a Non-Slavic manifest refresh. R6 records D8 as source-use/provenance/gap and manifest-refresh context only; no source-body duplication, review approval, source certification, gate promotion, or translation output is inferred.","do not treat metadata correction, branch packaging, or source-gate material as native review, community consent, approval, license clearance, gate promotion, source certification, final status, or translation completion",,,,,,
r6_fable_adverse,2026-07-06T22:28:48Z,,Indigenous,,,,,source-use/adverse-evidence,literal source rows carried: 13,do not infer native review/community consent/accepted terms from source-body availability,,,
r6_fable_adverse,2026-07-06T22:28:48Z,,Creole/contact,,,,,source-use/adverse-evidence,literal source rows carried: 54; generated-draft rows carried: 6,"do not treat generated-draft scaffolds as canonical, accepted terminology, or pan-creole/interlanguage approval",,,
r6_fable_adverse,2026-07-06T22:28:48Z,,Sign/access,,,,,do-not-use/access boundary,route metadata rows carried: 90,"do not create sign rendering, visual inventory, or sign-media claims",,,
r6_fable_adverse,2026-07-06T22:28:48Z,,Branch payload correction D8FDB95A,,,,,source-use/adverse-evidence,"Payload/source-gate frontier note: B3 has packaged the R6 7A payload-frontier package and now reports d8fdb95a847340c2f74062354cc95f675248fe1a as the current frontier after a Non-Slavic manifest refresh. R6 records D8 as source-use/provenance/gap and manifest-refresh context only; no source-body duplication, review approval, source certification, gate promotion, or translation output is inferred.","do not convert payload-frontier correction or source-gate packaging into source certification, approval, accepted terminology, bridge/pilot, or translation-completion claims",,,
r6_ethics_authority,2026-07-06T22:28:48Z,,Indigenous,,,,,,,,"source-owner/reviewer route before lexicon, translation, or authority promotion",carried literal Indigenous body rows: 13,continue exact reviewer/source-owner discovery; keep rows in source-start/provenance/gap state
r6_ethics_authority,2026-07-06T22:28:48Z,,Creole/contact,,,,,,,,separate named creole/contact sources from generalized interlanguage claims,carried creole/contact literal body rows: 54; generated-draft rows: 6,maintain noncanonical/support-only labels; no accepted terms or translation output
r6_ethics_authority,2026-07-06T22:28:48Z,,Sign/access,,,,,,,,source/media authority and signed-language reviewer route before sign rendering or visual inventory,carried sign/access metadata rows: 90,continue route metadata and permission blocker tracking only
r6_ethics_authority,2026-07-06T22:28:48Z,,Branch/current-head authority,,,,,,,,B3 branch-visible comparison required because this lane workspace is not a git checkout,remote_head_unavailable_workspace_not_git_checkout,B3 should compare this packet against D8FDB95A branch-visible R6 artifacts
