concept_id,unit_id,item,unit_type,fr_count,en_count,source_pages,evidence,scope
coherent-sheaf,fga.149,149,expose,15,14,169--193,Exposé 149 — Théorèmes de dualité pour les faisceaux algébriques cohérents 149 169 (Mai 1957) THÉORÈMES DE DUALITÉ POUR LES FAISCEAUX ALGÉBRIQUES COHÉRENTS par Alexandre,aggregate
coherent-sheaf,fga.149.s3,149,section,1,1,173--177,"^ n ) . Alors on a un isomorphisme fonctoriel pour les faisceaux algébriques cohérents F sur Y : equation 3.8 _ _X ^ p (F, _X^ n ) = _ _X (F, _Y^ q ). equation",aggregate
coherent-sheaf,fga.149.s3.corollary.u.n01,149,corollary,1,1,177--177,"^ n ) . Alors on a un isomorphisme fonctoriel pour les faisceaux algébriques cohérents F sur Y : equation 3.8 _ _X ^ p (F, _X^ n ) = _ _X (F, _Y^ q ). equation",precise
coherent-sheaf,fga.149.s4,149,section,2,2,177--181,"p . Si Y est une partie fermée de X , on identifie les faisceaux algébriques cohérents sur Y à des faisceaux cohérents sur X nuls hors de Y ; il en est en particulier ainsi de _Y et",aggregate
coherent-sheaf,fga.149.s5,149,section,3,3,181--185," Alors le foncteur F H^ r-i (P,F) sur la catégorie des faisceaux algébriques cohérents sur P est coeffaçable, et il en est de même du foncteur Ext_ _X ^ i (X;F,B) sur la catégorie d",aggregate
coherent-sheaf,fga.149.s5.corollary.u.n02,149,corollary,2,2,183--184," Alors le foncteur F H^ r-i (P,F) sur la catégorie des faisceaux algébriques cohérents sur P est coeffaçable, et il en est de même du foncteur Ext_ _X ^ i (X;F,B) sur la catégorie d",precise
coherent-sheaf,fga.149.s5.lemma.5,149,lemma,1,1,184--185,"LEMME 5 Soient A et B deux faisceaux algébriques cohérents sur X , posons A(m)=A _X(m) . Alors, pour m assez grand, l'homomorphisme canonique \[ Ext_ _X ",precise
coherent-sheaf,fga.149.s6,149,section,1,1,185--187,"n . [iii.] Le foncteur H^ p (X,F) sur la catégorie des faisceaux algébriques cohérents sur X est coeffaçable pour n-k p<n . [iv.] On a E^ i ( _X)= _ _P ^ r-n+i ( _X, _P^ r )=0 pour ",aggregate
coherent-sheaf,fga.149.s6.theorem.3-bis,149,theorem,1,1,186--186,"n . [iii.] Le foncteur H^ p (X,F) sur la catégorie des faisceaux algébriques cohérents sur X est coeffaçable pour n-k p<n . [iv.] On a E^ i ( _X)= _ _P ^ r-n+i ( _X, _P^ r )=0 pour ",precise
coherent-sheaf,fga.149.s7,149,section,1,1,187--189,"jective non singulière, la formule de Künneth pour les faisceaux algébriques cohérents donne equation 7.1 H^ * (X Y)=H^ * (X) H^ * (Y), equation isomorphisme compatible avec les str",aggregate
coherent-sheaf,fga.149.s8,149,section,4,4,189--192,", ,A_r ; B_1, ,B_s , 190 variant dans la catégorie des faisceaux algébriques cohérents sur X , et dont les valeurs sont dans la catégorie des faisceaux algébriques cohérents sur X ,",aggregate
coherent-sheaf,fga.149.s8.theorem.6,149,theorem,2,2,191--192,"acilement de ce corollaire que si K est un complexe de faisceaux algébriques cohérents localement libres, alors l'hypercohomologie de X par rapport à K est en dualité avec l'hyperco",precise
coherent-sheaf,fga.e149,e149,erratum,2,2,298--298," no 149 footnote 0 298 1. Théorème de dualité pour les faisceaux algébriques cohérents. center [Séminaire Bourbaki, t. 9, 1956/57, no 149, 25 p.] center sur la page 14. — Comme je l",aggregate
coherent-sheaf,fga.182,182,expose,28,8,193--220,"ma (noethérien, comme toujours), le faisceau _X est un faisceau cohérent d'anneaux au sens de [2]. Les faisceaux cohérents de modules sur X sont donc aussi les faiscea",aggregate
coherent-sheaf,fga.182.s1,182,section,2,1,193--195,"ma (noethérien, comme toujours), le faisceau _X est un faisceau cohérent d'anneaux au sens de [2]. Les faisceaux cohérents de modules sur X sont donc aussi les faiscea",aggregate
coherent-sheaf,fga.182.s2,182,section,3,0,195--196,"et X' une partie fermée de X . Alors il existe un sous-faisceau cohérent J de _X tel que X'=Supp( _X/J) (et il en existe même un plus grand). Muni de _X/J , X' devient",aggregate
coherent-sheaf,fga.182.s3,182,section,14,5,196--199," schémas formels, qui est d'ailleurs propre. Soit F un faisceau cohérent sur X , alors F est un faisceau cohérent sur X . Dans le théorème 1, on oublie X,Y,F et on ne ",aggregate
coherent-sheaf,fga.182.s3.theorem.1,182,theorem,3,1,196--197,e finitude) enumerate [i.] Les R^ q f_ * ( F) sont des faisceaux cohérents sur Y . [ii.] Les homomorphismes naturels \[ R^ q f_ * ( F) _n R^ q f_ n* (F_n) \] sont des is,precise
coherent-sheaf,fga.182.s3.theorem.2,182,theorem,1,1,197--197,"er théorème de comparaison) Les R^ q f_ * (F) sont des faisceaux cohérents sur Y (ce qui est un cas particulier du théorème 1), et les homomorphismes naturels \[ R^ q f_",precise
coherent-sheaf,fga.182.s3.corollary.2,182,corollary,1,0,197--197," Y' étant défini par l'idéal J de A . Alors, pour tout faisceau cohérent F sur X , les H^ q (X,F) sont des A -modules de type fini, dont les complétés J -adiques sont ",precise
coherent-sheaf,fga.182.s3.corollary.3,182,corollary,3,3,197--198,", Y' étant défini par l'idéal J de A . Soient F,G deux faisceaux cohérents sur X , alors Hom(F,G) est un module de type fini sur A , dont le complété J -adique s'identif",precise
coherent-sheaf,fga.182.s3.theorem.3,182,theorem,1,0,198--198,"it isomorphe à un faisceau de la forme F , où F est un faisceau cohérent sur X (déterminé à un isomorphisme canonique près en vertu du théorème 2, corollaire 3). [On r",precise
coherent-sheaf,fga.182.s3.corollary.1.n02,182,corollary,1,0,198--198,"els fermés de X . En effet, ils correspondent aux sous-faisceaux cohérents de _X , resp. de _X . Regardant les graphes de morphismes comme des sous-schémas fermés, on dé",precise
coherent-sheaf,fga.182.s3.theorem.4,182,theorem,1,0,198--199,"sition 3 plus bas) que (i) et (ii) impliquent que tout faisceau cohérent sur X_0 , localement isomorphe au faisceau fondamental, s'obtient par réduction à partir d'un ",precise
coherent-sheaf,fga.182.s4,182,section,1,0,199--200,"ors d'après le théorème de finitude f_*( _X)= A est un faisceau cohérent sur Y , c'est d'ailleurs un faisceau d'algèbres commutatives, donc il correspond à un Y -schém",aggregate
coherent-sheaf,fga.182.s5,182,section,5,1,200--203,"res et plats Soit f:X Y un morphisme propre, soit F un faisceau cohérent sur X , F étant supposé Y -plat, i.e. les F_x sont des modules plats sur les anneaux _y ( y=f(",aggregate
coherent-sheaf,fga.182.s5.proposition.1,182,proposition,1,0,201--201,"est un morphisme plat (i.e. _X est Y -plat) alors tout faisceau cohérent localement libre F sur X est Y -plat. Soient F,G deux tels faisceaux, appliquons la propositio",precise
coherent-sheaf,fga.182.s5.theorem.7,182,theorem,1,1,201--201," 7 Soit f un morphisme propre et plat, soient F,G deux faisceaux cohérents localement libres sur X , soit y Y et supposons que \[ H^1 (X_y, _ _ X_y (F_y,G_y) )=0, \] alo",precise
coherent-sheaf,fga.182.s5.corollary.2,182,corollary,1,0,202--202,"COROLLAIRE 2 Soit E_0 un faisceau cohérent localement libre sur X_y tel que \[ H^1 (X_y; _ _ X_y (E_0,E_0) )=0, \] alors deux faisceaux l",precise
coherent-sheaf,fga.182.s5.proposition.2,182,proposition,1,0,202--202,"PROPOSITION 2 Soient Y un schéma connexe, E un faisceau cohérent localement libre sur Y , considérons le fibré en espaces projectifs X= P(E) associé à E , muni",precise
coherent-sheaf,fga.182.s6,182,section,1,1,203--207,"et Le théorème 7 donnait un résultat d'unicité sur des faisceaux cohérents localement libres, en utilisant les théorèmes 1 et 2. Utilisant le théorème 3, nous déduisons ",aggregate
coherent-sheaf,fga.182.s8,182,section,1,0,209--220,"merate [i.] X' est fini sur X , i.e. est défini par un faisceau cohérent d'algèbres A= A(X') sur X ; [ii.] A est un faisceau localement libre sur X ; [iii.] Pour tout ",aggregate
coherent-sheaf,fga.190,190,expose,3,13,299--327,"d'un revêtement étale T' de S' , i.e. A' provient d'un faisceau cohérent d'algèbres A' sur S' . D'autre part, A' est muni d'une donnée de descente canonique relativeme",aggregate
coherent-sheaf,fga.190.sa,190,section,3,4,300--314,"d'un revêtement étale T' de S' , i.e. A' provient d'un faisceau cohérent d'algèbres A' sur S' . D'autre part, A' est muni d'une donnée de descente canonique relativeme",aggregate
coherent-sheaf,fga.190.sa.remark.u.n01,190,remark,3,0,307--312,"d'un revêtement étale T' de S' , i.e. A' provient d'un faisceau cohérent d'algèbres A' sur S' . D'autre part, A' est muni d'une donnée de descente canonique relativeme",precise
coherent-sheaf,fga.190.sb,190,section,0,9,314--327," flat over S , then the inverse-image functor on quasi-coherent sheaves over S is exact and faithful. In other words, for a sequence of homomorphisms of quasi-coheren",aggregate
coherent-sheaf,fga.190.sb.definition.1-1,190,definition,0,3,314--315," flat over S , then the inverse-image functor on quasi-coherent sheaves over S is exact and faithful. In other words, for a sequence of homomorphisms of quasi-coheren",precise
coherent-sheaf,fga.190.sb.theorem.1,190,theorem,0,2,315--315,"A, Definition 1.7) for the fibered category F of quasi-coherent sheaves (A, Section 1, Example 2). This statement means two things: enumerate [(i)] If F and G are two",precise
coherent-sheaf,fga.190.sb.corollary.u.n01,190,corollary,0,2,316--317,"introducing various additional structures on the quasi-coherent sheaves (or systems of sheaves) under consideration. For example, the datum over S of a sheaf 317 of c",precise
coherent-sheaf,fga.190.sb.remark.u.n01,190,remark,0,2,318--324,') of F' over S' _SS' likewise correspond to the quasi-coherent sheaves of ( A' _ O_S A') -modules \[ F' _ O_S A' A' _ O_S F'. \] Giving a homomorphism over S' _SS' f,precise
coherent-sheaf,fga.195,195,expose,2,1,369--390,"on pose P_A=X_A _ X_A , où O_ X_A est regardé comme un faisceau cohérent sur P_A grâce au morphisme diagonal X_A P_A , et où I_ X_A désigne le faisceau cohérent d'idéa",aggregate
coherent-sheaf,fga.195.sb,195,section,0,1,377--378,"ibered category ([3], A, Definition 1.1) of flat quasi-coherent sheaves on variable preschemes. Then the morphism Spec(A') (A) is a strict F -descent morphism ([3], A",aggregate
coherent-sheaf,fga.195.sb.theorem.2,195,theorem,0,1,378--378,"ibered category ([3], A, Definition 1.1) of flat quasi-coherent sheaves on variable preschemes. Then the morphism Spec(A') (A) is a strict F -descent morphism ([3], A",precise
coherent-sheaf,fga.195.sc,195,section,2,0,378--390,"on pose P_A=X_A _ X_A , où O_ X_A est regardé comme un faisceau cohérent sur P_A grâce au morphisme diagonal X_A P_A , et où I_ X_A désigne le faisceau cohérent d'idéa",aggregate
coherent-sheaf,fga.195.sc.remark.u.n04,195,remark,2,0,386--389,"on pose P_A=X_A _ X_A , où O_ X_A est regardé comme un faisceau cohérent sur P_A grâce au morphisme diagonal X_A P_A , et où I_ X_A désigne le faisceau cohérent d'idéa",precise
