ref_id,language,source_unit,file,line,raw,ref_kind,status,selected_target,candidate_count
ref.fr.000001,fr,fga.149,fr/149.tex,11,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000002,fr,fga.149,fr/149.tex,12,[2],bibliography,RESOLVED,fga.149.bib.ref.2,1
ref.fr.000003,fr,fga.149.s1,fr/149.tex,14,[2],bibliography,RESOLVED,fga.149.bib.ref.2,1
ref.fr.000004,fr,fga.149.s1.proposition.2,fr/149.tex,121,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000005,fr,fga.149.s2,fr/149.tex,143,[1],bibliography,RESOLVED,fga.149.bib.ref.1,1
ref.fr.000006,fr,fga.149.s5.corollary.u.n01,fr/149.tex,843,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000007,fr,fga.149.s5.lemma.2,fr/149.tex,848,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000008,fr,fga.149.s5.lemma.3,fr/149.tex,863,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000009,fr,fga.149.s5.lemma.4,fr/149.tex,880,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000010,fr,fga.149.s6.corollary.u.n01,fr/149.tex,1056,[3],bibliography,RESOLVED,fga.149.bib.ref.3,1
ref.fr.000011,fr,fga.149.s6.corollary.u.n01,fr/149.tex,1059,[4],bibliography,RESOLVED,fga.149.bib.ref.4,1
ref.fr.000012,fr,fga.149.s2,fr/149.tex,157,équation (2.1,explicit_equation,RESOLVED,fga.149.s2.eq.2-1,1
ref.fr.000013,fr,fga.149.s2,fr/149.tex,238,proposition 1,explicit_proposition,RESOLVED,fga.149.s1.proposition.1,1
ref.fr.000014,fr,fga.149.s3.corollary.1,fr/149.tex,407,corollaire 1,explicit_corollary,AMBIGUOUS,,3
ref.fr.000015,fr,fga.149.s3.corollary.2,fr/149.tex,426,formule (3.6 bis,explicit_equation,RESOLVED,fga.149.s3.corollary.2.eq.3-6-bis,1
ref.fr.000016,fr,fga.149.s3.proposition.5,fr/149.tex,467,proposition 4,explicit_proposition,RESOLVED,fga.149.s3.proposition.4,1
ref.fr.000017,fr,fga.149.s3.proposition.5,fr/149.tex,480,proposition 5,explicit_proposition,RESOLVED,fga.149.s3.proposition.5,1
ref.fr.000018,fr,fga.149.s4.lemma.1,fr/149.tex,524,proposition 5,explicit_proposition,RESOLVED,fga.149.s3.proposition.5,1
ref.fr.000019,fr,fga.149.s4.lemma.1,fr/149.tex,526,formule (4.1,explicit_equation,RESOLVED,fga.149.s4.lemma.1.eq.4-1,1
ref.fr.000020,fr,fga.149.s4.lemma.1,fr/149.tex,527,proposition 1,explicit_proposition,RESOLVED,fga.149.s1.proposition.1,1
ref.fr.000021,fr,fga.149.s4.lemma.1,fr/149.tex,527,proposition 5,explicit_proposition,RESOLVED,fga.149.s3.proposition.5,1
ref.fr.000022,fr,fga.149.s4.lemma.1,fr/149.tex,527,formule (3.8,explicit_equation,RESOLVED,fga.149.s3.corollary.u.n01.eq.3-8,1
ref.fr.000023,fr,fga.149.s4.lemma.1,fr/149.tex,540,formule (4.1 bis,explicit_equation,RESOLVED,fga.149.s4.lemma.1.eq.4-1-bis,1
