target_id,target_type,display_fr,display_en,scope,item,label,source_pages,authority
fga,corpus,Fondements de la géométrie algébrique,Foundations of Algebraic Geometry,corpus,,FGA,,17 frozen NUMDAM witnesses
fga.149,expose,Exposé 149 — Théorèmes de dualité pour les faisceaux algébriques cohérents,Exposé 149 — Duality Theorems for Coherent Algebraic Sheaves,internal,149,149,169--193,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p169,source_page,Page source 169,Source page 169,internal,149,169,169--169,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p170,source_page,Page source 170,Source page 170,internal,149,170,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p171,source_page,Page source 171,Source page 171,internal,149,171,171--171,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p172,source_page,Page source 172,Source page 172,internal,149,172,172--172,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p173,source_page,Page source 173,Source page 173,internal,149,173,173--173,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p174,source_page,Page source 174,Source page 174,internal,149,174,174--174,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p175,source_page,Page source 175,Source page 175,internal,149,175,175--175,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p176,source_page,Page source 176,Source page 176,internal,149,176,176--176,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p177,source_page,Page source 177,Source page 177,internal,149,177,177--177,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p178,source_page,Page source 178,Source page 178,internal,149,178,178--178,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p179,source_page,Page source 179,Source page 179,internal,149,179,179--179,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p180,source_page,Page source 180,Source page 180,internal,149,180,180--180,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p181,source_page,Page source 181,Source page 181,internal,149,181,181--181,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p182,source_page,Page source 182,Source page 182,internal,149,182,182--182,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p183,source_page,Page source 183,Source page 183,internal,149,183,183--183,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p184,source_page,Page source 184,Source page 184,internal,149,184,184--184,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p185,source_page,Page source 185,Source page 185,internal,149,185,185--185,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p186,source_page,Page source 186,Source page 186,internal,149,186,186--186,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p187,source_page,Page source 187,Source page 187,internal,149,187,187--187,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p188,source_page,Page source 188,Source page 188,internal,149,188,188--188,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p189,source_page,Page source 189,Source page 189,internal,149,189,189--189,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p190,source_page,Page source 190,Source page 190,internal,149,190,190--190,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p191,source_page,Page source 191,Source page 191,internal,149,191,191--191,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p192,source_page,Page source 192,Source page 192,internal,149,192,192--192,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.p193,source_page,Page source 193,Source page 193,internal,149,193,193--193,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1,section,"Les Ext de faisceaux de modules ( [2] , chap. 3 et 4)","The Ext's of sheaves of modules ( [2] , Chapters 3 and 4)",internal,149,1,169--171,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.eq.1-1,equation,Équation 1.1,Equation 1.1,internal,149,1.1,169--169,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.eq.1-2,equation,Équation 1.2,Equation 1.2,internal,149,1.2,169--169,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.eq.u.n01,equation,Équation non numérotée,Equation unnumbered,internal,149,,169--169,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.eq.u.n02,equation,Équation non numérotée,Equation unnumbered,internal,149,,169--169,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.eq.1-3,equation,Équation 1.3,Equation 1.3,internal,149,1.3,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.proposition.1,proposition,Proposition 1,Proposition 1,internal,149,1,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.proposition.1.eq.1-4,equation,Équation 1.4,Equation 1.4,internal,149,1.4,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.corollary.1,corollary,Corollaire 1,Corollary 1,internal,149,1,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.corollary.1.eq.1-5,equation,Équation 1.5,Equation 1.5,internal,149,1.5,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.corollary.1.eq.1-6,equation,Équation 1.6,Equation 1.6,internal,149,1.6,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.corollary.1.eq.u.n01,equation,Équation non numérotée,Equation unnumbered,internal,149,,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
fga.149.s1.corollary.1.eq.1-7,equation,Équation 1.7,Equation 1.7,internal,149,1.7,170--170,SB_1956-1958__4__169_0 A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C
