candidate_id,concept_id,candidate_topic,relation,confidence,evidence_units,evidence_pages,official_tag,tag_status,justification
pre.coherent-sheaf,coherent-sheaf,Coherent sheaf,historical_precursor_or_overlap,high,fga.149;fga.149.s3;fga.149.s3.corollary.u.n01;fga.149.s4;fga.149.s5;fga.149.s5.corollary.u.n02;fga.149.s5.lemma.5;fga.149.s6;fga.149.s6.theorem.3-bis;fga.149.s7;fga.149.s8;fga.149.s8.theorem.6;fga.e149;fga.182;fga.182.s1;fga.182.s2,99;102;169;173;177;181;183;184;185;186;187;189;191;193;195;196;197;198;199;200;201;202;203;209,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.ext-functor,ext-functor,Ext functor,historical_precursor_or_overlap,high,fga.149;fga.149.s1;fga.149.s1.proposition.3;fga.149.s2;fga.149.s3;fga.149.s3.proposition.5;fga.149.s5;fga.149.s5.corollary.u.n01;fga.149.s5.corollary.u.n02;fga.149.s6;fga.195;fga.195.sc;fga.195.sc.remark.u.n04;fga.221;fga.221.s1;fga.221.s1.definition.1-1,169;171;173;176;181;182;183;185;249;251;252;369;378;386,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.local-cohomology,local-cohomology,Local cohomology,historical_precursor_or_overlap,medium,fga.149;fga.149.s3,169;173,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.duality,duality,Duality,historical_precursor_or_overlap,high,fga.149;fga.149.s3;fga.149.s3.proposition.5;fga.149.s5;fga.149.s5.lemma.5;fga.149.s6;fga.149.s6.proposition.6;fga.149.s6.corollary.u.n01;fga.149.s7;fga.149.s7.theorem.4;fga.149.s8;fga.149.s8.theorem.6;fga.149.add;fga.e149;fga.232;fga.232.s5,143;154;156;169;173;176;181;184;185;186;187;188;189;191;193;298,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.dualizing-sheaf,dualizing-sheaf,Dualizing sheaf,historical_precursor_or_overlap,low,,,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.fundamental-class,fundamental-class,Fundamental class,historical_precursor_or_overlap,high,fga.149;fga.149.s3;fga.149.s3.corollary.1;fga.149.s4;fga.149.s4.corollary.1;fga.149.s5;fga.149.s5.theorem.2,169;173;175;177;181,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.poincare-duality,poincare-duality,Poincaré duality,historical_precursor_or_overlap,medium,fga.149;fga.149.s7;fga.149.s7.theorem.4,169;187;188,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.formal-geometry,formal-geometry,Formal geometry,historical_precursor_or_overlap,high,fga.182;fga.e182;fga.190;fga.195;fga.195.sc;fga.195.sc.remark.u.n03;fga.221;fga.221.s7;fga.232;fga.232.s6;fga.232.s6.remark.6-8,143;157;160;193;249;275;298;299;369;378;384,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.formal-scheme,formal-scheme,Formal scheme,historical_precursor_or_overlap,high,fga.182;fga.182.s2;fga.182.s3;fga.182.s3.theorem.1;fga.182.s3.corollary.1.n02;fga.182.s3.corollary.2.n02;fga.182.s3.theorem.4;fga.182.s6;fga.182.s6.proposition.3;fga.182.s6.corollary.3;fga.182.s6.theorem.9;fga.182.s7;fga.182.s7.theorem.10;fga.195;fga.195.sa;fga.195.sa.corollary.u.n01,99;114;115;193;195;196;198;203;205;207;209;221;236;239;249;268;271;300;302;369;374;378;384;386,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.formal-completion,formal-completion,Formal completion,historical_precursor_or_overlap,high,fga.182;fga.182.s2;fga.182.s3;fga.182.s3.theorem.4;fga.182.s8;fga.182.s8.remark.u.n03,193;195;196;198;209;220,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.algebraization,algebraization,Algebraization,historical_precursor_or_overlap,low,,,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.existence-theorem,existence-theorem,Existence theorem,historical_precursor_or_overlap,high,fga.182;fga.182.s6;fga.182.s8;fga.182.s8.lemma.6;fga.190;fga.e190;fga.195;fga.195.sb;fga.195.sc;fga.195.sc.remark.u.n02;fga.195.sc.remark.u.n04;fga.e195;fga.212;fga.221;fga.221.s3;fga.232,99;143;148;150;154;155;157;158;193;203;209;216;221;249;258;299;300;303;369;377;378;383;386,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.descent,descent,Descent,historical_precursor_or_overlap,high,fga.190;fga.190.sa;fga.190.sa.definition.1-6;fga.190.sa.definition.1-7;fga.190.sa.definition.2-2;fga.190.sa.definition.2-4;fga.190.sa.proposition.2-1;fga.190.sa.remark.u.n01;fga.190.sb;fga.190.sb.theorem.1;fga.190.sb.corollary.u.n01;fga.190.sb.theorem.2;fga.190.sb.lemma.1-2;fga.190.sb.theorem.3;fga.190.sb.remark.u.n01;fga.190.sb.proposition.6-1,99;110;112;116;143;146;147;150;153;154;155;157;158;159;160;221;222;225;297;299;300;303;304;305,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.faithfully-flat,faithfully-flat,Faithfully flat morphism,historical_precursor_or_overlap,high,fga.190;fga.190.sb;fga.190.sb.definition.1-1;fga.190.sb.definition.1-2;fga.190.sb.theorem.1;fga.190.sb.lemma.1-1;fga.190.sb.corollary.u.n01;fga.190.sb.lemma.1-2;fga.190.sb.theorem.3;fga.190.sb.remark.u.n01;fga.190.sb.remark.u.n02;fga.190.sb.remark.u.n03;fga.e190;fga.195;fga.212;fga.212.s6,99;112;113;116;143;146;148;154;157;158;221;222;225;299;300;314;315;316;317;318;324;326;369,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.descent-datum,descent-datum,Descent datum,historical_precursor_or_overlap,high,fga.190;fga.190.sa;fga.190.sa.definition.1-6;fga.190.sa.definition.1-7;fga.190.sa.remark.u.n01;fga.190.sb;fga.190.sb.theorem.1;fga.190.sb.corollary.u.n01;fga.190.sb.theorem.2;fga.190.sb.lemma.1-2;fga.190.sb.remark.u.n01;fga.190.sb.remark.u.n03;fga.195;fga.195.sb;fga.195.sb.theorem.2;fga.212,99;221;299;300;303;307;314;315;316;317;318;326;369;377;378,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.effectivity,effectivity,Effectivity,historical_precursor_or_overlap,high,fga.190;fga.190.sa;fga.190.sa.definition.1-5;fga.190.sa.definition.1-7;fga.190.sa.remark.u.n01;fga.190.sb;fga.190.sb.lemma.1-2;fga.190.sb.remark.u.n01;fga.190.sb.remark.u.n03;fga.195;fga.195.sc;fga.195.sc.remark.u.n04;fga.212;fga.212.proposition.1-1;fga.212.proposition.2-1;fga.212.s5,99;102;103;110;112;113;116;143;154;155;221;241;242;249;251;299;300;302;303;307;314;317;318;326,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.quotient,quotient,Quotient,historical_precursor_or_overlap,high,fga.149;fga.149.s3;fga.149.s3.proposition.4;fga.149.s3.corollary.2;fga.149.s4;fga.149.s4.theorem.1;fga.149.s5;fga.149.s5.lemma.3;fga.149.s8;fga.182;fga.182.s6;fga.182.s6.corollary.1.n02;fga.182.s8;fga.182.s8.lemma.3;fga.182.s8.corollary.5.n02;fga.182.s8.theorem.14,99;102;103;109;110;111;112;113;114;115;116;143;150;152;154;155;169;173;175;177;179;181;183;189,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.equivalence-relation,equivalence-relation,Equivalence relation,historical_precursor_or_overlap,high,fga.190;fga.190.sb;fga.190.sb.remark.u.n01;fga.195;fga.195.sb;fga.195.sb.theorem.1;fga.212;fga.212.proposition.1-1;fga.212.proposition.2-1;fga.212.corollary.4-2;fga.212.s5;fga.212.s5.theorem.5-1;fga.212.s5.corollary.5-2;fga.212.s5.theorem.5-3;fga.212.s5.corollary.5-4;fga.212.s6,99;102;103;109;110;111;112;113;116;143;154;155;249;299;301;314;318;369;377,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.representability,representability,Representability,historical_precursor_or_overlap,high,fga.195;fga.195.sa;fga.195.sa.proposition.1-1;fga.195.sa.proposition.3-1;fga.195.sa.corollary.u.n01;fga.195.sa.proposition.5-2;fga.195.sb;fga.195.sb.theorem.1;fga.195.sc;fga.195.sc.proposition.2-1;fga.195.sc.corollary.u.n01;fga.195.sc.remark.u.n01;fga.195.sc.proposition.3-1;fga.195.sc.remark.u.n03;fga.195.sc.remark.u.n04;fga.195.sc.proposition.5-1,99;116;143;150;152;153;154;155;157;158;159;221;222;223;229;236;237;249;258;259;260;261;263;265,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.hilbert-functor,hilbert-functor,Hilbert functor,historical_precursor_or_overlap,low,,,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.hilbert-scheme,hilbert-scheme,Hilbert scheme,historical_precursor_or_overlap,high,fga.195;fga.195.sc;fga.195.sc.remark.u.n01;fga.e195;fga.212;fga.212.s8;fga.e212;fga.221;fga.221.s3;fga.221.s3.proposition.3-8;fga.221.s3.remark.3-9;fga.221.s4;fga.221.s5;fga.221.s5.corollary.5-4;fga.221.s5.remark.5-5;fga.221.s5.proposition.5-7,99;116;143;148;149;154;155;221;236;237;249;258;265;266;268;271;272;273;275;300;301;302;369;378,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.picard-functor,picard-functor,Picard functor,historical_precursor_or_overlap,high,fga.195;fga.195.sc;fga.195.sc.remark.u.n01;fga.195.sc.remark.u.n02;fga.195.sc.proposition.3-1;fga.195.sc.corollary.u.n02;fga.232;fga.232.s1;fga.232.s2;fga.232.s2.remark.2-6;fga.236;fga.236.s0;fga.236.s2;fga.236.s2.remark.2-8,143;146;148;221;231;234;369;378;382;383;384,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.picard-scheme,picard-scheme,Picard scheme,historical_precursor_or_overlap,high,fga.149;fga.149.s7;fga.149.s7.theorem.5;fga.182;fga.182.s7;fga.182.s7.theorem.10;fga.e182;fga.190;fga.190.sa;fga.190.sa.definition.1-7;fga.190.sa.remark.u.n01;fga.190.sb;fga.190.sb.remark.u.n01;fga.195;fga.195.sc;fga.195.sc.remark.u.n01,99;114;143;146;147;148;149;150;152;153;154;155;156;157;158;159;160;169;187;189;193;207;209;221,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.cartier-divisor,cartier-divisor,Cartier divisor,historical_precursor_or_overlap,high,fga.221;fga.221.s5;fga.221.s5.remark.5-5;fga.221.s6;fga.232;fga.232.s4;fga.232.s4.proposition.4-1;fga.236;fga.236.s2;fga.236.s2.theorem.2-1,143;150;152;221;231;249;268;271;273,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.invertible-module,invertible-module,Invertible Module,historical_precursor_or_overlap,high,fga.232;fga.232.s1;fga.232.s2;fga.232.s2.remark.2-5;fga.232.s4;fga.232.s4.proposition.4-1;fga.232.s4.theorem.4-3;fga.232.s5;fga.232.s5.remark.5-1;fga.232.s6;fga.232.s6.proposition.6-3;fga.236;fga.236.s2;fga.236.s2.theorem.2-1;fga.236.s2.remark.2-2;fga.236.s2.lemma.2-6,143;146;147;150;152;153;154;155;157;158;221;231;233;236;239;241;242;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.poincare-bundle,poincare-bundle,Poincaré bundle,historical_precursor_or_overlap,low,,,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.albanese,albanese,Albanese scheme,historical_precursor_or_overlap,medium,fga.236;fga.236.s3,221;236,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.abelian-scheme,abelian-scheme,Abelian scheme,historical_precursor_or_overlap,high,fga.190;fga.190.sb;fga.190.sb.remark.u.n01;fga.190.sb.proposition.5-1;fga.e190;fga.195;fga.195.sc;fga.195.sc.remark.u.n04;fga.e195;fga.212;fga.212.s7;fga.212.s7.proposition.7-1;fga.232;fga.232.s3;fga.232.s3.remark.3-3;fga.232.s5,99;114;143;148;149;154;156;221;231;235;236;237;238;239;240;299;300;314;318;324;369;378;386,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.neron-severi,neron-severi,Néron–Severi group,historical_precursor_or_overlap,high,fga.232;fga.232.s3;fga.232.s3.remark.3-3;fga.232.s6;fga.232.s6.remark.6-7;fga.232.s6.remark.6-8;fga.236;fga.236.s1;fga.236.s1.remark.u.n01;fga.236.s1.remark.1-6;fga.236.s3;fga.236.s3.remark.3-10;fga.e236,143;148;149;157;160;221;222;223;228;236;241;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.hilbert-polynomial,hilbert-polynomial,Hilbert polynomial,historical_precursor_or_overlap,high,fga.221;fga.221.s2;fga.221.s2.theorem.2-1;fga.221.s3;fga.221.s3.theorem.3-1;fga.221.s3.lemma.3-3;fga.221.s3.lemma.3-6;fga.221.s3.proposition.3-8;fga.232;fga.232.s3;fga.232.s3.remark.3-3;fga.232.s4;fga.232.s4.proposition.4-1;fga.232.s5;fga.232.s5.remark.5-1;fga.236,143;148;149;150;152;154;155;221;241;242;249;253;254;258;259;261;263;265;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.flatness,flatness,Flatness,historical_precursor_or_overlap,high,fga.182;fga.182.s3;fga.182.s3.theorem.4;fga.182.s5;fga.182.s5.proposition.1;fga.182.s5.theorem.7;fga.182.s6;fga.182.s6.proposition.3;fga.182.s6.corollary.1;fga.182.s6.theorem.8;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.2;fga.182.s6.corollary.3;fga.182.s6.theorem.9;fga.182.s6.corollary.1.n03;fga.182.s6.corollary.2.n02,99;102;110;112;113;114;115;116;143;146;148;150;152;153;154;155;157;158;159;160;193;196;198;200,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.properness,properness,Properness,historical_precursor_or_overlap,high,fga.149;fga.149.s4;fga.149.s4.remark.u.n01;fga.182;fga.182.s1;fga.182.s2;fga.182.s3;fga.182.s3.theorem.1;fga.182.s3.corollary.2.n02;fga.182.s3.theorem.4;fga.182.s4;fga.182.s4.theorem.5;fga.182.s4.corollary.2;fga.182.s5;fga.182.s5.proposition.1;fga.182.s5.theorem.7,99;112;114;143;148;150;152;153;154;155;157;158;159;160;169;177;181;193;195;196;198;199;200;201,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.smoothness,smoothness,Smoothness,historical_precursor_or_overlap,high,fga.149;fga.149.s3;fga.149.s3.corollary.2;fga.149.s3.proposition.5;fga.149.s4;fga.149.s4.lemma.1;fga.149.s4.theorem.1;fga.149.s4.corollary.1;fga.149.s4.remark.u.n01;fga.149.s5;fga.149.s5.lemma.5;fga.149.s6;fga.149.s6.corollary.u.n01;fga.149.s7;fga.149.s7.theorem.4;fga.149.s7.theorem.5,99;102;114;115;143;146;148;149;150;153;154;156;157;160;169;173;175;176;177;179;181;184;185;187,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.separatedness,separatedness,Separatedness,historical_precursor_or_overlap,high,fga.182;fga.182.s1;fga.182.s2;fga.182.s3;fga.182.s3.corollary.3;fga.182.s3.theorem.3;fga.182.s3.corollary.2.n02;fga.182.s4;fga.182.s4.theorem.6;fga.182.s6;fga.e182;fga.190;fga.190.sb;fga.190.sb.remark.u.n01;fga.195;fga.195.sa,99;116;143;146;147;148;149;193;195;196;197;198;199;200;203;221;222;223;224;225;229;230;231;234,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.projectivity,projectivity,Projectivity,historical_precursor_or_overlap,high,fga.149;fga.149.s4;fga.149.s4.theorem.1;fga.149.s4.corollary.1;fga.149.s5;fga.149.s5.corollary.u.n01;fga.149.s5.lemma.5;fga.149.s6;fga.149.s6.corollary.u.n01;fga.149.s7;fga.149.s7.theorem.4;fga.149.s7.theorem.5;fga.149.s8;fga.149.s8.theorem.6;fga.182;fga.182.s1,99;102;110;111;112;114;116;143;146;148;149;150;152;153;154;155;157;158;159;160;169;177;179;181,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.quasi-projectivity,quasi-projectivity,Quasi-projectivity,historical_precursor_or_overlap,high,fga.182;fga.182.s4;fga.182.s4.corollary.2;fga.182.s4.theorem.6;fga.e182;fga.190;fga.190.sb;fga.190.sb.lemma.1-2;fga.190.sb.theorem.3;fga.190.sb.remark.u.n01;fga.195;fga.195.sc;fga.195.sc.remark.u.n01;fga.212;fga.212.s5;fga.212.s5.theorem.5-3,99;110;111;112;116;143;148;149;150;152;153;154;155;193;199;200;221;236;249;258;261;263;266;268,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.ampleness,ampleness,Ampleness,historical_precursor_or_overlap,high,fga.182;fga.182.s3;fga.182.s3.theorem.4;fga.212;fga.212.s8;fga.221;fga.221.s2;fga.221.s2.theorem.2-1;fga.221.s3;fga.221.s3.theorem.3-1;fga.221.s3.proposition.3-8;fga.221.s3.remark.3-9;fga.221.s4;fga.232;fga.232.s3;fga.232.s3.theorem.3-1,99;116;143;148;150;152;154;193;196;198;221;241;242;249;253;254;258;259;265;266;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.finite-type,finite-type,Finite type,historical_precursor_or_overlap,high,fga.182;fga.182.s1;fga.182.s2;fga.182.s3;fga.182.s3.corollary.2;fga.182.s3.corollary.3;fga.182.s4;fga.182.s4.theorem.6;fga.182.s6;fga.182.s6.corollary.1;fga.182.s6.theorem.8;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.2;fga.182.s6.corollary.3;fga.182.s6.theorem.9;fga.182.s8,99;102;110;112;113;114;115;116;143;146;148;149;150;193;195;196;197;199;200;203;204;205;209;213,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.connected-component,connected-component,Connected component,historical_precursor_or_overlap,high,fga.182;fga.182.s4;fga.182.s4.theorem.5;fga.182.s8;fga.182.s8.remark.u.n01;fga.195;fga.195.sc;fga.195.sc.remark.u.n01;fga.221;fga.221.s2;fga.221.s3;fga.221.s3.remark.3-9;fga.e221;fga.232;fga.232.s3;fga.232.s3.remark.3-3,143;148;149;157;160;193;199;209;213;221;222;225;229;231;236;237;241;249;253;258;266;302;369;378,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.group-scheme,group-scheme,Group scheme,historical_precursor_or_overlap,high,fga.190;fga.190.sb;fga.190.sb.remark.u.n02;fga.195;fga.195.sa;fga.195.sa.corollary.u.n01;fga.195.sc;fga.195.sc.remark.u.n01;fga.195.sc.remark.u.n03;fga.195.sc.remark.u.n04;fga.212;fga.212.s7;fga.212.s7.proposition.7-1;fga.212.s7.theorem.7-2;fga.212.s7.corollary.7-4;fga.212.s8,99;114;115;116;221;222;223;224;229;230;231;233;234;236;237;249;268;271;299;303;314;324;369;374,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.etale,etale,Étale morphism,historical_precursor_or_overlap,high,fga.190;fga.190.sa;fga.190.sa.remark.u.n01;fga.190.sb;fga.190.sb.remark.u.n01;fga.190.sb.proposition.5-1;fga.190.sb.remark.u.n02;fga.e190;fga.195;fga.195.sa;fga.195.sa.proposition.5-1;fga.221;fga.221.s4;fga.221.s6;fga.221.s7;fga.232,143;146;148;157;158;221;222;227;231;233;234;236;237;249;266;273;275;299;300;307;314;318;324;369,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.fundamental-group,fundamental-group,Fundamental group,historical_precursor_or_overlap,high,fga.182;fga.182.s8;fga.182.s8.corollary.4;fga.182.s8.corollary.6;fga.182.s8.corollary.1.n02;fga.182.s8.theorem.14;fga.182.s8.remark.u.n03;fga.e182;fga.190;fga.190.sa;fga.190.sa.remark.u.n01;fga.195;fga.195.sc;fga.195.sc.proposition.5-1;fga.236;fga.236.s2,193;209;215;216;219;220;221;231;234;298;299;300;307;369;378;389,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.galois-cover,galois-cover,Galois covering,historical_precursor_or_overlap,high,fga.182;fga.182.s8;fga.182.s8.corollary.1.n03;fga.182.s8.corollary.u.n01;fga.182.s8.remark.u.n03;fga.e182,193;209;219;220;298,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.tame-ramification,tame-ramification,Tame ramification,historical_precursor_or_overlap,high,fga.182;fga.182.s8;fga.182.s8.corollary.5.n02;fga.182.s8.theorem.14;fga.182.s8.remark.u.n03;fga.e182;fga.195;fga.195.sc;fga.195.sc.proposition.5-1,193;209;218;219;220;298;369;378;389,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
