edge_id,source_id,relation,target_id,confidence,evidence,provenance,official_stacks_tag
edge.000001,fga,contains,fga.149,high,TeX hierarchy and direct source order,fr/149.tex:1,
edge.000002,fga.149,contains,fga.149.p169,high,TeX hierarchy and direct source order,fr/149.tex:3,
edge.000003,fga.149,contains,fga.149.p170,high,TeX hierarchy and direct source order,fr/149.tex:64,
edge.000004,fga.149,contains,fga.149.p171,high,TeX hierarchy and direct source order,fr/149.tex:123,
edge.000005,fga.149,contains,fga.149.p172,high,TeX hierarchy and direct source order,fr/149.tex:182,
edge.000006,fga.149,contains,fga.149.p173,high,TeX hierarchy and direct source order,fr/149.tex:235,
edge.000007,fga.149,contains,fga.149.p174,high,TeX hierarchy and direct source order,fr/149.tex:295,
edge.000008,fga.149,contains,fga.149.p175,high,TeX hierarchy and direct source order,fr/149.tex:360,
edge.000009,fga.149,contains,fga.149.p176,high,TeX hierarchy and direct source order,fr/149.tex:415,
edge.000010,fga.149,contains,fga.149.p177,high,TeX hierarchy and direct source order,fr/149.tex:470,
edge.000011,fga.149,contains,fga.149.p178,high,TeX hierarchy and direct source order,fr/149.tex:530,
edge.000012,fga.149,contains,fga.149.p179,high,TeX hierarchy and direct source order,fr/149.tex:590,
edge.000013,fga.149,contains,fga.149.p180,high,TeX hierarchy and direct source order,fr/149.tex:659,
edge.000014,fga.149,contains,fga.149.p181,high,TeX hierarchy and direct source order,fr/149.tex:708,
edge.000015,fga.149,contains,fga.149.p182,high,TeX hierarchy and direct source order,fr/149.tex:763,
edge.000016,fga.149,contains,fga.149.p183,high,TeX hierarchy and direct source order,fr/149.tex:830,
edge.000017,fga.149,contains,fga.149.p184,high,TeX hierarchy and direct source order,fr/149.tex:888,
edge.000018,fga.149,contains,fga.149.p185,high,TeX hierarchy and direct source order,fr/149.tex:939,
edge.000019,fga.149,contains,fga.149.p186,high,TeX hierarchy and direct source order,fr/149.tex:991,
edge.000020,fga.149,contains,fga.149.p187,high,TeX hierarchy and direct source order,fr/149.tex:1044,
edge.000021,fga.149,contains,fga.149.p188,high,TeX hierarchy and direct source order,fr/149.tex:1094,
edge.000022,fga.149,contains,fga.149.p189,high,TeX hierarchy and direct source order,fr/149.tex:1156,
