ref_id,candidate_rank,candidate_id,basis,selected
ref.fr.000001,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000002,1,fga.149.bib.ref.2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000003,1,fga.149.bib.ref.2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000004,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000005,1,fga.149.bib.ref.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000006,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000007,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000008,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000009,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000010,1,fga.149.bib.ref.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000011,1,fga.149.bib.ref.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000012,1,fga.149.s2.eq.2-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000013,1,fga.149.s1.proposition.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000014,1,fga.149.s1.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000014,2,fga.149.s3.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000014,3,fga.149.s4.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000015,1,fga.149.s3.corollary.2.eq.3-6-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000016,1,fga.149.s3.proposition.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000017,1,fga.149.s3.proposition.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000018,1,fga.149.s3.proposition.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000019,1,fga.149.s4.lemma.1.eq.4-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000020,1,fga.149.s1.proposition.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000021,1,fga.149.s3.proposition.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000022,1,fga.149.s3.corollary.u.n01.eq.3-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000023,1,fga.149.s4.lemma.1.eq.4-1-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000024,1,fga.149.s4.theorem.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000025,1,fga.149.s1.proposition.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000026,1,fga.149.s4.theorem.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000027,1,fga.149.s4.theorem.1.eq.4-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000028,1,fga.149.s3.proposition.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000029,1,fga.149.s1.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000029,2,fga.149.s3.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000029,3,fga.149.s4.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000030,1,fga.149.s4.theorem.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000031,1,fga.149.s1.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000031,2,fga.149.s3.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000031,3,fga.149.s4.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000032,1,fga.149.s5.theorem.2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000033,1,fga.149.s5.theorem.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000034,1,fga.149.s1.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000034,2,fga.149.s3.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000034,3,fga.149.s4.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000035,1,fga.149.s1.proposition.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000036,1,fga.149.s5.theorem.2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000037,1,fga.149.s1.proposition.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000038,1,fga.149.s1.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000038,2,fga.149.s3.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000038,3,fga.149.s4.corollary.1,same-item label/type or explicit corpus/external siglum,no
ref.fr.000039,1,fga.149.s1.proposition.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000040,1,fga.149.s5.lemma.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000041,1,fga.149.s5.lemma.2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000042,1,fga.149.s5.lemma.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000043,1,fga.149.s4.lemma.1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000044,1,fga.149.s5.lemma.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000045,1,fga.149.s5.lemma.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000046,1,fga.149.s5.lemma.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000047,1,fga.149.s5.lemma.5.eq.5-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000048,1,fga.149.s3.proposition.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000049,1,fga.149.s5.lemma.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000050,1,fga.149.s5.lemma.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000051,1,fga.149.s5.lemma.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000052,1,fga.149.s3.proposition.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000053,1,fga.149.s5.lemma.5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000054,1,fga.149.s6.theorem.3-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000055,1,fga.149.s5.theorem.2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000056,1,fga.149.s5.theorem.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000057,1,fga.149.s7.theorem.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000058,1,fga.149.s5.theorem.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000059,1,fga.149.s7.theorem.4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000061,1,fga.149.s5.theorem.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000062,1,fga.149.s8.theorem.6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000064,1,fga.149.s8.theorem.6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000065,1,fga.149.s1.proposition.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000066,1,fga.149.s5.theorem.3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000067,1,fga.149.s8.theorem.6.eq.8-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000068,1,fga.149.s8.eq.8-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000070,1,fga.149.s1.corollary.1.eq.1-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000071,1,fga.149.s1.corollary.1.eq.1-7,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000072,1,fga.149.s1.corollary.1.eq.1-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000073,1,fga.149.s1.eq.1-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000074,1,fga.149.s2.eq.2-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000075,1,fga.149.s2.eq.2-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000076,1,fga.149.s2.eq.2-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000077,1,fga.149.s2.eq.2-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000078,1,fga.149.s1.corollary.1.eq.1-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000079,1,fga.149.s1.proposition.1.eq.1-4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000080,1,fga.149.s1.corollary.1.eq.1-5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000081,1,fga.149.s3.eq.3-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000082,1,fga.149.s3.eq.3-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000083,1,fga.149.s3.eq.3-3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000084,1,fga.149.s3.eq.3-4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000085,1,fga.149.s3.eq.3-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000086,1,fga.149.s3.eq.3-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000087,1,fga.149.s3.corollary.2.eq.3-6-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000088,1,fga.149.s3.proposition.5.eq.3-7,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000089,1,fga.149.s4.lemma.1.eq.4-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000090,1,fga.149.s3.corollary.u.n01.eq.3-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000091,1,fga.149.s4.lemma.1.eq.4-1-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000092,1,fga.149.s4.lemma.1.eq.4-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000093,1,fga.149.s4.lemma.1.eq.4-3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000094,1,fga.149.s4.theorem.1.eq.4-5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000095,1,fga.149.s4.lemma.1.eq.4-3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000096,1,fga.149.s4.theorem.1.eq.4-5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000097,1,fga.149.s4.theorem.1.eq.4-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000098,1,fga.149.s4.theorem.1.eq.4-4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000099,1,fga.149.s4.theorem.1.eq.4-7,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000100,1,fga.149.s4.theorem.1.eq.4-8,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000101,1,fga.149.s5.theorem.2.eq.5-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000102,1,fga.149.s5.theorem.2.eq.5-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000103,1,fga.149.s5.corollary.u.n01.eq.5-3-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000104,1,fga.149.s5.corollary.u.n01.eq.5-3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000105,1,fga.149.s5.corollary.u.n01.eq.5-3-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000106,1,fga.149.s5.corollary.u.n01.eq.5-3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000107,1,fga.149.s5.corollary.u.n01.eq.5-4,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000108,1,fga.149.s5.corollary.u.n01.eq.5-5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000109,1,fga.149.s4.lemma.1.eq.4-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000110,1,fga.149.s5.theorem.2.eq.5-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000111,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000112,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000113,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000114,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000115,1,fga.149.s5.lemma.5.eq.5-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000116,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000117,1,fga.149.s5.lemma.5.eq.5-7,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000118,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000119,1,fga.149.s5.corollary.u.n01.eq.5-2-bis,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000120,1,fga.149.s5.lemma.5.eq.5-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000121,1,fga.149.s6.eq.6-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000122,1,fga.149.s6.eq.6-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000123,1,fga.149.s6.eq.6-3,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000124,1,fga.149.s5.theorem.2.eq.5-2,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000125,1,fga.149.s6.eq.6-1,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000126,1,fga.149.s6.eq.6-5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000127,1,fga.149.s6.eq.6-5,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000128,1,fga.149.s6.proposition.6.eq.6-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000129,1,fga.149.s6.proposition.6.eq.6-6,same-item label/type or explicit corpus/external siglum,yes
ref.fr.000130,1,fga.149.s6.eq.6-5,same-item label/type or explicit corpus/external siglum,yes
