sequence,class,corrects_expose,numdam_id,title,language,catalog_pages,catalog_page_count,physical_pdf_pages,item_url,pdf_url,local_filename,bytes,sha256,redistribution_status
1,expose,149,SB_1956-1958__4__169_0,Théorèmes de dualité pour les faisceaux algébriques cohérents,fr,169--193,25,26,https://www.numdam.org/item/SB_1956-1958__4__169_0/,https://www.numdam.org/item/SB_1956-1958__4__169_0.pdf,01_SB_1956-1958__4__169_0.pdf,2240715,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,authority witness only; consult NUMDAM conditions
2,expose,182,SB_1958-1960__5__193_0,Géométrie formelle et géométrie algébrique,fr,193--220,28,29,https://www.numdam.org/item/SB_1958-1960__5__193_0/,https://www.numdam.org/item/SB_1958-1960__5__193_0.pdf,02_SB_1958-1960__5__193_0.pdf,3036216,AEE42088A9B9E94F4C87220AD68A27C1D7697C3ACB4F5C2F0DEE0E3F6B0BE1C1,authority witness only; consult NUMDAM conditions
3,expose,190,SB_1958-1960__5__299_0,Technique de descente et théorèmes d’existence en géométrie algébrique. I. Généralités. Descente par morphismes fidèlement plats,fr,299--327,29,30,https://www.numdam.org/item/SB_1958-1960__5__299_0/,https://www.numdam.org/item/SB_1958-1960__5__299_0.pdf,03_SB_1958-1960__5__299_0.pdf,2888567,D4B1565D97958A168CC0DA0A873BA40FF466497D555871869F47916DB620C1B5,authority witness only; consult NUMDAM conditions
4,expose,195,SB_1958-1960__5__369_0,Technique de descente et théorèmes d’existence en géométrie algébriques. II. Le théorème d’existence en théorie formelle des modules,fr,369--390,22,23,https://www.numdam.org/item/SB_1958-1960__5__369_0/,https://www.numdam.org/item/SB_1958-1960__5__369_0.pdf,04_SB_1958-1960__5__369_0.pdf,2167257,53EEFE9CC5C181E164799F64FD2603289832B77AAC8378EDAC3EF49E58255670,authority witness only; consult NUMDAM conditions
5,expose,212,SB_1960-1961__6__99_0,Techniques de construction et théorèmes d’existence en géométrie algébrique III : préschémas quotients,fr,99--118,20,21,https://www.numdam.org/item/SB_1960-1961__6__99_0/,https://www.numdam.org/item/SB_1960-1961__6__99_0.pdf,05_SB_1960-1961__6__99_0.pdf,1945249,2AE65A57C7C9240E0AC880DEE5BAE3D2EDB956AAB6673C2261F1095A51F26C0D,authority witness only; consult NUMDAM conditions
6,expose,221,SB_1960-1961__6__249_0,Techniques de construction et théorèmes d’existence en géométrie algébrique IV : les schémas de Hilbert,fr,249--276,28,29,https://www.numdam.org/item/SB_1960-1961__6__249_0/,https://www.numdam.org/item/SB_1960-1961__6__249_0.pdf,06_SB_1960-1961__6__249_0.pdf,2747079,ABBF37780FDC514BEBD2F1811BFC94E706E44FA8751402CE171510A3F1520968,authority witness only; consult NUMDAM conditions
7,expose,232,SB_1961-1962__7__143_0,Technique de descente et théorèmes d’existence en géométrie algébrique. V. Les schémas de Picard : théorèmes d’existence,fr,143--161,19,20,https://www.numdam.org/item/SB_1961-1962__7__143_0/,https://www.numdam.org/item/SB_1961-1962__7__143_0.pdf,07_SB_1961-1962__7__143_0.pdf,2006109,C84DCA027FAC1AF187B0B9F6C8D2E2CB95B43CE201815B2073577FD4425919F0,authority witness only; consult NUMDAM conditions
8,expose,236,SB_1961-1962__7__221_0,Technique de descente et théorèmes d’existence en géométrie algébrique. VI. Les schémas de Picard : propriétés générales,fr,221--243,23,24,https://www.numdam.org/item/SB_1961-1962__7__221_0/,https://www.numdam.org/item/SB_1961-1962__7__221_0.pdf,08_SB_1961-1962__7__221_0.pdf,2461968,266EEF77BF7BA34A75895ED69ACBFE791A2958DD52C2837D75AB29DF0D2F714A,authority witness only; consult NUMDAM conditions
9,commentaires,,SB_1961-1962__7__297_0,Fondements de la géométrie algébrique. Commentaires,fr,297--298,2,3,https://www.numdam.org/item/SB_1961-1962__7__297_0/,https://www.numdam.org/item/SB_1961-1962__7__297_0.pdf,09_SB_1961-1962__7__297_0.pdf,197718,EC50BEB1757358D5512CFE3836F8FBC49D8E24D96A2AEA771EA1A1960F772EF6,authority witness only; consult NUMDAM conditions
10,erratum,149,SB_1961-1962__7__298_1,Erratum à l’exposé n°149,fr,298,1,2,https://www.numdam.org/item/SB_1961-1962__7__298_1/,https://www.numdam.org/item/SB_1961-1962__7__298_1.pdf,10_SB_1961-1962__7__298_1.pdf,125698,744CC89F417A87CD37ADB43644CC2299B97E03931677292B210DB0EC8A41959A,authority witness only; consult NUMDAM conditions
11,erratum,182,SB_1961-1962__7__298_2,Erratum à l’exposé n°182,fr,298--300,3,3,https://www.numdam.org/item/SB_1961-1962__7__298_2/,https://www.numdam.org/item/SB_1961-1962__7__298_2.pdf,11_SB_1961-1962__7__298_2.pdf,220486,C2E6779AB467A5E31BA42CF21E3EE65540990D0775A6133CF0A9126D78578D3C,authority witness only; consult NUMDAM conditions
