id,kind,source_id,reference_id,candidate_ids,reason,evidence,action,status
res.auth.e182,authority_metadata,fga.e182,,,"Catalog pages 298--300 differ from direct PDF/TeX pages 298,299.",11_SB_1961-1962__7__298_2.pdf SHA-256 C2E6779AB467A5E31BA42CF21E3EE65540990D0775A6133CF0A9126D78578D3C; direct scan controls.,Retain direct-scan page mapping; do not invent a missing page.,OPEN_METADATA_DISCREPANCY
res.ref.fr.000014,reference_resolution,fga.149.s3.corollary.1,ref.fr.000014,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,fr/149.tex:407 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000029,reference_resolution,fga.149.s4.corollary.1,ref.fr.000029,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,fr/149.tex:738 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000031,reference_resolution,fga.149.s4.remark.u.n01,ref.fr.000031,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,fr/149.tex:745 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000034,reference_resolution,fga.149.s5.corollary.u.n01,ref.fr.000034,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,fr/149.tex:796 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000038,reference_resolution,fga.149.s5.lemma.4,ref.fr.000038,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,fr/149.tex:879 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000060,reference_resolution,fga.149.s8,ref.fr.000060,,No local or declared external target fits the printed reference.,fr/149.tex:1269 définition (8.1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000063,reference_resolution,fga.149.s8.theorem.6,ref.fr.000063,,No local or declared external target fits the printed reference.,fr/149.tex:1353 définition (8.1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000069,reference_resolution,fga.149.s8.theorem.6,ref.fr.000069,,No local or declared external target fits the printed reference.,fr/149.tex:1392 remarque 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000159,reference_resolution,fga.149.s3.corollary.1,ref.en.000159,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,en/149.tex:400 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000176,reference_resolution,fga.149.s4.corollary.1,ref.en.000176,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,en/149.tex:727 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000178,reference_resolution,fga.149.s4.remark.u.n01,ref.en.000178,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,en/149.tex:735 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000182,reference_resolution,fga.149.s5.corollary.u.n01,ref.en.000182,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,en/149.tex:784 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000186,reference_resolution,fga.149.s5.lemma.4,ref.en.000186,fga.149.s1.corollary.1;fga.149.s3.corollary.1;fga.149.s4.corollary.1,More than one target fits the printed label.,en/149.tex:866 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000214,reference_resolution,fga.149.s8.theorem.6,ref.en.000214,,No local or declared external target fits the printed reference.,en/149.tex:1331 definition (8.1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000220,reference_resolution,fga.149.s8.theorem.6,ref.en.000220,,No local or declared external target fits the printed reference.,en/149.tex:1368 Remark 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000296,reference_resolution,fga.e149,ref.fr.000296,,No local or declared external target fits the printed reference.,fr/e149.tex:22 [1],Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000302,reference_resolution,fga.e149,ref.en.000302,,No local or declared external target fits the printed reference.,en/e149.tex:21 [1],Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000316,reference_resolution,fga.182.s3.corollary.1,ref.fr.000316,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:209 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000318,reference_resolution,fga.182.s3.theorem.3,ref.fr.000318,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,fr/182.tex:254 corollaire 3,Human mathematical resolution; do not guess.,AMBIGUOUS
