id,item,page,printed,reading,reason
C001,149,170,(1.7),(1.8),The quantified degree p refers to the cohomological map (1.8); (1.7) has no p.
C002,149,171,à u,à d,Equation (2.1) defines cycles by the graded commutation relation with the differential d.
C003,149,175,rang n,rang 1,The top exterior power of a rank-n differential module has rank one; the following determinant identification also requires rank one.
C004,149,175,La produit tensoriel,Le produit tensoriel,Grammatical agreement in French.
C005,149,177,E(A),E(A/J),The functor is restricted to A/J-modules and is represented by its value on A/J; this is the value used in formula (3.7).
C006,149,177,union of Omega_X^p,direct sum of Omega_X^p,Differential forms form the graded direct sum; the printed union sign is not a defined graded-module operation.
C007,149,180,mixed Z and Z-prime in (4.8),Z-prime throughout,The cycle lies on the target X-prime; its inverse image and target cohomology class must refer to the same cycle.
C008,149,182,second formula numbered (5.3),(5.3 bis),The page already contains formula (5.3); a bis suffix preserves unique formula identifiers without altering sequence.
C009,149,183,O_P(r+r-prime),O_P(m+m-prime),"The cup-product factors are twisted by m and m-prime, so their tensor product is twisted by m+m-prime; r denotes the dimension of P and is unrelated here."
C010,149,185,second formula numbered (6.2),(6.2 bis),The page already contains formula (6.2); a bis suffix preserves unique formula identifiers without changing the surrounding sequence.
C011,149,187,S est normale,X est normale,The paragraph and all surrounding conditions concern X; no object S is introduced in this section.
C012,149,188,f_substar(xi_m_m),f_superstar(xi_m_m),"Formula (7.4 bis) is an equality in H^m(Y;Omega_Y^m), and xi_m_m lies in H^m(X;Omega_X^m); the map must therefore be the pullback f-superstar, not the transpose f-substar whose domain is H(Y)."
C013,149,191,H^p(H^q(X;K)),H^p(X;H^q(K)),The proof invokes the hypercohomology spectral sequence already written in (8.2); its E2 term is H^p(X;H^q(K)).
C014,182,200,f quasi-projectif,f séparé,The linked 1962 erratum explicitly replaces the former hypothesis by the weaker latter one using SGA VIII 6.2.
C015,182,211,revêtements inséparables,revêtements non ramifiés,The surrounding Galois category R(X) classifies unramified coverings; inseparable coverings are not the objects represented by the stated fundamental group.
C016,182,213,X to Y-prime,X-prime to Y-prime,The Stein factorization is of X-prime to Y and therefore supplies a morphism from X-prime to Y-prime.
C017,182,214,X soit image inverse,X-prime soit image inverse,The criterion concerns the connected unramified covering X-prime introduced immediately before it.
C018,182,215,X-red complete,X or Y proper over k,The linked 1962 erratum adds the properness alternative to the first line of Corollary 5; the corrected statement uses that broader hypothesis.
C019,190,303,alpha assumed an F-descent morphism,no prior descent assumption on alpha,The linked 1962 erratum states that the descent hypothesis on alpha is unnecessary when alpha has a section.
C020,190,318,quasi-finite and completion cases left open,negative strict-descent counterexample recorded in both editions,The linked 1962 erratum supplies a proper smooth nonprojective principal bundle whose pullback is projective; the source question is preserved and the later answer is attached transparently.
C021,190,320,"x,y are sections of A-prime","x,y are sections of F1-prime and F2-prime respectively",Formula (3.4) applies T superscript 1 and T superscript 2 to x and y before using the displayed pairing F1-prime times F2-prime to F3-prime; the printed A-prime is incompatible with those domains.
C022,190,324,IGUSA-LANG,CHOW-IANG,The linked 1962 erratum explicitly directs this author-name correction; both editions display the corrected name and identify the printed reading in a footnote.
