concept_id,label,description,fr_pattern,en_pattern,target_id
coherent-sheaf,Coherent sheaf,Internal FGA migration topic: Coherent sheaf.,faisceaux? (?:algébriques )?cohérents?,coherent (?:algebraic )?sheaves?,concept.coherent-sheaf
ext-functor,Ext functor,Internal FGA migration topic: Ext functor.,\bExt\b|foncteurs? Ext,\bExt\b|Ext functors?,concept.ext-functor
local-cohomology,Local cohomology,Internal FGA migration topic: Local cohomology.,cohomologie locale,local cohomology,concept.local-cohomology
duality,Duality,Internal FGA migration topic: Duality.,dualité,duality,concept.duality
dualizing-sheaf,Dualizing sheaf,Internal FGA migration topic: Dualizing sheaf.,faisceau dualisant|faisceau canonique,dualizing sheaf|canonical sheaf,concept.dualizing-sheaf
fundamental-class,Fundamental class,Internal FGA migration topic: Fundamental class.,classe fondamentale,fundamental class,concept.fundamental-class
poincare-duality,Poincaré duality,Internal FGA migration topic: Poincaré duality.,dualité de Poincaré,Poincaré duality,concept.poincare-duality
formal-geometry,Formal geometry,Internal FGA migration topic: Formal geometry.,géométrie formelle,formal geometry,concept.formal-geometry
formal-scheme,Formal scheme,Internal FGA migration topic: Formal scheme.,schémas? formels?,formal schemes?,concept.formal-scheme
formal-completion,Formal completion,Internal FGA migration topic: Formal completion.,complété formel|complétion formelle,formal completion,concept.formal-completion
algebraization,Algebraization,Internal FGA migration topic: Algebraization.,algébrisation|algébriser,algebraization|algebraize,concept.algebraization
existence-theorem,Existence theorem,Internal FGA migration topic: Existence theorem.,théorème d.existence,existence theorem,concept.existence-theorem
descent,Descent,Internal FGA migration topic: Descent.,descente,descent,concept.descent
faithfully-flat,Faithfully flat morphism,Internal FGA migration topic: Faithfully flat morphism.,fidèlement plat,faithfully flat,concept.faithfully-flat
descent-datum,Descent datum,Internal FGA migration topic: Descent datum.,donnée de descente,descent datum|descent data,concept.descent-datum
effectivity,Effectivity,Internal FGA migration topic: Effectivity.,effectivit[ée]|effective,effectivity|effective,concept.effectivity
quotient,Quotient,Internal FGA migration topic: Quotient.,quotient,quotient,concept.quotient
equivalence-relation,Equivalence relation,Internal FGA migration topic: Equivalence relation.,relation d.équivalence,equivalence relation,concept.equivalence-relation
representability,Representability,Internal FGA migration topic: Representability.,représentable|représente le foncteur,representable|represents the functor,concept.representability
hilbert-functor,Hilbert functor,Internal FGA migration topic: Hilbert functor.,foncteur de Hilbert,Hilbert functor,concept.hilbert-functor
hilbert-scheme,Hilbert scheme,Internal FGA migration topic: Hilbert scheme.,schémas? de Hilbert,Hilbert schemes?,concept.hilbert-scheme
picard-functor,Picard functor,Internal FGA migration topic: Picard functor.,foncteur de Picard,Picard functor,concept.picard-functor
picard-scheme,Picard scheme,Internal FGA migration topic: Picard scheme.,schémas? de Picard|Pic,Picard schemes?|Pic,concept.picard-scheme
cartier-divisor,Cartier divisor,Internal FGA migration topic: Cartier divisor.,diviseurs? de Cartier,Cartier divisors?,concept.cartier-divisor
invertible-module,Invertible Module,Internal FGA migration topic: Invertible Module.,Modules? inversibles?,invertible Modules?,concept.invertible-module
poincare-bundle,Poincaré bundle,Internal FGA migration topic: Poincaré bundle.,faisceau de Poincaré|Module de Poincaré,Poincaré sheaf|Poincaré Module,concept.poincare-bundle
albanese,Albanese scheme,Internal FGA migration topic: Albanese scheme.,Albanese,Albanese,concept.albanese
abelian-scheme,Abelian scheme,Internal FGA migration topic: Abelian scheme.,schémas? abéliens?,abelian schemes?,concept.abelian-scheme
neron-severi,Néron–Severi group,Internal FGA migration topic: Néron–Severi group.,Néron.?Severi,Néron.?Severi,concept.neron-severi
hilbert-polynomial,Hilbert polynomial,Internal FGA migration topic: Hilbert polynomial.,polynômes? de Hilbert,Hilbert polynomials?,concept.hilbert-polynomial
flatness,Flatness,Internal FGA migration topic: Flatness.,platitude|\bplat\b|\bplate\b,flatness|\bflat\b,concept.flatness
properness,Properness,Internal FGA migration topic: Properness.,\bpropre\b|\bpropres\b,\bproper\b,concept.properness
smoothness,Smoothness,Internal FGA migration topic: Smoothness.,\bsimple\b|\bsimples\b|non singuli,\bsmooth\b|nonsingular,concept.smoothness
separatedness,Separatedness,Internal FGA migration topic: Separatedness.,\bséparé\b|\bséparée\b|séparation,\bseparated\b|separatedness,concept.separatedness
projectivity,Projectivity,Internal FGA migration topic: Projectivity.,projectif|projective,projective|projectivity,concept.projectivity
quasi-projectivity,Quasi-projectivity,Internal FGA migration topic: Quasi-projectivity.,quasi.projectif,quasi.projective,concept.quasi-projectivity
ampleness,Ampleness,Internal FGA migration topic: Ampleness.,\bample\b|amplitude,\bample\b|ampleness,concept.ampleness
finite-type,Finite type,Internal FGA migration topic: Finite type.,type fini,finite type,concept.finite-type
connected-component,Connected component,Internal FGA migration topic: Connected component.,composante connexe,connected component,concept.connected-component
group-scheme,Group scheme,Internal FGA migration topic: Group scheme.,schémas? en groupes?,group schemes?,concept.group-scheme
etale,Étale morphism,Internal FGA migration topic: Étale morphism.,étale,étale,concept.etale
fundamental-group,Fundamental group,Internal FGA migration topic: Fundamental group.,groupe fondamental,fundamental group,concept.fundamental-group
galois-cover,Galois covering,Internal FGA migration topic: Galois covering.,revêtements? galoisiens?,Galois coverings?,concept.galois-cover
tame-ramification,Tame ramification,Internal FGA migration topic: Tame ramification.,modérément ramifi|tame,tamely ramified|tame ramification,concept.tame-ramification
frobenius-radicial,Frobenius and radicial morphisms,Internal FGA migration topic: Frobenius and radicial morphisms.,Frobenius|radiciel,Frobenius|radicial,concept.frobenius-radicial
normality,Normality,Internal FGA migration topic: Normality.,normalité|\bnormal\b|\bnormale\b,normality|\bnormal\b,concept.normality
serre-s2,Serre condition S2,Internal FGA migration topic: Serre condition S2.,propriété \(S_2\)|condition \(S_2\),condition \(S_2\)|property \(S_2\),concept.serre-s2
boundedness,Boundedness,Internal FGA migration topic: Boundedness.,borné|bornée|limité|limitée,bounded|boundedness,concept.boundedness
