priority,filename,pages,text_chars_median,blankish_pages,low_text_pages,visual_note,completeness_note,recommended_action,contact_sheet
OK or spot-check,"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",100,1599,[],[47],,,Spot-check only.,
OK or spot-check,"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",144,2480,[],"[21, 88]",,,Spot-check only.,
OK or spot-check,"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",118,1656,[],"[17, 26]",,,Spot-check only.,
OK or spot-check,10-04 English Translation - Sunzi Suanjing.pdf,23,1387,[],[2],,,Spot-check only.,
OK or spot-check,"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",64,1454,[],"[54, 60]",,,Spot-check only.,
OK or spot-check,"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",68,2374,[],"[2, 55]",,,Spot-check only.,
P0 visual repair,10-07 English Translation - Aryabhata - Aryabhatiya.pdf,18,1703,[],[],User saw obvious page/layout leakage; Sanskrit/Aryabhata reader needs direct visual repair.,,Repair before next public upload; compare against source and regenerate PDF/TeX.,contact_sheets/10-07_English_Translation_-_Aryabhata_-_Aryabhatiya_selected_pages.jpg
P1 visual verification,"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",59,789,[],"[2, 37]",Sanskrit/Indian-script reader may be acceptable but has sparse/uneven pages; verify completeness and page style.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/10-08_English_Translation_-_Bhaskara_II_-_Bijaganita_parts_1-3_selected_pages.jpg
P1 visual verification,10-09 English Translation - Bhaskara II - Lilavati.pdf,23,1096,[],[3],Sanskrit/Indian-script reader may be acceptable but has sparse/uneven pages; verify completeness and page style.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/10-09_English_Translation_-_Bhaskara_II_-_Lilavati_selected_pages.jpg
OK or spot-check,10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,165,1916,[],"[1, 77, 127]",,,Spot-check only.,
P1 completeness/source extension,10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,14,2352,[],[1],,Likely not full Miftah al-Hisab: public reader is tiny; full Kashi source intake exists and should be used for a proper edition.,Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/10-11_English_Translation_-_al-Kashi_-_Miftah_al-Hisab_selected_pages.jpg
OK or spot-check,10-12 English Translation - al-Khwarizmi - Algebra.pdf,33,1512,[],[4],,,Spot-check only.,
OK or spot-check,10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,22,1948,[],[],,,Spot-check only.,
OK or spot-check,10-14 English Translation - Robert of Chester and Karpinski.pdf,28,1970,[28],"[6, 28]",,,Spot-check only.,
OK or spot-check,10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,15,1257,[],[],,,Spot-check only.,
OK or spot-check,10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,42,4115,[],"[19, 39, 40, 42]",,,Spot-check only.,
P1 visual verification,10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,50,6174,[],[],Oldest Arabic Algebra has a strange quotation mark/title issue; inspect title page and surface typography.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/10-17_English_Translation_-_Ruska_-_Oldest_Arabic_Algebra_selected_pages.jpg
