"draft_id","witness_id","covered_language_scope","source_gate","english_seed","draft_target_rendering","term_alternatives_register_notes","source_context_note","formula_neighboring_usage_note","semi_constructed_interlinear_scaffold","blocked_scope","noncanonical_boundary","non_claim_boundary"
"R7ACTDRAFT001","MI-ID-PROOF-01","Indonesian","sufficient_pdf_text_fallback_ring_Noether_proof","Let R be a Noetherian ring, and let I be an ideal of R[x].","Misalkan R suatu gelanggang Noether, dan I suatu ideal dari R[x].","gelanggang Noether / gelanggang Noetherian kept open; ideal follows Indonesian proof usage","Neliti Weyl algebra/Noether ring witness supports Indonesian ring/ideal/proof grammar; no TeX/source archive found.","Keep R, I, and R[x] unchanged; keep ideal adjacent to I and do not expand R[x] unless source context defines it.","Misalkan=let; suatu=a; gelanggang=ring; Noether/Noetherian=source-check adjective/name; ideal=ideal; dari=of/from.","Not Malay, Brunei, Singapore, or SEA/Pacific authority.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT002","MI-ID-PROOF-02","Indonesian","sufficient_pdf_text_fallback_ring_ideal_homomorphism_textbook","Let phi: R -> S be a ring homomorphism and let I be an ideal in R.","Misalkan phi: R -> S suatu homomorfisme gelanggang dan I suatu ideal dalam R.","homomorfisme / homomorfisma kept as source-check pair; Indonesian row prefers homomorfisme in current scaffold.","UIN Alauddin Struktur Aljabar ring-theory textbook supports ring, ideal, homomorphism, and proof-register scaffolding.","Keep phi, R, S, and I as formulas; keep homomorfisme gelanggang adjacent to phi: R -> S.","Misalkan=let; homomorfisme=homomorphism; gelanggang=ring; ideal=ideal; dalam=in.","Does not settle Malaysian Malay spelling or Brunei/Singapore usage.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT003","MI-ID-PROOF-03","Indonesian","sufficient_pdf_text_fallback_PID_UFD_Noetherian_proof_publication","If R is a principal ideal domain, compare the unique factorization wording.","Jika R adalah daerah ideal utama (PID), bandingkan pilihan daerah faktorisasi unik (UFD).","daerah ideal utama / domain ideal utama and daerah faktorisasi unik / domain faktorisasi unik kept open.","UM Surabaya PID/UFD/Noetherian ring witness supports Indonesian algebra proof terminology, but no source package is captured.","Keep R, PID, and UFD unchanged; put Indonesian expansion before or after abbreviations according to source-neighboring context.","Jika=if; daerah/domain=domain; ideal utama=principal ideal; faktorisasi unik=unique factorization.","Not used for Malay or SEA/Pacific draft support.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT004","MI-ID-PROOF-04","Indonesian","sufficient_pdf_text_fallback_prime_maximal_polynomial_ring_publication","If I is a prime ideal in R, compare it with the factor ring R/I.","Jika I ideal prima dalam gelanggang R, bandingkan I dengan gelanggang faktor R/I.","ideal prima, ideal maksimal, and gelanggang faktor are source-anchored Indonesian surfaces; quotient-ring alternatives remain open.","UNHAS polynomial-ring source supports ideal prima, ideal maksimal, and gelanggang faktor context.","Keep I, R, and R/I unchanged; avoid inserting extra explanatory nouns between gelanggang faktor and R/I.","Jika=if; ideal prima=prime ideal; dalam=in; gelanggang=ring; faktor=factor/quotient context.","Malay ideal/unggulan choices remain blocked.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT005","MI-ID-PROOF-05","Indonesian","sufficient_pdf_text_fallback_Artin_ring_homomorphism_factor_ring_publication","For an Artin ring, test the homomorphism and factor-ring wording.","Untuk gelanggang Artin, uji pilihan homomorfisme gelanggang dan gelanggang faktor.","Artin / Artinian and homomorfisme / homomorfisma kept open; factor-ring wording not finalized.","Walisongo Square article supports Indonesian Artin ring, ideal, homomorphism, and factor-ring proof context.","When formulas occur, keep homomorphism symbols and quotient notation adjacent to the ring phrase.","Untuk=for; gelanggang=ring; Artin/Artinian=source-check term; homomorfisme=homomorphism; faktor=factor/quotient context.","Not Malaysian Malay proof authority.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT006","MI-ID-SPEC-01","Indonesian","sufficient_pdf_text_fallback_specialist_prime_subring_article","Let A be a subring and test whether the prime condition is stated for an ideal.","Misalkan A suatu subgelanggang dan uji apakah syarat prima dinyatakan untuk suatu ideal.","subgelanggang / subring and syarat prima / kondisi prima kept open.","Unipasby specialist article supports Indonesian ring, ideal, prime, subring proof terminology and carries local CC-BY-SA text signal.","Keep A and any ideal symbol unchanged; keep subgelanggang adjacent to A when A is introduced.","Misalkan=let; subgelanggang=subring; syarat/kondisi=condition; prima=prime; ideal=ideal.","No Malay or Brunei/Singapore transfer.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT007","MI-ID-SPEC-02","Indonesian","sufficient_pdf_text_fallback_prime_semiprime_integral_domain_article","Compare prime, semiprime, and integral-domain wording for a ring R.","Bandingkan pilihan prima, semiprima, dan daerah integral untuk gelanggang R.","daerah integral / domain integral kept open; semiprima kept as source-check surface.","UNPATTI specialist article supports Indonesian ring, prime, semiprime, and integral-domain context; no source archive found.","Keep R unchanged; keep descriptor terms close to gelanggang R or the symbol being classified.","Bandingkan=compare; prima=prime; semiprima=semiprime; daerah/domain integral=integral domain; gelanggang=ring.","Not a Malay or SEA/Pacific authority row.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT008","MI-ID-SPEC-03","Indonesian","sufficient_pdf_text_fallback_Noetherian_module_article","A module M is treated as Noetherian when ascending chains of submodules stop.","Modul M diperlakukan sebagai kandidat modul Noetherian jika rantai naik submodulnya berhenti.","modul Noetherian / modul Noether kept open; submodul and rantai naik are source-check terms.","UNRAM Semeton article supports Indonesian module, Noetherian, submodule, ideal, and ring context.","Keep M unchanged; keep submodul close to rantai naik if the sentence is chain-condition prose.","Modul=module; diperlakukan=treated; kandidat=candidate; rantai naik=ascending chain; submodul=submodule; berhenti=stops.","Malay, Brunei, and Singapore Noetherian module/ring prose remains blocked.","draft_noncanonical_source_scaffold_only_not_Noether_translation_not_native_reviewed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT009","MI-MY-COURSE-01","Malaysian Malay course/register only","sufficient_pdf_text_fallback_course_catalog_register_not_proof","The course register lists proof, ring, field, ideal, homomorphism, polynomial, and covariant topics.","Register kursus menyenaraikan bukti, gelanggang, medan, ideal, homomorfisma/homomorfisme, polinomial, dan kovarian.","homomorfisma / homomorfisme kept open; ideal / unggulan not finalized.","UKM course catalog supports Malaysian Malay course-register surfaces, not full mathematical proof prose.","Do not attach Noether formulas to this row; use only for register/search prompts.","Register kursus=course register; menyenaraikan=lists; bukti=proof; gelanggang=ring; medan=field.","No full Malay proof translation; no Brunei/Singapore transfer.","draft_noncanonical_course_register_scaffold_only_not_proof_translation","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT010","MI-MY-COURSE-02","Malaysian Malay course/register only","sufficient_pdf_text_fallback_course_program_register_not_proof","The program register includes theorem, proof, ring, field, ideal, module, and polynomial topics.","Register program merangkumi teorem, bukti, gelanggang, medan, ideal, modul, dan polinomial.","teorem / dalil not finalized; ideal / unggulan remains open.","UMT program PDF supports Malaysian Malay course/program register, not specialist proof translation.","Avoid formula-neighboring claims; use as search/register surface only.","Register program=program register; merangkumi=includes; teorem=theorem; modul=module; polinomial=polynomial.","No accepted terminology or proof-prose authority.","draft_noncanonical_course_register_scaffold_only_not_proof_translation","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT011","MI-MY-COURSE-03","Malaysian Malay course/register only","sufficient_pdf_text_fallback_UPM_course_catalog_register_not_proof","Abstract algebra course context names ring, field, module, ideal, and polynomial topics.","Konteks kursus aljabar niskala/abstrak menamakan topik gelanggang, medan, modul, ideal, dan polinomial.","aljabar niskala / aljabar abstrak kept open by course-register evidence.","UPM 2024/2025 catalog supports Malaysian Malay algebra course-route evidence.","Use only for locating course material; do not draft theorem formulas from catalog metadata.","Konteks kursus=course context; aljabar niskala/abstrak=abstract algebra; menamakan=names; topik=topics.","No full article/source package and no proof translation.","draft_noncanonical_course_register_scaffold_only_not_proof_translation","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7ACTDRAFT012","MI-MY-COURSE-04","Malaysian Malay course/register only","sufficient_pdf_text_fallback_UPM_2025_course_catalog_register_not_proof","The updated course register keeps algebra, ring, field, module, ideal, and polynomial surfaces visible.","Register kursus terkini mengekalkan permukaan aljabar, gelanggang, medan, modul, ideal, dan polinomial.","aljabar / algebra orthography and ideal / unggulan kept open.","UPM 2025/2026 catalog reinforces Malaysian Malay course-route evidence, not source-level proof prose.","No theorem formula should be attached to catalog-only context.","Terkini=current; mengekalkan=keeps; permukaan=surface/register form; gelanggang=ring.","No proof-prose translation or term approval.","draft_noncanonical_course_register_scaffold_only_not_proof_translation","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
