"category","count","note"
"branch_compare_files","300","212df to ac6f compare files"
"r6_relevant_branch_rows","263","branch-visible R6/source/recovery/gap filtered rows"
"captured_branch_audit_files","3","remote branch audit files captured into package"
"branch_audit_r6_hits","67","matched lines in captured branch audit files"
"input_sha_verify_rows","46","c7fb/212df/212dfb local package SHA rows"
"input_sha_verify_failures","0","should remain zero before B3 pickup"
"source_status_rows","127","source-body/source-witness/gap rows carried under ac6f"
"active_recovery_search_rows","11","active recovery search rows carried under ac6f"
"source_gated_draft_rows","6","source-gated generated-draft/noncanonical rows"
"fable_rows","42","branch-weight/source-use/adverse/do-not-use rows"
"blocker_rows","30","exact blocker rows with next action"
