physical_page	kind	opcode	source_index	french_index	source_formula	french_formula	source_skeleton	french_skeleton	review_status	review_note
2	INLINE	insert		23		l		l	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
2	INLINE	delete	24		l		l		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
3	INLINE	insert		14		k		k	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
3	INLINE	delete	15		k		k		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
4	INLINE	delete	45		s		s		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French removes a repeated inline s after identifying both commuting Jordan factors; the preceding s and u assignments are intact.
5	INLINE	replace	62	62	\Rightarrow (B',B''')\in O(w)	(B',B''')\in O(w)	\Rightarrow(B',B''')\inO(w)	(B',B''')\inO(w)	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French verbalizes the implication by 'impliquent'; all three Borel-pair conditions and O(w) are intact.
9	INLINE	replace	32	32	g	g\in G	g	g\inG	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French combines adjacent inline g and G tokens as g\in G; the mathematical assertion is unchanged.
9	INLINE	replace	33		G		G		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French combines adjacent inline g and G tokens as g\in G; the mathematical assertion is unchanged.
10	INLINE	insert		36		\mathcal F_\theta		\mathcalF_\theta	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
10	INLINE	delete	37		\mathcal F_\theta		\mathcalF_\theta		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
11	DISPLAY	replace	10	10	\n\{G^F\text{-conjugacy classes of }F\text{-stable maximal tori}\}\xrightarrow{\sim}\mathbf W_F^{\sim}.\n	\n\{\text{classes de conjugaison sous }G^F\text{ de tores maximaux }F\text{-stables}\}\xrightarrow{\sim}\mathbf W_F^{\sim}.\n	\{G^F\TEXT{}F\TEXT{}\}\xrightarrow{\sim}\mathbfW_F^{\sim}	\{\TEXT{}G^F\TEXT{}F\TEXT{}\}\xrightarrow{\sim}\mathbfW_F^{\sim}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Display differs only in the translated set-description text; G^F, F-stability, maximal tori, the isomorphism arrow, and W_F are intact.
12	INLINE	insert		49		e		e	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
