layer	physical_page	before	after	count	reason
en	9	\toE	\to E	2	insert token boundary after relation command
en	10	\inE	\in E	1	insert token boundary after relation command
en	35	\\[	\\{}[	1	disambiguate a displayed line break before a literal opening bracket
en	55	\\[	\\{}[	2	disambiguate a displayed line break before a literal opening bracket
en	56	\\[	\\{}[	2	disambiguate a displayed line break before a literal opening bracket
en	57	\\[	\\{}[	1	disambiguate a displayed line break before a literal opening bracket
fr	9	\toE	\to E	2	insert token boundary after relation command
fr	10	\inE	\in E	1	insert token boundary after relation command
fr	35	\\[	\\{}[	1	disambiguate a displayed line break before a literal opening bracket
fr	55	\\[	\\{}[	2	disambiguate a displayed line break before a literal opening bracket
fr	56	\\[	\\{}[	2	disambiguate a displayed line break before a literal opening bracket
fr	57	\\[	\\{}[	1	disambiguate a displayed line break before a literal opening bracket
