"row_type","witness_id","language","source_title","source_url","source_type","local_path","sha256","bytes","access_license_signal","topic_tags","evidence_status","result_class","page_scope","hard_row_exact_hits","context_hits","source_canon_value_and_gap","next_gate","non_claim_boundary"
"control_or_register","CTRL-AGENTS","control","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","local source-canon artifact/provenance file; no blanket license clearance","repository instructions","observed","control_anchor","","","","Repository instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-COPILOT","control","copilot instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","local source-canon artifact/provenance file; no blanket license clearance","repository instructions","observed","control_anchor","","","","Copilot instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-PARENT","control","parent ledger","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","4F3AA28CDC4BEB647AE4FD946DE0DE6D673B5EDC07099FC42D3B61D4E3675417","515209","local source-canon artifact/provenance file; no blanket license clearance","parent ledger","observed","control_anchor","","","","Parent consolidation ledger hash anchor for Event 050.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-STEERING","control","source-canon steering","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","local source-canon artifact/provenance file; no blanket license clearance","source-canon steering","observed","control_anchor","","","","Source-canon-first steering record hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","R2-REGISTER-BOUNDARY","R2 Pan-Turkic","normalized register","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","local source-canon artifact/provenance file; no blanket license clearance","R2 register;hard blockers","observed","register_boundary_unchanged","","","","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","Need exact source rows or reviewer returns for hard blockers.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","R2-HARD-ROWS","R2 Pan-Turkic","hard-row ledger","","hard_rows_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","8B7D4BA66E9311E7475984148DB296E81DF7D66A7804E515239D2F0B061301CE","1398","local source-canon artifact/provenance file; no blanket license clearance","R2 hard blockers","observed","hard_rows_unchanged","","","","rows=8; open_gap=6; candidate_only=2","Need exact source rows or reviewer returns for hard blockers.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"ocr_tool_state","OCR-TOOL-STATE-050","Kyrgyz","local OCR tool state","","tool_inventory","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144","","0","local tool inventory; no license clearance","Kyrgyz;OCR;source-canon gate","kir_traineddata_missing_rus_tgk_fallback_used","ocr_fallback_limit_recorded","","0","0","Tesseract languages observed: no kir/Kyrgyz traineddata installed; fallback used rus+tgk at 120dpi/psm6. Poppler pdftoppm was available via WinGet binary. First 300s OCR attempt timed out before combined sidecars were written; residual page 105 text was salvaged. Second incremental 420s OCR attempt timed out after preserving completed pages.","Install/use Kyrgyz OCR traineddata or run stronger OCR before citing OCR text as clean Kyrgyz source rows.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"bounded_ocr_text","E050-KY-PDF-001-OCR-TEXT","Kyrgyz","OKUMA algebra 7 bounded OCR","","ocr_text_sidecar","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-001_KY-PDF-001_rus_tgk_120dpi_pages_20-60_ocr.txt","6C85E45D665166DF4E360DA547124BEE9B998A65AA9A008A90E4F07F6C140D42","66751","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;algebra;OCR;Noetherian ring;polynomial ring","bounded_ocr_completed_or_partial","ocr_gate_evidence_no_hard_row_support","20-60","0","0","Bounded rus+tgk fallback OCR text preserved for KY-PDF-001; pages completed=41, page_scope=20-60, OCR chars=37578. Exact hard-row hits=0; configured context-hit pages=0. Because kir traineddata is missing, this is OCR-gate evidence, not clean term support.","Use Kyrgyz OCR traineddata or targeted manual/source review before citing terms.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"bounded_ocr_page_hits","E050-KY-PDF-001-PAGE-HITS","Kyrgyz","OKUMA algebra 7 bounded OCR page hits","","ocr_page_hit_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-001_KY-PDF-001_rus_tgk_120dpi_pages_20-60_page_hits.csv","E331A2D314ABCD08F22A20ACCE4699BCB0C5D95954934F3E36EAA3FBFF3DA61B","3322","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;OCR;page hits","page_hit_inventory","zero_exact_hard_row_hits","20-60","0","0","Page-level OCR hit inventory for KY-PDF-001; rows=41, hard-row exact hit pages=0, context-hit pages=0.","Use as locator/gap evidence only.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"bounded_ocr_text","E050-KY-PDF-003-OCR-TEXT","Kyrgyz","Bizdin algebra 8 bounded OCR","","ocr_text_sidecar","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-003_KY-PDF-003_rus_tgk_120dpi_pages_1-30_ocr.txt","D6F5544AF25F79EA0A908D9529F41D04B45B75F13D32CA5D9FC0A57CFD198924","43798","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;algebra;OCR;Noetherian ring;polynomial ring","bounded_ocr_completed_or_partial","ocr_gate_evidence_no_hard_row_support","1-14","0","0","Bounded rus+tgk fallback OCR text preserved for KY-PDF-003; pages completed=14, page_scope=1-14, OCR chars=26030. Exact hard-row hits=0; configured context-hit pages=0. Because kir traineddata is missing, this is OCR-gate evidence, not clean term support.","Use Kyrgyz OCR traineddata or targeted manual/source review before citing terms.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
