"control_id","evidence_class","logical_source","disposition","reason"
"SGA2-X-L3573-CUST-001","producer_tree","R2 producer bounded-unit root","selected_exact_subset","22 handoff-listed privacy-clean files retained byte-for-byte"
"SGA2-X-L3573-CUST-002","independent_review_tree","controlling fresh review root ending _002","selected_exact_subset","11 handoff-listed controlling-review files retained byte-for-byte"
"SGA2-X-L3573-CUST-003","target_tex_pdf","producer target TeX and PDF","included_exact","formal handoff identities retained"
"SGA2-X-L3573-CUST-004","target_renders","producer and independent target rasters","included_exact","English target visual QA evidence is public"
"SGA2-X-L3573-CUST-005","source_page_raster","same-edition physical page 105 raster","rights_blocked_not_public","exact metadata retained in rights witness ledgers"
"SGA2-X-L3573-CUST-006","source_body","French source slice and source-page extracted text","excluded","authority identity and boundary retained without redistribution"
"SGA2-X-L3573-CUST-007","comparison_body","jcreinhold comparison excerpt","excluded","comparison-only lineage is not authority"
"SGA2-X-L3573-CUST-008","raw_logs","R1 and local raw compiler or engine logs","excluded","private-path-bearing adverse history remains nonpublic"
"SGA2-X-L3573-CUST-009","scripts_and_intermediates","producer and review audit scripts plus TeX auxiliaries","excluded","not part of the handoff-listed public subset"
"SGA2-X-L3573-CUST-010","duplicate_rebuild_pdf","timestamp-distinct independent rebuild PDF","excluded","text and raster evidence retained without duplicate reader"
"SGA2-X-L3573-CUST-011","failed_reviews","R1 FAIL and first R2 review root","excluded_hash_bound_history","controlling _002 review binds adverse chronology"
"SGA2-X-L3573-CUST-012","adjacent_lines3568_3571","separately reviewed producer state","held_not_public","no exact archive handoff received; no continuous-coverage claim"
