application_id,candidate_id,source_relpath,source_line,source_column,visible_text,raw_tex,reference_form,target_label,target_id,resolution_basis,source_sha256,status
ega1.application.sha256.27f850ef84b37c39debc677f4c3260fb1de7adaff871cc8346e2c449d5e33ae3,ega1.candidate.sha256.27f850ef84b37c39debc677f4c3260fb1de7adaff871cc8346e2c449d5e33ae3,ega1.tex,21,3,\textsection1,\hyperref[section:I.1]{\textsection1},hyperref,section:I.1,ega1.c01.sec.1,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.c8758449f0210849b533ac4d21ee64373d81c076d0cbc72b10fadc11305b40aa,ega1.candidate.sha256.c8758449f0210849b533ac4d21ee64373d81c076d0cbc72b10fadc11305b40aa,ega1.tex,22,3,\textsection2,\hyperref[section:I.2]{\textsection2},hyperref,section:I.2,ega1.c01.sec.2,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.c2b355a648d884e6fa70d09b7edf1b38ebc724c3edf7972ed0738c54c0dbf424,ega1.candidate.sha256.c2b355a648d884e6fa70d09b7edf1b38ebc724c3edf7972ed0738c54c0dbf424,ega1.tex,23,3,\textsection3,\hyperref[section:I.3]{\textsection3},hyperref,section:I.3,ega1.c01.sec.3,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.11f4dae81ea518534e36d97dadf0a2695bcac19fbdff6f9d4171a9a846724093,ega1.candidate.sha256.11f4dae81ea518534e36d97dadf0a2695bcac19fbdff6f9d4171a9a846724093,ega1.tex,24,3,\textsection4,\hyperref[section:I.4]{\textsection4},hyperref,section:I.4,ega1.c01.sec.4,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.594f899115e2cd4d68623be58f36e16712aab135345e5f3cf08106ce79739435,ega1.candidate.sha256.594f899115e2cd4d68623be58f36e16712aab135345e5f3cf08106ce79739435,ega1.tex,25,3,\textsection5,\hyperref[section:I.5]{\textsection5},hyperref,section:I.5,ega1.c01.sec.5,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.b39670634b6f30120d3e9fac65460056e62c6247189c301906e64cc7f5c93b00,ega1.candidate.sha256.b39670634b6f30120d3e9fac65460056e62c6247189c301906e64cc7f5c93b00,ega1.tex,26,3,\textsection6,\hyperref[section:I.6]{\textsection6},hyperref,section:I.6,ega1.c01.sec.6,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.85b100267453c55e704201499f6acb6f551b739ced8b531923ef91666b002bd6,ega1.candidate.sha256.85b100267453c55e704201499f6acb6f551b739ced8b531923ef91666b002bd6,ega1.tex,27,3,\textsection7,\hyperref[section:I.7]{\textsection7},hyperref,section:I.7,ega1.c01.sec.7,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.e50fcddc853de973f240a3f6626e170c69266ed6e280af62723d951bba19fc49,ega1.candidate.sha256.e50fcddc853de973f240a3f6626e170c69266ed6e280af62723d951bba19fc49,ega1.tex,28,3,\textsection8,\hyperref[section:I.8]{\textsection8},hyperref,section:I.8,ega1.c01.sec.8,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.ead45f654a9d62cb723545eab935ae22e0bffe3ea97c7fea8dac1ad2bbbd9028,ega1.candidate.sha256.ead45f654a9d62cb723545eab935ae22e0bffe3ea97c7fea8dac1ad2bbbd9028,ega1.tex,29,3,\textsection9,\hyperref[section:I.9]{\textsection9},hyperref,section:I.9,ega1.c01.sec.9,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
ega1.application.sha256.7b8ced5f393cf6812dd1c97cb0a2fea18c80fac9047b214813246f13fe572d10,ega1.candidate.sha256.7b8ced5f393cf6812dd1c97cb0a2fea18c80fac9047b214813246f13fe572d10,ega1.tex,30,3,\textsection10,\hyperref[section:I.10]{\textsection10},hyperref,section:I.10,ega1.c01.sec.10,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,active_local_link
