relative_path,current_bytes,current_sha256,reversed_index_links,reversed_body_links,reversed_anchors,reversed_metadata,reversed_unique_label_blocks,reversed_external_guards,reversed_sref_guards,reversed_reader_hygiene_restorations,reconstructed_bytes,reconstructed_sha256,predecessor_bytes,predecessor_sha256,reconstruction_status
ega1.tex,3193,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,0,7,0,1,0,0,0,0,2798,FF7AC9EA12884446240393C9EA0EE74D61A1C63D49D32C789A95530007983F71,2798,FF7AC9EA12884446240393C9EA0EE74D61A1C63D49D32C789A95530007983F71,exact
preamble.tex,5791,A46062B37FAE10A668B020E8963F8E1BB39B9E3B5C4EA0C4E0E34F217A28BFF7,0,0,0,0,1,1,1,0,4613,9DBC1EE1E981FA72F129E743DFEBF04FAFF52AD4DD3FE83B0EA0E250214DF802,4613,9DBC1EE1E981FA72F129E743DFEBF04FAFF52AD4DD3FE83B0EA0E250214DF802,exact
ega1/ega1-1.tex,78867,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,0,0,0,0,0,0,0,0,78867,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,78867,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,exact
ega1/ega1-2.tex,25209,E93CD2BF1760A04F758C0F1792CE628378FFD7403A3563B35CAF562AA6085921,0,1,0,0,0,0,0,0,25185,8A7F5A3D250835B3C5F6BA9AF32C7C97C9B333D6AD4110E54D110E46385AD933,25185,8A7F5A3D250835B3C5F6BA9AF32C7C97C9B333D6AD4110E54D110E46385AD933,exact
ega1/ega1-3.tex,56468,D972CD9E7A715D6D29F41DE89243B7B2263830B18C8B2DFDA2B34E6D7B4018B8,0,0,1,0,0,0,0,0,56437,105488CCD1D733F93F6CE32F0A8F6E337FE9C6ECDF4024B7BB94042B6ADA9C60,56437,105488CCD1D733F93F6CE32F0A8F6E337FE9C6ECDF4024B7BB94042B6ADA9C60,exact
ega1/ega1-4.tex,33351,60B015C492C2C6948D96C591F003D846AB75D7AA27DE6C90903FAD2A439F959B,0,1,0,0,0,0,0,0,33331,98FA2EE310F804373F8213160847A35096AB9A6F533A8FCE3E2596DBBC16D80C,33331,98FA2EE310F804373F8213160847A35096AB9A6F533A8FCE3E2596DBBC16D80C,exact
ega1/ega1-5.tex,46805,E6C75AC220D10031AC3C48A1FFD55B4F0E2CB04D13B77803765068D3053CB747,0,0,0,0,0,0,0,0,46805,E6C75AC220D10031AC3C48A1FFD55B4F0E2CB04D13B77803765068D3053CB747,46805,E6C75AC220D10031AC3C48A1FFD55B4F0E2CB04D13B77803765068D3053CB747,exact
ega1/ega1-6.tex,54640,45E544D1C0975687D411E180947BB5C30953118A5A58FF9A9688EC101B49FB98,0,0,0,0,0,0,0,0,54640,45E544D1C0975687D411E180947BB5C30953118A5A58FF9A9688EC101B49FB98,54640,45E544D1C0975687D411E180947BB5C30953118A5A58FF9A9688EC101B49FB98,exact
ega1/ega1-7.tex,35685,56B9841955C002CB9C3FC27033CFFD88C812096FFB7E21982E1693300A7E97F8,0,0,0,0,0,0,0,0,35685,56B9841955C002CB9C3FC27033CFFD88C812096FFB7E21982E1693300A7E97F8,35685,56B9841955C002CB9C3FC27033CFFD88C812096FFB7E21982E1693300A7E97F8,exact
ega1/ega1-8.tex,19478,9179D9F8A8329F948ED613FED851448BA207C71FB6961305BC0C8F68A0CF2738,0,0,0,0,0,0,0,0,19478,9179D9F8A8329F948ED613FED851448BA207C71FB6961305BC0C8F68A0CF2738,19478,9179D9F8A8329F948ED613FED851448BA207C71FB6961305BC0C8F68A0CF2738,exact
