candidate_id,candidate_class,source_relpath,source_line,source_column,visible_text,raw_tex,reference_form,proposed_target_label,target_id,status,resolution_basis,source_sha256,supersedes_candidate_id
ega1.candidate.sha256.aab42c853df11660ffb0f7291005a941334e505465bcb7f29fef64715f3ef803,structural_target,ega1.tex,14,1,section:ega1,\label{section:ega1},structural_declaration,section:ega1,ega1.reader.sec.ega1,target_only,active unique source label represented in REFERENCE_TARGETS.csv,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.27f850ef84b37c39debc677f4c3260fb1de7adaff871cc8346e2c449d5e33ae3,active_link,ega1.tex,21,3,\textsection1,\hyperref[section:I.1]{\textsection1},hyperref,section:I.1,ega1.c01.sec.1,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.c8758449f0210849b533ac4d21ee64373d81c076d0cbc72b10fadc11305b40aa,active_link,ega1.tex,22,3,\textsection2,\hyperref[section:I.2]{\textsection2},hyperref,section:I.2,ega1.c01.sec.2,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.c2b355a648d884e6fa70d09b7edf1b38ebc724c3edf7972ed0738c54c0dbf424,active_link,ega1.tex,23,3,\textsection3,\hyperref[section:I.3]{\textsection3},hyperref,section:I.3,ega1.c01.sec.3,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.11f4dae81ea518534e36d97dadf0a2695bcac19fbdff6f9d4171a9a846724093,active_link,ega1.tex,24,3,\textsection4,\hyperref[section:I.4]{\textsection4},hyperref,section:I.4,ega1.c01.sec.4,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.594f899115e2cd4d68623be58f36e16712aab135345e5f3cf08106ce79739435,active_link,ega1.tex,25,3,\textsection5,\hyperref[section:I.5]{\textsection5},hyperref,section:I.5,ega1.c01.sec.5,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.b39670634b6f30120d3e9fac65460056e62c6247189c301906e64cc7f5c93b00,active_link,ega1.tex,26,3,\textsection6,\hyperref[section:I.6]{\textsection6},hyperref,section:I.6,ega1.c01.sec.6,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.85b100267453c55e704201499f6acb6f551b739ced8b531923ef91666b002bd6,active_link,ega1.tex,27,3,\textsection7,\hyperref[section:I.7]{\textsection7},hyperref,section:I.7,ega1.c01.sec.7,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.e50fcddc853de973f240a3f6626e170c69266ed6e280af62723d951bba19fc49,active_link,ega1.tex,28,3,\textsection8,\hyperref[section:I.8]{\textsection8},hyperref,section:I.8,ega1.c01.sec.8,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.ead45f654a9d62cb723545eab935ae22e0bffe3ea97c7fea8dac1ad2bbbd9028,active_link,ega1.tex,29,3,\textsection9,\hyperref[section:I.9]{\textsection9},hyperref,section:I.9,ega1.c01.sec.9,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.7b8ced5f393cf6812dd1c97cb0a2fea18c80fac9047b214813246f13fe572d10,active_link,ega1.tex,30,3,\textsection10,\hyperref[section:I.10]{\textsection10},hyperref,section:I.10,ega1.c01.sec.10,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.15f293c6bf85800a516437b313d61d3e39d597731d10b8040edcab5db49ad521,active_link,ega1.tex,35,28,1,\hyperref[section:I.1]{1},hyperref,section:I.1,ega1.c01.sec.1,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.1ba2a75438080de038e0cae328f03bd9b33b261d4522763435988e1fead924d7,active_link,ega1.tex,35,55,8,\hyperref[section:I.8]{8},hyperref,section:I.8,ega1.c01.sec.8,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.be50658d386578be36959b9c0a17a0afcbeb08185a6e5bccfc6d0f655f52055d,active_link,ega1.tex,36,116,7,\hyperref[section:I.7]{7},hyperref,section:I.7,ega1.c01.sec.7,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.d458be710192edaafe774d416b97c1f40c05bf7f3a97ab77363cab18b24d4922,active_link,ega1.tex,36,143,8,\hyperref[section:I.8]{8},hyperref,section:I.8,ega1.c01.sec.8,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.3344968564649dbc7ea2b9abaa04863c98f7030bb4e16fc694a9227430b8e565,active_link,ega1.tex,36,325,I-1,\cite{I-1},cite,,ega1.reader.generated.cite-i-1,applied,visible citation key resolves to compiled bibliography destination,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.ae730287f8719c7bb4401ef27320126db6f6d5fb04596e8f2b54309023b61ce0,active_link,ega1.tex,36,347,I-9,\cite{I-9},cite,,ega1.reader.generated.cite-i-9,applied,visible citation key resolves to compiled bibliography destination,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.ed73df26c427d466f651bfb27902cad384d14452c8d9bdd9fc6a34434f97eef6,active_link,ega1.tex,37,22,9,\hyperref[section:I.9]{9},hyperref,section:I.9,ega1.c01.sec.9,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.f0f342faf82b9794ff7f94c609ccfc4a47d7a2abe5274bd7b0bbb72f208cbe7e,active_link,ega1.tex,38,25,10,\hyperref[section:I.10]{10},hyperref,section:I.10,ega1.c01.sec.10,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.6cec474d839bab15131dd0000f3143f24cf73c5746919d169e89491401fd3404,residual,ega1.tex,38,152,Chapter~III,Chapter~III,chapter_mention,,,reviewed_nonedge,chapter mention has no unique admissible target in standalone EGA I,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.09aa0f154fc842bd5f4bef39239fe8230a60322427b4d1a5302235c205cf2810,active_link,ega1.tex,40,28,10,\hyperref[section:I.10]{10},hyperref,section:I.10,ega1.c01.sec.10,applied,explicit local hyperref to exact unique source label,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.d0c9cb841b7544adc5dac17f61cb84a786a4cca7d853cdfdd8c83d9b9e5c1048,residual,ega1.tex,40,80,\textsection3 of Chapter~III,\textsection3 of Chapter~III,chapter_mention,,,reviewed_nonedge,chapter mention has no unique admissible target in standalone EGA I,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,
ega1.candidate.sha256.0e94d26542bfd64705036706d7ca44ee7b4dcd91c6ddc47893b9a946b843af78,structural_target,ega1/ega1-1.tex,3,1,section:I.1,\label{section:I.1},structural_declaration,section:I.1,ega1.c01.sec.1,target_only,active unique source label represented in REFERENCE_TARGETS.csv,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,
