residual_id,candidate_id,source_relpath,source_line,source_column,visible_text,raw_tex,reference_form,proposed_target_label,classification,resolution_basis,source_sha256,status
ega1.residual.sha256.6cec474d839bab15131dd0000f3143f24cf73c5746919d169e89491401fd3404,ega1.candidate.sha256.6cec474d839bab15131dd0000f3143f24cf73c5746919d169e89491401fd3404,ega1.tex,38,152,Chapter~III,Chapter~III,chapter_mention,,external_or_ambiguous_chapter_reference,chapter mention has no unique admissible target in standalone EGA I,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,reviewed_nonedge
ega1.residual.sha256.d0c9cb841b7544adc5dac17f61cb84a786a4cca7d853cdfdd8c83d9b9e5c1048,ega1.candidate.sha256.d0c9cb841b7544adc5dac17f61cb84a786a4cca7d853cdfdd8c83d9b9e5c1048,ega1.tex,40,80,\textsection3 of Chapter~III,\textsection3 of Chapter~III,chapter_mention,,external_or_ambiguous_chapter_reference,chapter mention has no unique admissible target in standalone EGA I,EEEEB19FF8D94B62ABFCB39A4B2A43E9F7EB701362027804654D8CCF818F0097,reviewed_nonedge
ega1.residual.sha256.e624efc0bd830ea075c80c60532c3a3401ac2506ab91f3e47e1ff6628a289978,ega1.candidate.sha256.e624efc0bd830ea075c80c60532c3a3401ac2506ab91f3e47e1ff6628a289978,ega1/ega1-1.tex,171,171,0.1.1.1,\sref[0]{0.1.1.1},sref,0.1.1.1,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.d107725978efc0ea7fae0b21f9c9917bed307d9d5fd6886f945633e2e65ec94a,ega1.candidate.sha256.d107725978efc0ea7fae0b21f9c9917bed307d9d5fd6886f945633e2e65ec94a,ega1/ega1-1.tex,180,36,0.2.1.1,\sref[0]{0.2.1.1},sref,0.2.1.1,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.4b07d1578b18a54df7b1a53e58bef6d94816e969ffaf3ba753b7fa18428fc913,ega1.candidate.sha256.4b07d1578b18a54df7b1a53e58bef6d94816e969ffaf3ba753b7fa18428fc913,ega1/ega1-1.tex,206,103,0.2.1.3,\sref[0]{0.2.1.3},sref,0.2.1.3,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.3283f151f308965bb7d4cdb46d3a3215b8d2b399c7d31fa534a37fde73794cb0,ega1.candidate.sha256.3283f151f308965bb7d4cdb46d3a3215b8d2b399c7d31fa534a37fde73794cb0,ega1/ega1-1.tex,315,12,0.1.2.6,\sref[0]{0.1.2.6},sref,0.1.2.6,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.4619bd2ceb41f57d91173b10f0c3e31c957a0eb20056da6ad06c1b51cb3a35eb,ega1.candidate.sha256.4619bd2ceb41f57d91173b10f0c3e31c957a0eb20056da6ad06c1b51cb3a35eb,ega1/ega1-1.tex,335,213,0.1.4.3,\sref[0]{0.1.4.3},sref,0.1.4.3,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.84ff4a18c720265dc9a6d084bdd7d42ebd13e09f3674c28aa5bca70a050070ba,ega1.candidate.sha256.84ff4a18c720265dc9a6d084bdd7d42ebd13e09f3674c28aa5bca70a050070ba,ega1/ega1-1.tex,358,77,0.1.4.1,\sref[0]{0.1.4.1},sref,0.1.4.1,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.fae489dacf46eb0018a2a87d859d99c8f87dd2346d23116aa31553c205e456c7,ega1.candidate.sha256.fae489dacf46eb0018a2a87d859d99c8f87dd2346d23116aa31553c205e456c7,ega1/ega1-1.tex,362,48,0.1.4.4,\sref[0]{0.1.4.4},sref,0.1.4.4,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.915d1204f3dcef30010587f654b29d77fddab4e0cf439dfcec02ae1017d3feb8,ega1.candidate.sha256.915d1204f3dcef30010587f654b29d77fddab4e0cf439dfcec02ae1017d3feb8,ega1/ega1-1.tex,372,101,0.1.4.5,\sref[0]{0.1.4.5},sref,0.1.4.5,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
ega1.residual.sha256.8439b80e8925649cb926da42da741b47c451f8a8fb5ace70722382285e51a35f,ega1.candidate.sha256.8439b80e8925649cb926da42da741b47c451f8a8fb5ace70722382285e51a35f,ega1/ega1-1.tex,381,411,0.3.2.1,\sref[0]{0.3.2.1},sref,0.3.2.1,external_volume_reference,explicit unavailable cross-volume reference (0) retained visibly; standalone EGA I has no admissible local target,A34EC335FB2561AC0A171A797DC5C41CE7FAD6A0CACAF90A2AB8695DB69E77F4,reviewed_nonedge
