target_id,latex_label,aux_locator,baseline_pdf_destination,expose,context,kind,title,compiled_page,source_relpath,source_line,source_occurrence_count,compiled_status
ega1.reader.sec.ega1,section:ega1,,section*.2,,reader,sec,,1,ega1.tex,14,1,baseline_aux_present
ega1.c01.sec.1,section:I.1,1,section*.5,I,c01,sec,Affine schemes,3,ega1/ega1-1.tex,3,1,baseline_aux_present
ega1.c01.subsec.1-1,subsection:I.1.1,1.1,section*.6,I,c01,subsec,The prime spectrum of a ring,3,ega1/ega1-1.tex,7,1,baseline_aux_present
ega1.c01.statement.1-1-1,I.1.1.1,1.1,section*.7,I,c01,statement,1.1.1,3,ega1/ega1-1.tex,10,1,baseline_aux_present
ega1.c01.eq.1-1-1-1,I.1.1.1.1,{1.1.1.1},section*.9,I,c01,eq,1.1.1,3,ega1/ega1-1.tex,27,1,baseline_aux_present
ega1.c01.prop.1-1-2,I.1.1.2,1.1,section*.10,I,c01,prop,1.1.2,3,ega1/ega1-1.tex,37,1,baseline_aux_present
ega1.c01.statement.1-1-3,I.1.1.3,1.1,section*.11,I,c01,statement,1.1.3,3,ega1/ega1-1.tex,60,1,baseline_aux_present
ega1.c01.statement.1-1-3-1,I.1.1.3.1,{1.1.3.1},section*.13,I,c01,statement,1.1.3,3,ega1/ega1-1.tex,66,1,baseline_aux_present
ega1.c01.statement.1-1-3-2,I.1.1.3.2,{1.1.3.2},section*.15,I,c01,statement,1.1.3,4,ega1/ega1-1.tex,73,1,baseline_aux_present
ega1.c01.prop.1-1-4,I.1.1.4,1.1,section*.16,I,c01,prop,1.1.4,4,ega1/ega1-1.tex,80,1,baseline_aux_present
ega1.c01.cor.1-1-5,I.1.1.5,1.1,section*.17,I,c01,cor,1.1.5,4,ega1/ega1-1.tex,95,1,baseline_aux_present
ega1.c01.cor.1-1-6,I.1.1.6,1.1,section*.18,I,c01,cor,1.1.6,4,ega1/ega1-1.tex,101,1,baseline_aux_present
ega1.c01.cor.1-1-7,I.1.1.7,1.1,section*.19,I,c01,cor,1.1.7,4,ega1/ega1-1.tex,112,1,baseline_aux_present
ega1.c01.cor.1-1-8,I.1.1.8,1.1,section*.20,I,c01,cor,1.1.8,4,ega1/ega1-1.tex,118,1,baseline_aux_present
ega1.c01.statement.1-1-9,I.1.1.9,1.1,section*.21,I,c01,statement,1.1.9,4,ega1/ega1-1.tex,127,1,baseline_aux_present
ega1.c01.statement.1-1-9-1,I.1.1.9.1,{1.1.9.1},section*.23,I,c01,statement,1.1.9,4,ega1/ega1-1.tex,130,1,baseline_aux_present
ega1.c01.prop.1-1-10,I.1.1.10,1.1,section*.24,I,c01,prop,1.1.10,4,ega1/ega1-1.tex,139,1,baseline_aux_present
ega1.c01.prop.1-1-11,I.1.1.11,1.1,section*.25,I,c01,prop,1.1.11,4,ega1/ega1-1.tex,163,1,baseline_aux_present
ega1.c01.cor.1-1-12,I.1.1.12,1.1,section*.26,I,c01,cor,1.1.12,5,ega1/ega1-1.tex,174,1,baseline_aux_present
ega1.c01.prop.1-1-13,I.1.1.13,1.1,section*.27,I,c01,prop,1.1.13,5,ega1/ega1-1.tex,179,1,baseline_aux_present
ega1.c01.cor.1-1-14,I.1.1.14,1.1,section*.28,I,c01,cor,1.1.14,5,ega1/ega1-1.tex,191,1,baseline_aux_present
ega1.c01.prop.1-1-15,I.1.1.15,1.1,section*.29,I,c01,prop,1.1.15,5,ega1/ega1-1.tex,210,1,baseline_aux_present
ega1.c01.subsec.1-2,subsection:I.1.2,1.2,section*.30,I,c01,subsec,Functorial properties of prime spectra of rings,5,ega1/ega1-1.tex,221,1,baseline_aux_present
ega1.c01.statement.1-2-1,I.1.2.1,1.2,section*.31,I,c01,statement,1.2.1,5,ega1/ega1-1.tex,224,1,baseline_aux_present
ega1.c01.eq.1-2-1-1,I.1.2.1.1,{1.2.1.1},section*.33,I,c01,eq,1.2.1,5,ega1/ega1-1.tex,242,1,baseline_aux_present
ega1.c01.prop.1-2-2,I.1.2.2,1.2,section*.34,I,c01,prop,1.2.2,5,ega1/ega1-1.tex,249,1,baseline_aux_present
ega1.c01.eq.1-2-2-1,I.1.2.2.1,{1.2.2.1},section*.36,I,c01,eq,1.2.2,5,ega1/ega1-1.tex,254,1,baseline_aux_present
ega1.c01.eq.1-2-2-2,I.1.2.2.2,{1.2.2.2},section*.38,I,c01,eq,1.2.2,5,ega1/ega1-1.tex,260,1,baseline_aux_present
