edge_id,pdf_page,annotation_index,source_rectangle,visible_text,action_type,target_id,target_label,target_kind,target_page,status,pdf_sha256
ega1.edge.sha256.c29676f3a08b14ea120d2917265d1400f905cbce22328232697f4d85ed4ca168,1,0,"517.019,618.819,522.0,625.663",2,GoTo,ega1.reader.generated.sectionstar-4,,generated,2,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.2acb4818cf8abf61f83556e6d13b9e3dcedea83d3ed5e545e41918b421309ce6,1,1,"517.019,606.266,522.0,613.11",3,GoTo,ega1.reader.generated.section-1,,generated,3,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.f5402e5e929ce68394bcd6814f8f3ce7a30c941a44009ad674d0530d4405ba07,1,2,"517.019,593.713,522.0,600.557",3,GoTo,ega1.reader.generated.subsection-1-1,,generated,3,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.b9babbc53d92712735b1e1c711083ab9f94108c78866a3554b5588a5c6cf1814,1,3,"517.019,581.16,522.0,588.004",5,GoTo,ega1.reader.generated.subsection-1-2,,generated,5,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.4311c30c67fd3bdf0cc2cf8650d20a93b45da7bfc5b55b8f808ab96ca97c6668,1,4,"517.019,568.607,522.0,575.451",6,GoTo,ega1.reader.generated.subsection-1-3,,generated,6,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.4369bd9ff2454d953a9941c0d3b33093212bed213d53e5b108dd108d609504ce,1,5,"512.038,556.054,522.0,562.898",11,GoTo,ega1.reader.generated.subsection-1-4,,generated,11,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.c58656f2b3925d7bf6b3a58b368dd26d7351ce5e7596bc68b87cb2c89884819b,1,6,"512.038,543.501,522.0,550.345",13,GoTo,ega1.reader.generated.subsection-1-5,,generated,12,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.d3c5f2f64259d1a201a8687458047dbc9ee75e0c42f7e41db94eca5470fbc975,1,7,"512.038,530.948,522.001,537.792",13,GoTo,ega1.reader.generated.subsection-1-6,,generated,13,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.ff16d74fef2c6d4338d34ff2ff753f2ddf6fd1b112074e0336f96208dd478046,1,8,"512.038,518.395,522.0,525.239",15,GoTo,ega1.reader.generated.subsection-1-7,,generated,15,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.4a6d668b453bfeeba5a49e844b11a6f3273d1c10239f9dcf11c6244809014d47,1,9,"512.038,505.842,522.0,512.686",16,GoTo,ega1.reader.generated.subsection-1-8,,generated,16,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
