application_id,candidate_id,source_relpath,source_line,source_column,visible_text,original_tex,applied_tex,reference_form,target_label,target_id,resolution_basis,status
ega1.application.sha256.8c40523349f2bb319c0b8a3ea7e5e1a3a4242d28b1777dcd285b2588efb0e69d,ega1.candidate.sha256.8c40523349f2bb319c0b8a3ea7e5e1a3a4242d28b1777dcd285b2588efb0e69d,ega1/ega1-backmatter-index-notation.tex,63,147,1.1.1,1.1.1,\hyperref[I.1.1.1]{1.1.1},backmatter_index_locator,I.1.1.1,ega1.c01.statement.1-1-1,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.fc0ad202b2fb01f5cf29ac38e0fee70e004c5c27e1bc59572aa590e3a7065cd1,ega1.candidate.sha256.fc0ad202b2fb01f5cf29ac38e0fee70e004c5c27e1bc59572aa590e3a7065cd1,ega1/ega1-backmatter-index-notation.tex,64,38,1.1.3,1.1.3,\hyperref[I.1.1.3]{1.1.3},backmatter_index_locator,I.1.1.3,ega1.c01.statement.1-1-3,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.506df67c26900573da37c2f797ff339360efd29d014366881ec62bf3f6c8bc4a,ega1.candidate.sha256.506df67c26900573da37c2f797ff339360efd29d014366881ec62bf3f6c8bc4a,ega1/ega1-backmatter-index-notation.tex,65,33,1.2.1,1.2.1,\hyperref[I.1.2.1]{1.2.1},backmatter_index_locator,I.1.2.1,ega1.c01.statement.1-2-1,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.7405a4349e74cd253b4323f0eaca067fede97e29f714f715eb7cecff70b5e5bb,ega1.candidate.sha256.7405a4349e74cd253b4323f0eaca067fede97e29f714f715eb7cecff70b5e5bb,ega1/ega1-backmatter-index-notation.tex,66,29,1.3.1,1.3.1,\hyperref[I.1.3.1]{1.3.1},backmatter_index_locator,I.1.3.1,ega1.c01.statement.1-3-1,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.075d09a3b2e8e7769595540b6f2a8398d5bc3a219cb37c153c63af8f146951a3,ega1.candidate.sha256.075d09a3b2e8e7769595540b6f2a8398d5bc3a219cb37c153c63af8f146951a3,ega1/ega1-backmatter-index-notation.tex,67,33,1.3.3,1.3.3,\hyperref[I.1.3.3]{1.3.3},backmatter_index_locator,I.1.3.3,ega1.c01.statement.1-3-3,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.a252480c191041926c234b0dac1d2841cf463bf2892916ee18a6b285b29966f6,ega1.candidate.sha256.a252480c191041926c234b0dac1d2841cf463bf2892916ee18a6b285b29966f6,ega1/ega1-backmatter-index-notation.tex,68,66,1.3.4,1.3.4,\hyperref[I.1.3.4]{1.3.4},backmatter_index_locator,I.1.3.4,ega1.c01.def.1-3-4,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.70e45adfeaf82ebbdf641503b0e4a148f42ce62b8b1937dc3563d6896911e9a3,ega1.candidate.sha256.70e45adfeaf82ebbdf641503b0e4a148f42ce62b8b1937dc3563d6896911e9a3,ega1/ega1-backmatter-index-notation.tex,69,35,1.3.5,1.3.5,\hyperref[I.1.3.5]{1.3.5},backmatter_index_locator,I.1.3.5,ega1.c01.prop.1-3-5,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.16f96e97fb803dd13f13b1c1878c332c85734522070caf826501fe0321e51c83,ega1.candidate.sha256.16f96e97fb803dd13f13b1c1878c332c85734522070caf826501fe0321e51c83,ega1/ega1-backmatter-index-notation.tex,70,39,1.6.1,1.6.1,\hyperref[I.1.6.1]{1.6.1},backmatter_index_locator,I.1.6.1,ega1.c01.statement.1-6-1,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.93377773eaa6abf3461a5dc22c50300b3364512099b04baa5d4aa7ea39fd5a4f,ega1.candidate.sha256.93377773eaa6abf3461a5dc22c50300b3364512099b04baa5d4aa7ea39fd5a4f,ega1/ega1-backmatter-index-notation.tex,71,27,1.7.1,1.7.1,\hyperref[I.1.7.1]{1.7.1},backmatter_index_locator,I.1.7.1,ega1.c01.def.1-7-1,explicit EGA I locator and unique exact local statement label,applied
ega1.application.sha256.262a214a0d8c24a6b3b623de852dc27d558ee3b085320be66535c98e0ee84920,ega1.candidate.sha256.262a214a0d8c24a6b3b623de852dc27d558ee3b085320be66535c98e0ee84920,ega1/ega1-backmatter-index-notation.tex,72,40,2.1.6,2.1.6,\hyperref[I.2.1.6]{2.1.6},backmatter_index_locator,I.2.1.6,ega1.c01.statement.2-1-6,explicit EGA I locator and unique exact local statement label,applied
