issue_id	lane	proposal	observed_failure	disposition	evidence_id
CJK-NOT-A001	shared	Construct one CJK mathematical language	The audited languages require separately evidenced grammar, morphology, and lexica	rejected; standardize mechanics plus local profiles	CJK-NOT-E012;CJK-NOT-E014;CJK-NOT-E028;CJK-NOT-E030
CJK-NOT-A002	Chinese	Treat generic Hans/Hant conversion as regional localization	Script conversion lacks Singapore/Taiwan/Hong-Kong/Macao prose and terminology evidence	rejected	CJK-NOT-E010;CJK-NOT-E011
CJK-NOT-A003	shared	Use shared Han characters as semantic proof	Polysemy and locale-specific morphology produce false friends	comparison locator only	CJK-NOT-E009;CJK-NOT-E013;CJK-NOT-E015;CJK-NOT-E030
CJK-NOT-A004	shared	Parse TeX math with a simple opener regex	Second backslash of \\[0.6em] was misread and protected 2075 characters	rejected; escape-aware parser required	CJK-NOT-E003
CJK-NOT-A005	shared	Protect every byte inside math delimiters from locale processing	Prose inside an hbox argument remained in the wrong script while independent formula/control streams still matched	rejected; prose-bearing command arguments require a separate locale projection	CJK-NOT-E032
CJK-NOT-A006	shared	Require raw formula-count equality	A valid target had nine declared repeats but no missing source obligation	rejected; compare stable typed obligations	CJK-NOT-E002
CJK-NOT-A007	shared	Use NFKC as harmless normalization	Compatibility folding can erase mathematical-alphabet distinctions and Japanese fullwidth-punctuation distinctions	rejected	CJK-NOT-E006
CJK-NOT-A008	shared	Treat a visually clean PDF as extraction-clean	Classic Type 1 math subsets rendered correctly while lacking ToUnicode	rejected; independent extraction/font gates required	CJK-NOT-E007
CJK-NOT-A009	shared	Replace classic math fonts globally without a bounded migration test	The replay proves only missing-only CMap repair; a global font migration can change metrics and pagination	out of scope; test any migration separately	CJK-NOT-E007
CJK-NOT-A010	shared	Trust a mutable head path as artifact identity	The Korean terminology and Chinese comparison heads advanced beyond their cited exact LF-prefix identities	rejected; consume frozen identities or explicit prefix snapshots only	CJK-NOT-E028;CJK-NOT-E031
CJK-NOT-A011	ja	Force Han-only Japanese technical terms	Mixed Kanji/kana/Latin morphology is normal and term-specific	rejected	CJK-NOT-E012
CJK-NOT-A012	ko	Apply blanket Korean compound-spacing normalization	Audited compounds vary by lexical item and algebraic type	rejected	CJK-NOT-E014
CJK-NOT-A013	shared	Discard an older cumulative target and freshly retranslate	Prior production duplicated translation/checking and broke lineage	rejected; audit/rebase first	CJK-NOT-E029
CJK-NOT-A014	ko-KP	Infer North-Korean equivalence from zero recorded variants	The inspected ledger has no ko-KP evidence	fail closed	CJK-NOT-E027
CJK-NOT-A015	shared	Inject a guessed CMap or overwrite an existing ToUnicode map	The replayed repair is safe only for an allowlisted missing map and does not authorize either mutation	fail closed on unknown subsets; preserve existing maps	CJK-NOT-E007
CJK-NOT-A016	shared	Promote a clean build, extraction, or render into linguistic correctness	The machine receipts explicitly validate mechanics and do not certify language or translation quality	rejected; keep the state vector independent	CJK-NOT-E007
