component_audit_id,component_id,source_tex_lines,bounded_tex_found_exact,source_normalized_sha256,target_normalized_sha256,target_start_line,target_end_line,exact_body,status
SGA2-VIII-CUM-R5-IND-COMP-001,SGA2-VIII-CUM-C01,2501-2525,true,1A68C9F52AB9DAD1F61A06E0E8D0660AC4D88499892D9BBC0884A819B2F906D0,1A68C9F52AB9DAD1F61A06E0E8D0660AC4D88499892D9BBC0884A819B2F906D0,68,93,true,pass
SGA2-VIII-CUM-R5-IND-COMP-002,SGA2-VIII-CUM-C02,2527-2551,true,90E57F0DDCFC4B5149534EFBDF9A3D375108424F38025AD0F77C6034D605544F,90E57F0DDCFC4B5149534EFBDF9A3D375108424F38025AD0F77C6034D605544F,102,146,true,pass
SGA2-VIII-CUM-R5-IND-COMP-003,SGA2-VIII-CUM-C03,2553-2559,true,69B01D008CDDDBD9D871293FFD56821A4BB96BB72D066CB40DD72E64D66A3966,69B01D008CDDDBD9D871293FFD56821A4BB96BB72D066CB40DD72E64D66A3966,152,171,true,pass
SGA2-VIII-CUM-R5-IND-COMP-004,SGA2-VIII-CUM-C04,2561-2571,true,28003597AE565525F65F9DC610D6B6263F2376C3D3839AA2D50E8F26B1371BD0,28003597AE565525F65F9DC610D6B6263F2376C3D3839AA2D50E8F26B1371BD0,177,201,true,pass
SGA2-VIII-CUM-R5-IND-COMP-005,SGA2-VIII-CUM-C05,2573-2581,true,4C041241FFBADCC8E34409F041F3D98AFD92EE034988BA061BA799B7EA3A562F,4C041241FFBADCC8E34409F041F3D98AFD92EE034988BA061BA799B7EA3A562F,207,226,true,pass
SGA2-VIII-CUM-R5-IND-COMP-006,SGA2-VIII-CUM-C06,2583-2595,true,F09BA3D29436C9D639549F54355577AD87FD06345003D32BDF62C992476EDEFA,F09BA3D29436C9D639549F54355577AD87FD06345003D32BDF62C992476EDEFA,232,256,true,pass
SGA2-VIII-CUM-R5-IND-COMP-007,SGA2-VIII-CUM-C07,2597-2609,true,0DA7C386C09491B5ED68B14DE364E784AB2EE2D3792BD0A18B82590FD881872F,0DA7C386C09491B5ED68B14DE364E784AB2EE2D3792BD0A18B82590FD881872F,265,284,true,pass
SGA2-VIII-CUM-R5-IND-COMP-008,SGA2-VIII-CUM-C08,2611-2616,true,003D290C48C2C8CA0C7E3FB47AF89D5E8F66E3287994ECA8D7D025CD48C072B3,003D290C48C2C8CA0C7E3FB47AF89D5E8F66E3287994ECA8D7D025CD48C072B3,293,318,true,pass
SGA2-VIII-CUM-R5-IND-COMP-009,SGA2-VIII-CUM-C09,2618-2638,true,6FA3F28E3E4C9BB05F7CEC330C7E7FCEFF504DC88683C9ADCEC9E8873ACDB823,6FA3F28E3E4C9BB05F7CEC330C7E7FCEFF504DC88683C9ADCEC9E8873ACDB823,324,366,true,pass
SGA2-VIII-CUM-R5-IND-COMP-010,SGA2-VIII-CUM-C10,2640-2659,true,AEC77EDBDE2B455B3316B3856D9BD929DD1FC38AAFE1F093BD43B8BAA779A9BE,AEC77EDBDE2B455B3316B3856D9BD929DD1FC38AAFE1F093BD43B8BAA779A9BE,375,405,true,pass
