audit_id,record_revision,status,control_type,source_locator,target_locator,source_reading,target_reading,evidence_basis,caveat
SGA2-VIII-CUM-R5-IND-FORM-001,1,pass,source_envelope,French TeX lines 2501-2928,target TeX component markers C01-C30,Thirty source-bearing ranges plus twenty-five exact blank seams cover the authority interval,Thirty component bodies occur once each in French-line order,Fresh R5 component-body and seam replay against corrected French TeX,Comparison lineage was not used as authority
SGA2-VIII-CUM-R5-IND-FORM-002,1,pass,boundary_control,French line 2500,target inbound-control comment,Chapter-spacing control is outside translated body,Inbound layout control is disclosed and excluded,Fresh R5 authority-boundary replay,Non-body control
SGA2-VIII-CUM-R5-IND-FORM-003,1,pass,boundary_control,French lines 2929-2931,target outbound-control comment,Blank line and chapter-spacing control precede Expose IX,Outbound controls are disclosed and excluded; cursor remains line2930 and Expose IX begins line2931,Fresh R5 authority-boundary replay,Non-body controls
SGA2-VIII-CUM-R5-IND-FORM-004,1,pass,equation_sequence,French physical pages 76-78 / printed 86-89,target pages 2-3,Equations 1.1 through 1.5 occur in order with the same maps and bicomplex objects,Equations 1.1 through 1.5 render in order with matching maps and objects,Fresh R5 inspection of immutable exact source renders and fresh R5 target renders,Reader is same-edition visual control not independent corroboration
SGA2-VIII-CUM-R5-IND-FORM-005,1,pass,equation_sequence,French physical pages 79-84 / printed 90-97,target pages 3-7,Equations 2.1 through 2.8 occur in order with codimension duality support and base-change formulas,Equations 2.1 through 2.8 render in order with matching formulas,Fresh R5 inspection of immutable exact source renders and fresh R5 target renders,Reader is same-edition visual control not independent corroboration
SGA2-VIII-CUM-R5-IND-FORM-006,1,pass,diagram,French physical page 77 / printed 87,target page 2,Homotopy-commutative square carries x u y and Cu in the printed positions,Target square preserves all labels and arrow orientations legibly,Fresh R5 direct visual comparison,No diagram normalization
SGA2-VIII-CUM-R5-IND-FORM-007,1,pass,diagram,French physical page 83 / printed 95,target page 6,Base-change square 2.7 carries v-prime i-prime i and v in the printed positions,Target square 2.7 preserves all labels and arrow orientations legibly,Fresh R5 direct visual comparison,No diagram normalization
SGA2-VIII-CUM-R5-IND-FORM-008,1,pass,notation,French lines 2527-2638 / physical pages 75-78,target pages 1-3,Early functor F is underlined roman while sheaf notation is distinct,Target uses underlined roman F for components C02-C09,Fresh R5 TeX and render inspection,Macro switch lies outside exact component bodies
SGA2-VIII-CUM-R5-IND-FORM-009,1,pass,notation,French lines 2640-2922 / physical pages 78-85,target pages 3-8,Later coherent sheaf F is upright in French,Target uses calligraphic F under the closed Option-A English normalization,Fresh R5 target and normalization-control replay,Explicit English normalization; French authority unchanged
SGA2-VIII-CUM-R5-IND-FORM-010,1,pass,environment_signature,French lines 2661-2681,target page 4,Corollary 2.2 carries editor note 3 while Corollary 2.3 has no environment argument,Both source-corollary signatures compile and render with intended numbering and note,Fresh isolated three-pass build and target render inspection,Environment control lies outside exact component bodies
SGA2-VIII-CUM-R5-IND-FORM-011,1,pass,source_emendation,French lines 2618-2638 / physical page 78,target page 3,French last spectral-sequence formula prints H to q despite surrounding minus-q requirements,Target transparently uses H to minus q and immediately discloses the emendation,Fresh R5 French TeX target TeX and visual replay,Authority remains byte-identical pending editorial action
SGA2-VIII-CUM-R5-IND-FORM-012,1,pass,source_emendation,French lines 2723-2731 / physical page 80,target pages 4-5,French prose prints M-f-prime and localized L-to-d-minus-one while the displayed resolution requires M-f and L-to-minus-d,Target uses M-f and L-to-minus-d and immediately discloses both readings,Fresh R5 French TeX target TeX and visual replay,Authority remains byte-identical pending editorial action
SGA2-VIII-CUM-R5-IND-FORM-013,1,pass,source_scope_note,French lines 2796-2805 / physical page 82,target page 6,Finite-pairs sentence requires the bounded finite-projective-dimension context,Target preserves the sentence with immediate source note S,Fresh R5 source-context and target-note inspection,Authority remains unchanged
SGA2-VIII-CUM-R5-IND-FORM-014,1,pass_with_open_source_oddity,source_oddity,French line 2859 / physical page 83,target page 7,French prose underlines the prime ideal while the displayed dimension prints plain x,Target preserves reviewed notation and keeps the oddity open,Fresh R5 source and target visual inspection,No independent original-print corroboration beyond same-edition reader
SGA2-VIII-CUM-R5-IND-FORM-015,1,pass_with_open_source_reading,source_oddity,French line 2865 / physical page 84,target page 7,French returns to F after an F-double-prime passage and the referent remains unresolved,Target body stays unchanged while FORM-038 DEFECT-NGT1-2865 TERM-037 and DIFF-011 retain the open reading,Fresh R5 source and target replay,No silent French emendation and no claim of resolution
SGA2-VIII-CUM-R5-IND-FORM-016,1,pass,structure,French physical pages 75-85 / printed 84-98,target pages 1-8,Section proposition theorem corollary lemma definition proof and bibliography order is complete,Target preserves the full Expose VIII structural order through Bibliography M,Fresh R5 inspection of eleven exact source renders and eight fresh target renders,Thirty bounded bodies are integrated exactly
SGA2-VIII-CUM-R5-IND-FORM-017,1,pass,label_namespace,French lines 2501-2928,target TeX,Local numbered formulas and statements are unique in the bounded expose,Target has twelve unique LaTeX labels and no unresolved reference commands,Fresh R5 TeX scan and isolated three-pass build,Generic labels remain a future full-volume namespace risk
SGA2-VIII-CUM-R5-IND-FORM-018,1,pass,bibliography_scope,French lines 2924-2928 / physical page 85,target page 8,Bibliography M closes Expose VIII,Target retains the Cartan-Eilenberg entry and scopes the refname change in an outer group,Fresh R5 French TeX and render inspection,Group controls lie outside exact component body
