"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P11-ZH-A001","P11-ZH-T001","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex title; worker_returns/P11_A_TRANSLATOR_RETURN.md row 具有给定群的方程","Gleichungen mit vorgeschriebener Gruppe","具有给定群的方程","a generic collection; an administrative group; a group merely mentioned but not prescribed; group order alone","The named group is the equation's Galois-theoretic group in the producer framing.","具有指定群的方程; 具有预定群的方程; 具有规定群的方程","modern Sino-xenic coinage/calque","Qualitative debt: 给定 is strongly normalized in Mainland mathematical prose, while regional and historical preferences were not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A002","P11-ZH-T002","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex opening paragraphs; worker_returns/P11_A_TRANSLATOR_RETURN.md row irrationale / rationale Richtung","irrationale / rationale Richtung","无理方向 / 有理方向","philosophical irrationality or rationality; irrational real numbers alone; a moral or cognitive contrast","无理 labels the root-oriented approach and 有理 labels the coefficient-oriented algebraic approach.","根方向 / 系数方向; 根刻画方向 / 系数刻画方向","mixed/contested","Qualitative debt: the compact Mainland-readable calque depends on the explanatory prose to avoid ordinary-language attraction, and no regional evidence was consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A003","P11-ZH-T003","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_C_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_C_TRANSLATOR_RETURN.md rows Rationalitätsbereich","Rationalitätsbereich","有理性域","a numerical range consisting only of rational numbers; ordinary-language rationality; a geometric region without field operations","A historical algebraic field/domain of rationality, broader than the rational-number field in the producer prose.","有理域; 基础域; 有理性范围","mixed/contested","Qualitative debt: 有理性域 is a Mainland-readable contextual narrowing of Bereich, but 域/体 and regional historical usage were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A004","P11-ZH-T004","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_C_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_C_TRANSLATOR_RETURN.md rows Kreiskörper","Kreiskörper","分圆域","a circular geometric region; a cyclic group; a generic splitting field; 循环域","A number field generated by roots of unity in the two producer contexts.","圆分域; 圆分体; cyclotomic field","modern Sino-xenic coinage/calque","Qualitative debt: 分圆域 is strongly Mainland-normalized, while 圆分域 and regional forms remain unresearched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A005","P11-ZH-T005","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex introduction; worker_returns/P11_A_TRANSLATOR_RETURN.md row relativ-Abelscher Körper","relativ-Abelscher Körper","相对阿贝尔域","an absolutely Abelian field without a base; a generic Abelian group; a relative object in category theory","The relative relation is field-theoretic and base-dependent.","相对阿贝尔扩张; 相对 Abel 域; 相对交换域","modern Sino-xenic coinage/calque","Qualitative debt: the producer uses Mainland 域 and transliterated 阿贝尔, but whether the corpus should foreground 扩张 and how regions name Abel were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A006","P11-ZH-T006","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_B_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md row Parameterdarstellung","Parameterdarstellung","参数表示","a mere coordinate choice; a numerical table of parameters; representation theory of a group; one isolated formula","A representation by independent parameters in the construction, including supplementary representations for exceptional cases.","参数化表示; 参数表达式; 参数表示式","modern Sino-xenic coinage/calque","Qualitative debt: 参数表示 follows current Mainland technical prose, but 表示/表达式 granularity and regional preferences remain untested; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A007","P11-ZH-T007","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_B_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_B_TRANSLATOR_RETURN.md rows Lagrangescher Gattungsbereich","Lagrangescher Gattungsbereich","Lagrange 属域","a class field in modern class-field theory; biological genus; geometric genus; an ordinary region; a Lagrange multiplier domain","The passage identifies it with the invariant field attached to the group.","Lagrange 型域; Lagrange 种域; Lagrange 类别域; 保留 Gattungsbereich","mixed/contested","Qualitative debt: 属域 is a Mainland producer choice with strong class-field and regional lexical competition, and no local-language historical evidence was consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A008","P11-ZH-T008","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex invariant-field paragraph; worker_returns/P11_A_TRANSLATOR_RETURN.md row Invariantenkörper","Invariantenkörper","不变量域","one invariant element; a fixed numerical constant; a geometric invariant set; a body or physical object","A function field of group invariants, locally equated with the Lagrange domain.","不变域; 不变式域; 不变量体","modern Sino-xenic coinage/calque","Qualitative debt: 不变量域 is Mainland-standard-looking, while 不变域 and 域/体 choices were not independently researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A009","P11-ZH-T009","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex, P11_B_zh-Hans-CN.tex, and P11_C_zh-Hans-CN.tex; all three worker returns rows Minimalbasis","Minimalbasis","最小基","a shortest vector basis; an arbitrary linear-algebra basis; basis functions in approximation theory; minimum cardinality without the function-field context","A generating basis of the historical Lagrange domain/function field in this paper.","极小基; 最小基底; 最简基","mixed/contested","Qualitative debt: 最小基 is repeated across Mainland-oriented producer segments, but 基/基底 and minimal-versus-minimum distinctions lack regional evidence; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P11-ZH-A010","P11-ZH-T010","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_B_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_B_TRANSLATOR_RETURN.md rows natürliche Irrationalitäten","natürliche zur Gruppe gehörige Irrationalitäten","属于该群的自然无理量","irrational real numbers only; random irrational constants; natural numbers; a philosophical irrational object","Functions of roots viewed as indeterminates that specialize into the stated number field in the producer account.","自然无理量; 自然无理元; 自然非有理量; 群的自然无理式","mixed/contested","Qualitative debt: 无理量 is a transparent Mainland calque but carries a powerful elementary-number attractor and no regional historical evidence was consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
