"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P11-ZH-T001","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex title; worker_returns/P11_A_TRANSLATOR_RETURN.md row 具有给定群的方程","Gleichungen mit vorgeschriebener Gruppe","equations constructed with the group attached to the equation prescribed in advance","具有给定群的方程","The named group is the equation's Galois-theoretic group in the producer framing.","a generic collection; an administrative group; a group merely mentioned but not prescribed; group order alone","具有指定群的方程; 具有预定群的方程; 具有规定群的方程","modern Sino-xenic coinage/calque","Qualitative debt: 给定 is strongly normalized in Mainland mathematical prose, while regional and historical preferences were not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","具有給定群的方程","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The title form is a producer choice, not an independently certified project standard."
"P11-ZH-T002","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex opening paragraphs; worker_returns/P11_A_TRANSLATOR_RETURN.md row irrationale / rationale Richtung","irrationale / rationale Richtung","the root-characterizing and coefficient-characterizing approaches contrasted in the introduction","无理方向 / 有理方向","无理 labels the root-oriented approach and 有理 labels the coefficient-oriented algebraic approach.","philosophical irrationality or rationality; irrational real numbers alone; a moral or cognitive contrast","根方向 / 系数方向; 根刻画方向 / 系数刻画方向","mixed/contested","Qualitative debt: the compact Mainland-readable calque depends on the explanatory prose to avoid ordinary-language attraction, and no regional evidence was consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","無理方向 / 有理方向","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The paired labels remain bounded by the producer's explicit explanatory phrases."
"P11-ZH-T003","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_C_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_C_TRANSLATOR_RETURN.md rows Rationalitätsbereich","Rationalitätsbereich","the coefficient or rationality domain relative to which the equation and parameter construction are considered","有理性域","A historical algebraic field/domain of rationality, broader than the rational-number field in the producer prose.","a numerical range consisting only of rational numbers; ordinary-language rationality; a geometric region without field operations","有理域; 基础域; 有理性范围","mixed/contested","Qualitative debt: 有理性域 is a Mainland-readable contextual narrowing of Bereich, but 域/体 and regional historical usage were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","有理性域","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The repeated producer form is indexed without adjudicating a corpus-wide historical equivalent."
"P11-ZH-T004","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_C_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_C_TRANSLATOR_RETURN.md rows Kreiskörper","Kreiskörper","the cyclotomic field in the Kronecker statement and the later group-character discussion","分圆域","A number field generated by roots of unity in the two producer contexts.","a circular geometric region; a cyclic group; a generic splitting field; 循环域","圆分域; 圆分体; cyclotomic field","modern Sino-xenic coinage/calque","Qualitative debt: 分圆域 is strongly Mainland-normalized, while 圆分域 and regional forms remain unresearched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","分圓域","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The two producer occurrences are grouped as one open terminology proposal."
"P11-ZH-T005","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex introduction; worker_returns/P11_A_TRANSLATOR_RETURN.md row relativ-Abelscher Körper","relativ-Abelscher Körper","a field Abelian relative to the named quadratic number field","相对阿贝尔域","The relative relation is field-theoretic and base-dependent.","an absolutely Abelian field without a base; a generic Abelian group; a relative object in category theory","相对阿贝尔扩张; 相对 Abel 域; 相对交换域","modern Sino-xenic coinage/calque","Qualitative debt: the producer uses Mainland 域 and transliterated 阿贝尔, but whether the corpus should foreground 扩张 and how regions name Abel were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","相對阿貝爾域","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The proposal retains the producer's field-object wording and its alternatives."
"P11-ZH-T006","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_B_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md row Parameterdarstellung","Parameterdarstellung","a parametrized representation intended to generate coefficient systems and equation families","参数表示","A representation by independent parameters in the construction, including supplementary representations for exceptional cases.","a mere coordinate choice; a numerical table of parameters; representation theory of a group; one isolated formula","参数化表示; 参数表达式; 参数表示式","modern Sino-xenic coinage/calque","Qualitative debt: 参数表示 follows current Mainland technical prose, but 表示/表达式 granularity and regional preferences remain untested; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","參數表示","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The row packages the repeated producer choice without claiming validation."
"P11-ZH-T007","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_B_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_B_TRANSLATOR_RETURN.md rows Lagrangescher Gattungsbereich","Lagrangescher Gattungsbereich","the historically named field of root functions associated with the prescribed group","Lagrange 属域","The passage identifies it with the invariant field attached to the group.","a class field in modern class-field theory; biological genus; geometric genus; an ordinary region; a Lagrange multiplier domain","Lagrange 型域; Lagrange 种域; Lagrange 类别域; 保留 Gattungsbereich","mixed/contested","Qualitative debt: 属域 is a Mainland producer choice with strong class-field and regional lexical competition, and no local-language historical evidence was consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","Lagrange 屬域","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Segment B uses 型域 while segment A uses 属域; the variation is retained rather than silently reconciled."
"P11-ZH-T008","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex invariant-field paragraph; worker_returns/P11_A_TRANSLATOR_RETURN.md row Invariantenkörper","Invariantenkörper","the field formed by rational functions invariant under the stated group action","不变量域","A function field of group invariants, locally equated with the Lagrange domain.","one invariant element; a fixed numerical constant; a geometric invariant set; a body or physical object","不变域; 不变式域; 不变量体","modern Sino-xenic coinage/calque","Qualitative debt: 不变量域 is Mainland-standard-looking, while 不变域 and 域/体 choices were not independently researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","不變量域","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The producer keeps the object noun 不变量 explicit."
"P11-ZH-T009","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex, P11_B_zh-Hans-CN.tex, and P11_C_zh-Hans-CN.tex; all three worker returns rows Minimalbasis","Minimalbasis","a minimal basis for the rational function-field construction used to obtain the parameter representation","最小基","A generating basis of the historical Lagrange domain/function field in this paper.","a shortest vector basis; an arbitrary linear-algebra basis; basis functions in approximation theory; minimum cardinality without the function-field context","极小基; 最小基底; 最简基","mixed/contested","Qualitative debt: 最小基 is repeated across Mainland-oriented producer segments, but 基/基底 and minimal-versus-minimum distinctions lack regional evidence; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","最小基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","All three producer returns flag the term, so the graph treats it as one cross-segment proposal."
"P11-ZH-T010","segments/zh-Hans-CN/P11_A_zh-Hans-CN.tex and P11_B_zh-Hans-CN.tex; worker_returns/P11_A_TRANSLATOR_RETURN.md and P11_B_TRANSLATOR_RETURN.md rows natürliche Irrationalitäten","natürliche zur Gruppe gehörige Irrationalitäten","historically named root functions or quantities naturally attached to the group","属于该群的自然无理量","Functions of roots viewed as indeterminates that specialize into the stated number field in the producer account.","irrational real numbers only; random irrational constants; natural numbers; a philosophical irrational object","自然无理量; 自然无理元; 自然非有理量; 群的自然无理式","mixed/contested","Qualitative debt: 无理量 is a transparent Mainland calque but carries a powerful elementary-number attractor and no regional historical evidence was consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 11 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","屬於該群的自然無理量","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The longer segment-A form and shorter segment-B form are represented by one bounded sense window."
