German,Spanish,Japanese,Note
Differente,diferente,ディファレント（差異イデアル）,Global refinement: replace older overly literal JA gloss with technical different-language; in Paper36/38 keep first occurrence clear.
Idealdifferentiation,diferenciación de ideales,イデアル微分,Paper36/Paper43 terminology.
Differentialquotient,cociente diferencial,微分商,Paper36 announcement; not analytic derivative of a function.
Normalbasis,base normal,正規基底,Paper37; basis formed by conjugate elements.
höhere Verzweigung,ramificación superior,高次分岐,Paper37; higher ramification fields/places.
Hauptordnung,orden principal,主オーダー,Paper37 source term; not silently modernized to maximal order.
operatorisomorph,operator-isomorfo,作用素同型,Paper37/Paper39; Speiser/Noether module language.
Galoismodul,módulo galoisiano,ガロア加群,Paper37/Paper39.
Gruppendeterminante,determinante de grupo,群行列式,Paper37 discriminant decomposition.
Wurzelzahl,número de raíz,根数,Paper37 generalized root numbers; maintain Artin conductor link.
Führer,conductor,導手,Artin/class-field terminology.
normale Divisionsalgebra,álgebra de división normal,正規斜体,Paper38; division-ring language in central-simple algebra context.
überall zerfallene Algebra,álgebra escindida en todas partes,すべての素点で分裂する代数,Paper38/Paper39; local splitting at all places.
zyklisch / Dicksonscher Typus,cíclica / tipo Dickson,巡回的 / Dickson 型,Paper38 main theorem.
zyklischer Zerfällungskörper,cuerpo de descomposición cíclico,巡回分解体,Paper38/39.
Normrestsymbol,símbolo de residuo de norma,ノルム剰余記号,Class-field / Hasse notation.
reduzierte Differente,diferente reducida,被約ディファレント,Paper38 fundamental ideal definition.
Fundamentalideal,ideal fundamental,基本イデアル,Paper38; reduced norm of reduced different.
Zerlegungssatz,teorema de descomposición,分解定理,Paper38 theorem name.
Eindeutigkeits- und Ordnungssatz,teorema de unicidad y ordenación,一意性および順序定理,Paper38 theorem name.
Hyperkomplexe Systeme,sistemas hipercomplejos,超複素系,Paper39 title.
verschränktes Produkt,producto cruzado,交叉積,Paper39; crossed product.
Faktorensystem,sistema de factores,因子系,Paper39.
Hauptgeschlechtssatz,teorema del género principal,主属定理,Paper39; class-field/genus theorem.
Normensatz,teorema de la norma,ノルム定理,Paper38/39.
Strahl,rayo,射線,Paper39 final conductor/ray passage; note to revisit if Takagi integration favors ray-class terminology.
