expose,kind,index,fr_line,en_line,fr_tag,en_tag,similarity,status,fr_norm,en_norm,fr_raw,en_raw
X,display,1,12243,12501,,,1.0000,paired,\[S_g:F\longrightarrowg^*(F)\],\[S_g:F\longrightarrowg^*(F)\],\[ S_g:F\longrightarrow g^*(F) \],\[ S_g:F\longrightarrow g^*(F) \]
X,display,2,12247,12505,,,1.0000,paired,"\[TEXTS_e=1_F,\]","\[TEXTS_e=1_F,\]","\[ \text{a) }\quad S_e=1_F, \]","\[ \text{a) }\quad S_e=1_F, \]"
X,display,3,12251,12509,,,1.0000,paired,\[DIAGRAM\],\[DIAGRAM\],"\[ \begin{tikzcd}[column sep=large,row sep=large] F \arrow[r,""S_{hg}""] \arrow[d,""S_h""'] & (hg)^*(F) \arrow[d,""C_{h,g}(F)""]\\ h^*(F) \arrow[r,""h^*(S_g)""'] & h^*(g^*(F)) \end{tikzcd} \]","\[ \begin{tikzcd}[column sep=large,row sep=large] F \arrow[r,""S_{hg}""] \arrow[d,""S_h""'] & (hg)^*(F) \arrow[d,""C_{h,g}(F)""]\\ h^*(F) \arrow[r,""h^*(S_g)""'] & h^*(g^*(F)) \end{tikzcd} \]"
X,display,4,12258,12516,,,1.0000,paired,"\[C_h,g(F):(hg)^*(F)\longrightarrowh^*(g^*(F))\]","\[C_h,g(F):(hg)^*(F)\longrightarrowh^*(g^*(F))\]","\[ C_{h,g}(F):(hg)^*(F)\longrightarrow h^*(g^*(F)) \]","\[ C_{h,g}(F):(hg)^*(F)\longrightarrow h^*(g^*(F)) \]"
X,display,5,12268,12526,,,1.0000,paired,\[S_g:\Lambda_X\xrightarrow\simg^*(\Lambda_X).\],\[S_g:\Lambda_X\xrightarrow\simg^*(\Lambda_X).\],\[ S_g:\Lambda_X\xrightarrow{\sim}g^*(\Lambda_X). \],\[ S_g:\Lambda_X\xrightarrow{\sim}g^*(\Lambda_X). \]
X,display,6,12283,12541,,,1.0000,paired,\[i:V\longrightarrowX\],\[i:V\longrightarrowX\],\[ i:V\longrightarrow X \],\[ i:V\longrightarrow X \]
X,display,7,12287,12545,,,1.0000,paired,"\[R\Gamma_X(\Lambda_V,X)\]","\[R\Gamma_X(\Lambda_V,X)\]","\[ R\Gamma_X(\Lambda_{V,X}) \]","\[ R\Gamma_X(\Lambda_{V,X}) \]"
X,display,8,12295,12553,,,1.0000,paired,"\[R\Gamma_X(\Lambda_V,X)\simeqR\Gamma_Y(Rp_*(\Lambda_V,X))\]","\[R\Gamma_X(\Lambda_V,X)\simeqR\Gamma_Y(Rp_*(\Lambda_V,X))\]","\[ R\Gamma_X(\Lambda_{V,X})\simeq R\Gamma_Y(Rp_*(\Lambda_{V,X})) \]","\[ R\Gamma_X(\Lambda_{V,X})\simeq R\Gamma_Y(Rp_*(\Lambda_{V,X})) \]"
X,display,9,12299,12557,,,1.0000,paired,"\[R^qp_*(\Lambda_V,X)=0(q\ne0)\]","\[R^qp_*(\Lambda_V,X)=0(q\ne0)\]","\[ R^q p_*(\Lambda_{V,X})=0\qquad(q\ne0) \]","\[ R^q p_*(\Lambda_{V,X})=0\qquad(q\ne0) \]"
X,display,10,12303,12561,,,1.0000,paired,"\[Rp_*(\Lambda_V,X)=p_*(\Lambda_V,X).\]","\[Rp_*(\Lambda_V,X)=p_*(\Lambda_V,X).\]","\[ Rp_*(\Lambda_{V,X})=p_*(\Lambda_{V,X}). \]","\[ Rp_*(\Lambda_{V,X})=p_*(\Lambda_{V,X}). \]"
X,display,11,12307,12565,,,1.0000,paired,"\[\bigl(p_*(\Lambda_V,X)\bigr)_\bary\simeq\begincases\prod_x\inp^-1(y)\Lambda_V,X,\barx\simeq\Lambda[G],&y\inp(V),\\[1em]0,&y\notinp(V),\endcases\]","\[\bigl(p_*(\Lambda_V,X)\bigr)_\bary\simeq\begincases\prod_x\inp^-1(y)\Lambda_V,X,\barx\simeq\Lambda[G],&y\inp(V),\\[1em]0,&y\notinp(V),\endcases\]","\[ \bigl(p_*(\Lambda_{V,X})\bigr)_{\bar y}\simeq \begin{cases} \displaystyle \prod_{x\in p^{-1}(y)}\Lambda_{V,X,\bar x}\simeq \Lambda[G],& y\in p(V),\\[1em] 0,& y\notin p(V), \end{cases} \]","\[ \bigl(p_*(\Lambda_{V,X})\bigr)_{\bar y}\simeq \begin{cases} \displaystyle \prod_{x\in p^{-1}(y)}\Lambda_{V,X,\bar x}\simeq \Lambda[G],& y\in p(V),\\[1em] 0,& y\notin p(V), \end{cases} \]"
