paper,part,tex_file,status,compiled_pdf,page_count,log
1,1,Paper_01.tex,compiled,compiled_source_pdfs/Paper_01.pdf,3,logs/Paper_01.xelatex.stdout.log
2,1,Paper_02.tex,failed,,,logs/Paper_02.xelatex.stdout.log
3,1,Paper_03.tex,compiled,compiled_source_pdfs/Paper_03.pdf,24,logs/Paper_03.xelatex.stdout.log
4,1,Paper_04.tex,compiled,compiled_source_pdfs/Paper_04.pdf,5,logs/Paper_04.xelatex.stdout.log
5,1,Paper_05.tex,compiled,compiled_source_pdfs/Paper_05.pdf,30,logs/Paper_05.xelatex.stdout.log
6,1,Paper_06.tex,compiled,compiled_source_pdfs/Paper_06.pdf,21,logs/Paper_06.xelatex.stdout.log
7,1,Paper_07.tex,failed,,,logs/Paper_07.xelatex.stdout.log
8,1,Paper_08.tex,compiled,compiled_source_pdfs/Paper_08.pdf,26,logs/Paper_08.xelatex.stdout.log
9,1,Paper_09.tex,compiled,compiled_source_pdfs/Paper_09.pdf,8,logs/Paper_09.xelatex.stdout.log
10,1,Paper_10_Part_1.tex,compiled,compiled_source_pdfs/Paper_10_Part_1.pdf,8,logs/Paper_10_Part_1.xelatex.stdout.log
10,2,Paper_10_Part_2.tex,compiled,compiled_source_pdfs/Paper_10_Part_2.pdf,4,logs/Paper_10_Part_2.xelatex.stdout.log
11,1,Paper_11.tex,compiled,compiled_source_pdfs/Paper_11.pdf,4,logs/Paper_11.xelatex.stdout.log
12,1,Paper_12.tex,failed,,,logs/Paper_12.xelatex.stdout.log
13,1,Paper_13.tex,compiled,compiled_source_pdfs/Paper_13.pdf,12,logs/Paper_13.xelatex.stdout.log
14,1,Paper_14.tex,compiled,compiled_source_pdfs/Paper_14.pdf,26,logs/Paper_14.xelatex.stdout.log
15,1,Paper_15.tex,compiled,compiled_source_pdfs/Paper_15.pdf,9,logs/Paper_15.xelatex.stdout.log
16,1,Paper_16_Part_1.tex,compiled,compiled_source_pdfs/Paper_16_Part_1.pdf,35,logs/Paper_16_Part_1.xelatex.stdout.log
16,2,Paper_16_Part_2.tex,compiled,compiled_source_pdfs/Paper_16_Part_2.pdf,21,logs/Paper_16_Part_2.xelatex.stdout.log
17,1,Paper_17_Part_1.tex,compiled,compiled_source_pdfs/Paper_17_Part_1.pdf,11,logs/Paper_17_Part_1.xelatex.stdout.log
17,2,Paper_17_Part_2.tex,compiled,compiled_source_pdfs/Paper_17_Part_2.pdf,1,logs/Paper_17_Part_2.xelatex.stdout.log
18,1,Paper_18_Part_1.tex,compiled,compiled_source_pdfs/Paper_18_Part_1.pdf,26,logs/Paper_18_Part_1.xelatex.stdout.log
18,2,Paper_18_Part_2.tex,compiled,compiled_source_pdfs/Paper_18_Part_2.pdf,31,logs/Paper_18_Part_2.xelatex.stdout.log
18,3,Paper_18_Part_3.tex,compiled,compiled_source_pdfs/Paper_18_Part_3.pdf,24,logs/Paper_18_Part_3.xelatex.stdout.log
18,4,Paper_18_Part_4.tex,compiled,compiled_source_pdfs/Paper_18_Part_4.pdf,15,logs/Paper_18_Part_4.xelatex.stdout.log
19,1,Paper_19_Part_1.tex,compiled,compiled_source_pdfs/Paper_19_Part_1.pdf,25,logs/Paper_19_Part_1.xelatex.stdout.log
19,2,Paper_19_Part_2.tex,failed,,,logs/Paper_19_Part_2.xelatex.stdout.log
20,1,Paper_20.tex,compiled,compiled_source_pdfs/Paper_20.pdf,35,logs/Paper_20.xelatex.stdout.log
21,1,Paper_21.tex,not_tested_due_timeout,,,
22,1,Paper_22.tex,not_tested_due_timeout,,,
23,1,Paper_23.tex,not_tested_due_timeout,,,
24,1,Paper_24.tex,not_tested_due_timeout,,,
25,1,Paper_25.tex,not_tested_due_timeout,,,
26,1,Paper_26.tex,not_tested_due_timeout,,,
27,1,Paper_27_Part_1.tex,not_tested_due_timeout,,,
27,2,Paper_27_Part_2.tex,not_tested_due_timeout,,,
28,1,Paper_28.tex,not_tested_due_timeout,,,
29,1,Paper_29.tex,not_tested_due_timeout,,,
