"proposal_id","work_unit","worker_return_locator","reported_source_expression","reported_zh_hans_form","proposal_state","sense_window","excluded_or_trap_senses","alternatives_reported","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status","regional_scope","producer_note"
"P35-ZH-TP001","Noether Paper 35; provisional zh-Hans-CN producer translation","segment A worker return; provisional lexical choices","ganzzahlige Funktionen","整系数函数","model/editorial proposal only; retained in segment A; not validated","Worker A reports a polynomial/power-series coefficient context; this ledger does not independently confirm that context.","整函数 as entire-function wording; 整值函数 as integer-valued-function wording outside the worker-reported context","整函数; 整值函数","modern Sino-xenic coinage/calque","High qualitative debt: the selected compound comes only from a Mandarin-Simplified drafting shelf; no PRC native-source or regional Chinese evidence was gathered.","worker-return report plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposal only; no zh-Hant-TW/HK/MO claim","Keep open until an independent checker reviews the reported coefficient-context distinction."
"P35-ZH-TP002","Noether Paper 35; provisional zh-Hans-CN producer translation","segments A and B worker returns; provisional lexical choices","Maximalbereich","极大域","model/editorial proposal only; retained in segments A and B; not validated","A worker-reported domain satisfying the paper's stated maximality or saturation condition; exact modern category label remains unverified.","geographic region; automatically treating Bereich as a field; automatically treating it as a ring without checker evidence","极大环; 极大区域; 极大子环; 饱和域; 整数饱和域","mixed/contested","High qualitative debt: 极大域 follows the inherited Mandarin-Simplified attractor while the worker returns themselves keep ring/domain/saturation alternatives open.","worker-return reports plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposal only; no regional Traditional-Chinese localization","Do not harmonize or promote this label before checker review."
"P35-ZH-TP003","Noether Paper 35; provisional zh-Hans-CN producer translation","segments A, B, and C worker returns; provisional lexical choices","Integritätsbereich / integrality domain","segment A: 整环; segments B-C: 整域","unresolved cross-segment producer proposals; no harmonization performed","Worker C reports that the translated abstract retains a 无零因子环 gloss; the exact preferred Chinese head term remains open.","field merely because 域 is used; geographic domain; completeness or integral-closure senses not established by these returns","整环; 整域; 无零因子环; 完整域","mixed/contested","High qualitative debt: both 整环 and 整域 are Mandarin-Simplified shelf attractors, and no local-language evidence resolves their historical or regional acceptability.","three worker-return reports plus producer aggregation; no source, terminology, or native validation","independent check absent; mandatory before harmonization","zh-Hans-CN producer proposals only; no controlled-Hant derivative yet","This row records divergence rather than deciding it."
"P35-ZH-TP004","Noether Paper 35; provisional zh-Hans-CN producer translation","segment A worker return; provisional lexical choices","relativ-ganze Funktionen","相对整函数","model/editorial proposal only; retained in segment A; not validated","Functions described by worker A as relatively integral in the immediate argument; the governing relation was not independently inspected for this ledger.","ordinary relative functions; integer-valued functions without the reported integrality relation","相对整系数函数","modern Sino-xenic coinage/calque","High qualitative debt: 相对整函数 is a compressed Mandarin-Simplified calque with no native or regional evidence shelf.","worker-return report plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposal only; no regional Traditional-Chinese claim","Sense must stay attached to the reported local argument."
"P35-ZH-TP005","Noether Paper 35; provisional zh-Hans-CN producer translation","segments A-C worker returns; provisional lexical choices","Funktionaldeterminante / Funktionalmatrix","函数行列式 / 函数矩阵","model/editorial proposals only; retained in segments; not validated","The worker returns describe the determinant and matrix built from the relevant functions; they also hold Jacobian terminology open.","an arbitrary matrix whose entries happen to be functions; silently asserting a Jacobian interpretation without checker review","雅可比行列式 / 雅可比矩阵","mixed/contested","High qualitative debt: 函数矩阵 and 函数行列式 mirror the Mandarin-Simplified drafting shelf, while the more interpretive Jacobian attractor remains unresolved.","worker-return reports plus producer aggregation; no formula, source, or terminology validation","independent check absent; pending","zh-Hans-CN producer proposals only; no regional Traditional-Chinese claim","No formula assessment is encoded here."
"P35-ZH-TP006","Noether Paper 35; provisional zh-Hans-CN producer translation","segment A worker return; provisional lexical choices","Restklassenring / Restklassenkörper","剩余类环 / 剩余类域","model/editorial proposals only; retained in segment A; not validated","Worker A reports quotient or residue-class ring/field objects; exact historical register remains open.","localization; fraction field; an unrelated remainder class","商环 / 商域","mixed/contested","High qualitative debt: the longer 剩余类 forms follow a Mandarin-Simplified explanatory attractor and have not been checked against local mathematical usage.","worker-return report plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposals only; no regional Traditional-Chinese claim","Keep distinct from Quotientenkörper pending review."
"P35-ZH-TP007","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; provisional lexical choices","Integritätsbasis","整基","model/editorial proposal only; retained in segment B; not validated","A basis described by worker B in the paper's integrality construction; whether the emphasis is integrality, generation, or both remains open.","an arbitrary integer-coordinate basis; a complete basis in an analytic sense","整性基; 整生成基","mixed/contested","High qualitative debt: the terse form 整基 is drawn from Mandarin-Simplified drafting and may under-specify the reported construction.","worker-return report plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposal only; no regional Traditional-Chinese claim","Checker should decide whether the compact historical label is sufficiently clear."
"P35-ZH-TP008","Noether Paper 35; provisional zh-Hans-CN producer translation","segments B and C worker returns; provisional lexical choices","Quotientenkörper","segment B: 商域; segment C: 分式域","unresolved cross-segment producer proposals; no harmonization performed","The worker returns identify a field of fractions or quotient field; they disagree only in the provisional Chinese form.","quotient ring by an ideal; residue-class field when that is not the intended construction","商域; 分式域","mixed/contested","High qualitative debt: 商域 is a historical Mandarin-Simplified attractor and 分式域 a modern explanatory attractor; no independent Chinese evidence selects between them.","two worker-return reports plus producer aggregation; no source, terminology, or native validation","independent check absent; mandatory before harmonization","zh-Hans-CN producer proposals only; no regional Traditional-Chinese claim","This row records divergence and makes no preferred-form claim."
"P35-ZH-TP009","Noether Paper 35; provisional zh-Hans-CN producer translation","segments B and C worker returns; provisional lexical choices","irreduzibles System","不可约系统","model/editorial proposal only; retained in segments B and C; not validated","Worker B reports that a witness footnote defines the system through algebraic independence; the historical label was retained rather than normalized.","irreducible polynomial system without the worker-reported independence definition; a minimal generating set by default","代数独立系统","mixed/contested","High qualitative debt: 不可约系统 follows the inherited Mandarin-Simplified historical calque and can attract a different modern algebraic sense.","worker-return reports plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposal only; no regional Traditional-Chinese claim","The worker-reported definition must accompany review of the label."
"P35-ZH-TP010","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; provisional lexical choices","Hilfssatz","辅助引理","model/editorial proposal only; retained in segment B; not validated","A supporting result labeled Hilfssatz in the worker return.","automatically treating every Hilfssatz as a theorem or every auxiliary statement as a lemma without historical review","辅助定理","modern Sino-xenic coinage/calque","Medium qualitative debt: both alternatives are Mandarin-Simplified mathematical labels; historical genre choice and regional use are untested.","worker-return report plus producer aggregation; no source, terminology, or native validation","independent check absent; pending","zh-Hans-CN producer proposal only; no regional Traditional-Chinese claim","Historical heading status remains checker-pending."
