"note_id","work_unit","worker_return_locator","note_type","worker_reported_witness_or_issue","producer_handling","evidence_class","source_validation_status","formula_validation_status","consequence","review_state"
"P35-ZH-AW001","Noether Paper 35; provisional zh-Hans-CN producer translation","all three worker returns; authority status","authority/provenance","The 31,396-byte witness with SHA-256 3C093E13F1995E4E9FB25923C53E9E8123C458D6BBF1CFF53E81E320E78F206E is reported as provisional; canon binding is pending.","Record the authority hold; make no synchronization or canonical-equivalence claim.","worker-return provenance statement; mechanically aggregated; not independently source-checked","not performed; authority binding pending","not applicable","All terminology and graph entries remain producer proposals.","open until an exact canon binder is received"
"P35-ZH-AW002","Noether Paper 35; provisional zh-Hans-CN producer translation","segment A worker return; reported source line 19","adverse wording","Worker A reports the clause aber a^\\varrho g(x) für keinen Exponenten \\varrho as syntactically incomplete or adverse.","Preserve the worker's conservative translation treatment; do not repair or adjudicate the clause in this ledger task.","worker-return report only; producer did not inspect the German source for this ledger","not performed","not performed","Independent checker must assess wording against the bound authority.","open; checker required"
"P35-ZH-AW003","Noether Paper 35; provisional zh-Hans-CN producer translation","segment A worker return; reported source line 19","witnessed formula string","Worker A reports the witnessed string x^2 = (2x)/2^2 and says it was preserved without adding a power to the numerator.","Record preservation only; make no mathematical or typographic assessment.","worker-return report only; producer did not inspect or calculate the formula","not performed","not performed","No correction is authorized from this note.","open; formula checking explicitly absent"
"P35-ZH-AW004","Noether Paper 35; provisional zh-Hans-CN producer translation","segment A worker return; difficulties","witnessed formula strings","Worker A reports G(u) = H(u^p,\\ldots,u^p) and \\neq {const.} as strings preserved from the witness.","Record exact preservation status as reported; do not infer error or correctness.","worker-return report only; producer did not inspect or calculate the formulas","not performed","not performed","Any source-defect determination belongs to a separate checker/canon workflow.","open; formula checking explicitly absent"
"P35-ZH-AW005","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; preserved difficulties","variable continuity","Worker B reports a change from z_1,...,z_r to x and later generator-index ranges that were not harmonized.","Keep the translation segment unchanged and record the continuity issue for checker attention.","worker-return report only; producer did not inspect the German source for this ledger","not performed","not performed","Potentially affects reference continuity, but no defect claim is made.","open; checker required"
"P35-ZH-AW006","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; reported line 80","repeated witness text","Worker B reports that the function-matrix clause repeats the same list f_1(x),...,f_t(x) twice.","Record repetition as witnessed by the worker; do not deduplicate or classify it as an error.","worker-return report only; producer did not inspect the German source for this ledger","not performed","not performed","Translation retains repetition pending independent review.","open; checker required"
"P35-ZH-AW007","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; reported lines 80 and 82","index continuity","Worker B reports f_{t+1}(x),...,f_s(x) although an earlier reported basis names f_1(x),...,f_t(x).","Record the reported indices without normalization or emendation.","worker-return report only; producer did not inspect or calculate the source formulas","not performed","not performed","No source-defect claim; independent checker/canon route owns adjudication.","open; checker required"
"P35-ZH-AW008","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; reported line 82","inequality string","Worker B reports that the final clause states t <= r and says it was retained.","Record preservation only; make no mathematical assessment.","worker-return report only; producer did not inspect or calculate the formula","not performed","not performed","No correction is authorized from this note.","open; formula checking explicitly absent"
"P35-ZH-AW009","Noether Paper 35; provisional zh-Hans-CN producer translation","segment B worker return; reported line 80","punctuation/typography","Worker B reports a doubled closing parenthesis in Anmerkung 2)) and reproduced it in Chinese.","Preserve pending source-bound typographic review; do not silently normalize.","worker-return report only; producer did not inspect the German source for this ledger","not performed","not applicable","May require later typographic handling after canon binding.","open; checker required"
"P35-ZH-AW010","Noether Paper 35; provisional zh-Hans-CN producer translation","segment C worker return; translated abstract","semantic ambiguity","Worker C reports the phrase the domain mathfrak I was finite and translated it as 域 mathfrak I 是有限的 without expanding it to 有限生成的.","Retain the unexpanded producer wording; record the ambiguity rather than resolving it.","worker-return report plus producer editorial restraint; no source or terminology validation","not performed","not applicable","Any finite-versus-finitely-generated disambiguation requires canon/checker evidence.","open; checker required"
"P35-ZH-AW011","Noether Paper 35; provisional zh-Hans-CN producer translation","segment C worker return; adverse/difficult choices","historical lexical attractors","Worker C flags 不可约系统, 倍理想（子理想）, 基元, and bare 有限的 as historically loaded or deliberately provisional.","Carry these items into the terminology proposal ledger with explicit sense windows and no validation claim.","worker-return report plus producer aggregation; no independent lexical evidence","not performed","not applicable","These forms are not terminology authority and require independent review.","open; checker required"
"P35-ZH-AW012","Noether Paper 35; provisional zh-Hans-CN producer translation","segment C worker return; localized-ring passage","ring/field lexical distinction","Worker C reports using 商环 and 系数环 rather than 商域 and 系数域 because the passage was understood to describe rings.","Record this as a worker/editorial choice only; do not independently assess the mathematical objects.","worker-return report only; producer did not inspect or classify the source objects for this ledger","not performed","not performed","Cross-segment harmonization must not erase a possibly meaningful ring/field distinction.","open; checker required"
"P35-ZH-AW013","Noether Paper 35; provisional zh-Hans-CN producer translation","all three worker returns; drafting-aid statement","witness-use limitation","Each worker reports consulting only the P35 block of the inherited Simplified-Chinese cumulative witness as a non-authoritative drafting aid.","Preserve the drafting-witness limitation; do not treat repeated inherited wording as independent evidence.","worker-return provenance statements; producer aggregation only","not performed","not applicable","Mandarin-Simplified dominance debt remains high and no native/regional validation follows from recurrence.","open; evidence shelf remains incomplete"
