concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count
absolutely complete system,noether_corpus,yes,,absolutely complete system,,,,,,,,,,,,,,,,,,,نظام كامل مطلقاً,دستگاه مطلقاً کامل,,0,,,,1
algebra,curriculum_algebra,yes,,algebra,,,,,≈? [S],≈? [S],≈? [S],≈? [S],≈? [S],≈? [S],algebra,algebre,algebra,algebra,algebra,algebra,algebra,algebra,جبر,جبر,aljabar/algebra,2,confirm_current,stable,-999,4
algebra over a field,algebra_general,,,algebra over a field,,,,,,,,,,,,,,,,,,,الجبر على حقل,جبر روی میدان,,0,,,,2
artinian,algebra_invariant_theory,,,artinian,,,,,,,,,,,artiniano,artinien,artin,,artin,artin,,,,,Artinian/Artin,0,,,,2
artinian module,rings_modules,,,artinian module,,,,,,,,,,,,,,,,,,,,,,0,,,,1
associated prime,algebra_invariant_theory,,,associated prime,,,,,,,,,,,primo asociado,ideaux premiers associes,primo associado,,primer associat,primo associato,,,,,,0,,,,1
associative,,,,associative,,,,,,,,,,,,,,,,,,,,,asosiatif/bersekutu,0,,,,1
assumption,proof_grammar,yes,,assumption,,,,,,,,,,,,,,,,,,,,,andaian/asumsi,0,,,,1
automorphism,algebra_invariant_theory,,,automorphism,,,,,≈? [S],≈? [S],≈? [S],≈? [S],≈? [S],,automorfismo,automorphisme,automorfismo,automorfismo,automorfisme,automorfismo,,,,,,2,confirm_current,stable,-999,1
basis,curriculum_algebra,yes,Basis der direkten Summe / blockdiagonale Diskriminantenmatrix; Basis des Erweiterungsideals des Diskriminantenideals,basis,алгебраїчна база / раціональна база,алгебраическая база / рациональная база,algebraična baza,алгебраична база,≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],base,base,base,base,base,base,baza,basa,قاعدة,پایه,basis/asas,3,confirm_current,stable,-999,5
bijective,sets_maps,,,bijective,,,,,,,,,,,,,,,,,,,تقابل,,,0,,,,1
binary form,noether_corpus,yes,,binary form,,,,,,,,,,,,,,,,,,,صورة ثنائية,صورت دوتایی,,0,,,,2
biquadratic form,noether_corpus,yes,,biquadratic form,,,,,,,,,,,,,,,,,,,شكل من الدرجة الرابعة,صورت درجهٔ چهارم,,0,,,,1
center,algebra_invariant_theory,,,center,,,,,střed [C],,środek [C],≈? [S],≈? [S]; edište [C],,centro,centre,centro,centro,centre,,,center,,,,2,confirm_current,stable,-0.705,1
coefficient,curriculum_algebra,yes,Koeffizienten als symmetrische Funktionen der Integrale; Ordnung in den Koeffizienten,coefficient,порядок у коефіцієнтах,порядок в коэффициентах,koeficienty kako simetrične funkcije integralov,коефициенты како симетричне функције интегралов,,,,,,,,,,,,,,,,ضریب,koefisien/pekali,1,,,,3
coefficient domain,algebra_invariant_theory,,,coefficient domain,,,,,,,,,,,dominio de coeficientes,domaine de coefficients,,,,,,,,,,0,,,,1
commutative,,,,commutative,,,,,,,,,,,,,,,,,,,,,komutatif,0,,,,1
commutative ring,rings_modules,,,commutative ring,,,,,,,,,,,,,,,,,,,حلقة تبديلية,حلقهٔ جابجایی,,0,,,,2
complement,algebra_invariant_theory,,,complement,,,,,,,,,,,complemento,complement,,complemento,complement,complemento,complement,cumplement,,,,0,,,,1
complete system,noether_corpus,yes,,complete system,,,,,,,,,,,,,,,,,,,نظام كامل,دستگاه کامل,,0,,,,1
congruence,algebra_invariant_theory,,,congruence,,,,,,,,,,,congruencia,congruence,congruencia,congruencia,congruencia,congruenza,congruenta,congruenza,,,,0,,,,1
contravariant,noether_corpus,yes,,contravariant,,,,,,,,,,,,,,,,,,,مضاد التغاير,پادوردا,,0,,,,1
conversely,proof_grammar,yes,,conversely,,,,,,,,,,,reciprocamente,reciproquement,reciprocamente,,reciprocament,viceversa,reciproc,reciprocamain,,,,0,,,,1
coprime ideals,algebra_invariant_theory,,,coprime ideals,,,,,,,,,,,ideales extranos / primos entre si,ideaux etrangers,coprimos,primos entre si,,coprimi,prime intre ele,,,,,0,,,,1
corollary,proof_grammar,yes,Dedekindsche Folgerung I/II; Folgerung,corollary,додаток,дополнение,Dedekindov poslědok I/II,Дедекиндов последок I/II,důsledek [C],,wniosek [C],,≈Dedekindov poslědok I/II [S]; posljedica [C],edstvie [C],,,,,,,,,نتيجة,نتیجه,akibat/korolari,3,variant_or_doublet_note,stable,-0.253,4
covariant,noether_corpus,yes,als Kovariante betrachtet; volle Überschiebungen über Kovarianten von System III,covariant,повні трансвекції над коваріантами системи III,полные трансвекции над ковариантами системы III,polne transvekcije nad kovariantami sistema III,полне трансвекције над ковариантами система ИИИ,,,,,,,,,,,,,,,مصاحب,هموردا,kovarian,1,,,,4
decomposition,curriculum_algebra,yes,Idealzerlegung / Zerlegung des Nullideals; Peircesche Zerlegung,decomposition,послідовне розкладання,последовательное разложение,Peirceovo razloženje,Пеирцеово разложенье,,,,,,,descomposicion,decomposition,decomposicao,descomposicion,descomposicio,decomposizione,descompunere,decumposiziun,تحليل/تفكيك,تجزیه,,1,,,,3
definition,proof_grammar,yes,Produkt von Idealen / Definition IIIa; Ring in abstrakter Definition,definition,добуток ідеалів,кольцо в абстрактном определении,"definicija se pokryva s definicijeju v §7, 1","дефиниција се покрыва с дефиницијеју в §7, 1","≈definicija se pokryva s definicijeju v §7, 1 [S]",,"≈definicija se pokryva s definicijeju v §7, 1 [S]","≈definicija se pokryva s definicijeju v §7, 1 [S]","≈definicija se pokryva s definicijeju v §7, 1 [S]","≈definicija se pokryva s definicijeju v §7, 1 [S]",definicion,definition,definicao,definicion,definicio,definizione,definitie,definiziun,تعريف,تعریف,definisi/takrif,3,confirm_current,stable,-999,5
