concept,clusters,lane_count,pan_romance,controlled_arabic,arabic_farsi_persianate,malay_indonesian,interslavic
absolutely complete system,invariant_theory,1,,,دستگاه مطلقاً کامل,,
algebra,"algebra_general,algebra_invariant_theory",4,algebra,جبر,جبر,aljabar/algebra,
algebra over a field,algebra_general,2,,الجبر على حقل,جبر روی میدان,,
artinian,algebra_invariant_theory,2,artiniano,,,Artinian/Artin,
artinian module,rings_modules,1,,"مقاس أرتيني, المقاسات الأرتينية, أرتيني",,,
associated prime,algebra_invariant_theory,1,primo asociado,,,,
associative,,1,,,,asosiatif/bersekutu,
assumption,,1,,,,andaian/asumsi,
automorphism,algebra_invariant_theory,1,automorfismo,,,,
basis,"algebra_invariant_theory,linear_algebra",5,base,قاعدة,پایه,basis/asas,algebraična baza
bijective,sets_maps,1,,تقابل,,,
binary form,invariant_theory,2,,"صورة ثنائية, شكل ثنائي",صورت دوتایی,,
biquadratic form,invariant_theory,1,,,صورت سه‌متغیرهٔ درجهٔ چهارم,,
center,algebra_invariant_theory,1,centro,,,,
coefficient,algebra_general,3,,,ضریب,koefisien/pekali,koeficienty kako simetrične funkcije integralov
coefficient domain,algebra_invariant_theory,1,dominio de coeficientes,,,,
commutative,,1,,,,komutatif,
commutative ring,rings_modules,2,,"حلقة تبديلية, حلقات تبديلية",حلقهٔ جابجایی,,
complement,algebra_invariant_theory,1,complemento,,,,
complete system,invariant_theory,1,,,دستگاه کامل,,
congruence,algebra_invariant_theory,1,congruencia,,,,
contravariant,invariant_theory,1,,,پادوردا/کنتراواریانت,,
conversely,algebra_invariant_theory,1,reciprocamente,,,,
coprime ideals,algebra_invariant_theory,1,ideales extranos / primos entre si,,,,
corollary,proof_grammar,4,,نتيجة,نتیجه,akibat/korolari,Dedekindov poslědok I/II
covariant,invariant_theory,4,,"مصاحب, متغاير",هموردا/کوواریانت,kovarian,polne transvekcije nad kovariantami sistema III
decomposition,"algebra_general,algebra_invariant_theory",3,descomposicion,,تجزیه,,Peirceovo razloženje
