concept_id,stratum,en,de,uk,ru,isv,isv_cyr,rows,f10_flags
adjunction,curriculum_algebra,adjunction,Adjunktion | Adjunktion / adjungieren | Adjunktion der Unbestimmten u_{mu nu} | Adjunktion der u_{\mu\nu} | Adjunktion eines primitiven Elementes erster Art | Ring-Adjunktion | als Moduln adjungiert | eventuelle Adjunktion von Unbestimmten | rational-ganze Adjunktion,можливе приєднання невизначених | приєднання | приєднання u_{\mu\nu} | приєднання невизначених u_{mu nu},возможное присоединение неопределенных | присоединение | присоединение u_{\mu\nu} | присоединение неопределенных u_{mu nu},adjungujut se kako moduly | adjunkcija | adjunkcija / adjungovati | kolcova adjunkcija,адјунгујут се како модулы | адјункција | адјункција / адјунговати | колцова адјункција,9,"F10-0,F10-1,F10-3"
ansatz,proof_grammar,ansatz / setup,Ansatz | nach dem Ansatz,схема,схема,po slědujućej shemě | po slědujućej začetnoj shemě | po začętnoj shemě | shema,схема,4,F10-1
associated-prime,noether_corpus,associated prime ideal,"zugehöriges Primideal | zugehöriges Primideal / zu p gehören | zugehöriges Primideal / zugehörige Primzahl | zugehöriges Primideal im nicht-kommutativen Fall | zugehöriges Primideal, Section07 uniqueness use",асоційований простий ідеал | асоційований простий ідеал / належати до p | належний простий ідеал | належний простий ідеал / належне просте число,ассоциированный простой идеал | ассоциированный простой идеал / ассоциированное простое число | ассоциированный простой идеал / принадлежать p | ассоциированный простой идеал в некоммутативном случае,asociovany prost ideal | asociovany prosty ideal / naležati k p | pridruženy prosty ideal | pridruženy prosty ideal / pridruženo prosto čislo,асоциованы прост идеал | придружены просты идеал | придружены просты идеал / придружено просто число | придружены просты идеал в некомутативном случају,6,F10-1
basis,curriculum_algebra,basis,Basis der direkten Summe / blockdiagonale Diskriminantenmatrix | Basis des Erweiterungsideals des Diskriminantenideals | Basis des abgeleiteten Primideals | Basis zur Erzeugung der Spur | algebraische Basis | algebraische Basis / rationale Basis | algebraische Basis H aus Theta | ausgezeichnete Basis | endliche Basis der Differentialausdruecke | rationale Basis / algebraische Basis | rationale Basis aller Zahlen | rationale Basis mit Nebenbedingung,алгебраїчна база / раціональна база | виділений базис,алгебраическая база / рациональная база | выделенный базис,algebraična baza | algebraična baza / racionalna baza | algebraična baza H iz Theta | baza direktnoj sumy / blokovo-diagonalna diskriminantna matrica,алгебраична база | алгебраична база / рационална база | алгебраична база H из Theta | база директној сумы / блоково-диагонална дискриминантна матрица,12,"F10-0,F10-1"
bordering-operation,noether_corpus,bordering operation,Ränderung,облямування,окаймление,obrubljenje,обрубльенье,1,F10-2
burnside-theorem,noether_corpus,Burnside theorem,Burnsidescher Satz / verallgemeinerter Burnsidescher Satz,теорема Бернсайда / узагальнена теорема Бернсайда,теорема Бернсайда / обобщенная теорема Бернсайда,teorema Burnsida / obobčena teorema Burnsida,теорема Бурнсида / обобчена теорема Бурнсида,1,F10-1
chain-condition,noether_corpus,chain condition,Teilerkettensatz / Wohlordnung / Auswahlpostulat | Teilerkettensatz / feste Wohlordnung / endliche Idealbasis,умова ланцюгів дільників / фіксований добрий порядок / скінченний базис ідеалу,условие цепей делителей / фиксированный хороший порядок / конечный базис идеала,uslovje cěpov děliteljev / dobry porjadok / postulat izbora | uslovje cěpov děliteljev / fiksovany dobry porjadok / konečna baza ideala,,2,F10-1
character,curriculum_algebra,character,Charakter | Charaktere,,,karakter | karaktere,карактер | карактере,2,"F10-0,F10-1"
characteristic-series,noether_corpus,characteristic series,charakteristische Reihe,характеристичний ряд,характеристический ряд,karakterističny rjad,карактеристичны рјад,1,F10-1
coefficient,curriculum_algebra,coefficient,Koeffizienten als symmetrische Funktionen der Integrale | Ordnung in den Koeffizienten | in den Koeffizienten niedrigsten Formen | mit Koeffizienten aus o darstellbar | numerische Koeffizienten | rationalzahlige Koeffizienten / Funktionen,"порядок у коефіцієнтах | форми, найнижчі за коефіцієнтами","порядок в коэффициентах | формы, самые низкие по коэффициентам",koeficienty kako simetrične funkcije integralov | najnižše po koeficientah formy | poręd v koeficientah | predstavime s koeficientami iz o,коефициенты како симетричне функције интегралов | најнижше по коефициентах формы | поряд в коефициентах | представиме с коефициентами из o,6,F10-1
commutant-theorem,noether_corpus,commutant theorem,elementenweise vertauschbare Unterringe; Kommutantensatz,елементно комутуючі підкільця; теорема про комутант,элементно коммутирующие подкольца; теорема о коммутанте,elementno komutujuče podkolca; komutantny teorem,,1,F10-0
complete-form-sequence,noether_corpus,complete form sequence,Gesamtformenreihe,повний ряд форм,полный ряд форм,cěly ręd form | obći ręd form,целы ряд форм,2,F10-1
completely-reducible,curriculum_algebra,completely reducible,vollstaendig reduzibel | vollständig reduzibel | vollständig reduzibel zweiter Art,цілком звідний | цілком звідний / цілковита звідність,вполне приводимый | вполне приводимый / полная приводимость,polno razložimy drugogo roda | popolno reducibilny | popolno reducibilny / popolna reducibilnost,полно разложимы другого рода | пополно редуцибилны | пополно редуцибилны / пополна редуцибилност,4,"F10-0,F10-1"
corollary,proof_grammar,corollary,"Dedekindsche Folgerung I/II | Folgerung | Zusatz | mit einem Zusatz, gemeinsam mit E. Noether",додаток | наслідок | наслідок Dedekind I/II,дополнение | следствие | следствие Dedekind I/II,"Dedekindov poslědok I/II | dodatok | poslědok | s dodatkom, společně s E. Noether",Дедекиндов последок I/II | додаток | последок,4,F10-1
covariant,noether_corpus,covariant,als Kovariante betrachtet | volle Überschiebungen über Kovarianten von System III,повні трансвекції над коваріантами системи III | розглянута як коваріант,полные трансвекции над ковариантами системы III | рассматриваемая как ковариант,polne transvekcije nad kovariantami sistema III | razmatrivana kako kovariant,полне трансвекције над ковариантами система ИИИ | разматривана како ковариант,2,F10-1
crossed-product,noether_corpus,crossed product,verschränktes Produkt,схрещений добуток,скрещенное произведение,skrěženy produkt,,2,F10-1
crossed-representation,noether_corpus,crossed representation,verschränkte Darstellung,схрещене представлення,скрещенное представление,skrěženo predstavjenje,,2,F10-1
decomposition,curriculum_algebra,decomposition,Idealzerlegung / Zerlegung des Nullideals | Peircesche Zerlegung | Zerlegung in k Bestandteile / k Untergruppen | ein Fall eindeutiger Zerlegung | explizite Zerlegung | identische Zerlegungen | sukzessive Zerlegung | sukzessive Zerlegung in zwei Bestandteile | unendlich viele Zerlegungen,послідовне розкладання | розклад Пірса | явний розклад,последовательное разложение | разложение Пирса | явное разложение,Peirceovo razloženje | beskonečno mnogo razkladov | eksplicitno razloženje | identične razklady,Пеирцеово разложенье | бесконечно много разкладов | експлицитно разложенье | идентичне разклады,9,F10-1
decomposition-identity,noether_corpus,decomposition identity,Zerlegungsidentität | dualististische Zerlegungsidentität,,,dualistična razkladna identičnost | razkladna identičnost,,3,F10-1
dedekind-mertens-theorem,noether_corpus,Dedekind-Mertens theorem,Dedekind-Mertensscher Satz,теорема Дедекінда--Мертенса,теорема Дедекинда--Мертенса,Dedekind--Mertensov teorem | teorem Dedekinda--Mertensa,Дедекинд--Мертенсов теорем | теорем Дедекинда--Мертенса,2,F10-0
definition,proof_grammar,definition,"Produkt von Idealen / Definition IIIa | Ring in abstrakter Definition | die Definition deckt sich mit der in §7, 1 | die in der Literatur übliche Definition der vollständigen Reduzibilität",добуток ідеалів | кільце в абстрактному означенні,кольцо в абстрактном определении | произведение идеалов,"definicija se pokryva s definicijeju v §7, 1 | kolco v abstraktnoj definiciji | obična v literaturě definicija polnoj razložimosti | produkt idealov","дефиниција се покрыва с дефиницијеју в §7, 1 | колцо в абстрактној дефиницији | обична в литературе дефиниција полној разложимости | продукт идеалов",4,"F10-1,F10-3"
degree,curriculum_algebra,degree,Grad eines Primideals | beschränkt in x_i / den Grad k nicht erreichen | reduzierter Grad | reduzierter Grad / Exponent,зведений степінь | обмежений за x_i / не досягає степеня k | редукований степінь / експонента | степінь простого ідеалу,ограниченный по x_i / не достигает степени k | приведенная степень | редуцированная степень / экспонента | степень простого идеала,ograničeny po x_i / ne dosega stepena k | redukovany stepen | redukovany stepenj / eksponenta | stepenj prostogo ideala,ограничены по x_i / не досега степени k | редукованы степен | редукованы степењ / експонента | степењ простого идеала,4,"F10-0,F10-1"
determinant,curriculum_algebra,determinant,Determinante eines hyperkomplexen Systems | Determinanten aus je n Basiselementen und ihren Konjugierten | k_i-reihige Determinanten | nach 1. wird jede Determinante ... teilbar,k_i-рядні детермінанти,k_i-рядные детерминанты,determinanta hiperkompleksnogo sistema | determinanty iz vsakih n baznyh elementov i jih konjugovanyh elementov | k_i-rędne determinanty | po punktu 1 vsaky determinant ... jest dělimy črez,детерминанта хиперкомплексного система | детерминанты из всакых n базных елементов и јих конјугованых елементов | к_и-рядне детерминанты | по пункту 1 всакы детерминант ... јест делимы чрез,4,"F10-0,F10-1"
diagonal-entry,curriculum_algebra,diagonal entry,Diagonalglied,діагональний член,диагональный член,diagonalny člen,диагоналны член,1,F10-1
dimension,curriculum_algebra,dimension,Arithmetische Fassung des Dimensionsbegriffes | Dimension schlechthin | Potenzprodukte q-ter Dimension | homogene Formen i-ter Dimension,Арифметичне формулювання поняття розмірності | розмірність у власному сенсі | степеневі добутки q-го ступеня,Арифметическая формулировка понятия размерности | размерность в собственном смысле | степенные произведения q-й степени,Aritmetična formulacija pojma dimenzije | dimenzija v sobstvenom smyslu | homogene formy i-toj dimenzije | stepenove produkty q-oj stepeni,Аритметична формулација појма димензије | димензија в собственом смыслу | степенове продукты q-ој степени | хомогене формы i-тој димензије,4,F10-1
direct-factor,curriculum_algebra,direct factor,direkt unzerlegbare Faktoren | direkter Faktor,прямий фактор | прямо нерозкладні фактори,прямо неразложимые факторы | прямой фактор,direktno nerazložime faktory | direktny faktor,директно неразложиме факторы | директны фактор,2,F10-1
direct-sum,curriculum_algebra,direct sum,direkte Summe | direkte Summe / direkter Summand | direkte Summe von Ringen vom Rang eins | direkte Summenzerlegung in Rechtsideale | direkter Summand,пряма сума / прямий доданок | прямий доданок | прямий розклад на праві ідеали,прямая сумма / прямое слагаемое | прямое разложение на правые идеалы | прямое слагаемое,direktna suma | direktna suma / direktny sumand | direktna suma kolc ranga jedan | direktno razloženje na prave idealy,директна сума | директна сума / директны суманд | директна сума колц ранга један | директно разложенье на праве идеалы,5,"F10-0,F10-1,F10-2"
