"metric","value","note"
"branch_prior_frontier","54c8925b4c1ca00ab0bccad8c331157b484a9f53","Prior durable root pointer before this correction."
"branch_current_frontier","8e839c490e413b64f4d5dad9ebc10c84d14a3dab","B3-verified frontier requested by latest wake."
"delta_commit_count","4","Commits from 54C to 8E."
"delta_path_count","83","Changed paths from 54C to 8E."
"branch_visible_r3_packet_rows","78","Branch-visible R3/Arabic packet files indexed at 8E."
"source_pointer_files","15","Local exact source/context/formula/blocker pointer files carried forward."
"source_pointer_rows_total","651","Sum of CSV data rows in pointer files."
"review_boundary_rows","8","Language-boundary guards."
"blocker_recovery_rows","5","Exact blocker/recovery rows."
"mutual_wake_rows","16","Fresh sibling scan/wake ledger rows."
"idle_sibling_wakes_sent_this_cycle","1","Only Noether B steward was idle in the fresh scan; active/unread siblings were not duplicate-woken."
