"field","value","source","boundary"
"requested_frontier","9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","user/coordinator wake message","verified prior OLP package frontier"
"requested_frontier_verified_packages","OLP_9F97502E_SOURCE_USE_FABLE_D214_ROUTE_REFRESH OK=13/NONOK=0; OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH OK=12/NONOK=0","coordinator wake message","package validation context only"
"observed_remote_frontier","61f213fafabc80e526dcb5a169b9a5e47732e4d8","fetch + origin/codex/noether-pc-20260629","package visibility only"
"observed_subject","Add 9F OLP source-use interlinear refresh","git log -1 origin/codex/noether-pc-20260629","package visibility only"
"observed_parent","9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","git log -1 --pretty=%P origin/codex/noether-pc-20260629","prior package lineage"
"compare_9f_to_observed_ahead_by","1","git log 9f97502e..origin/codex/noether-pc-20260629","package visibility only"
"compare_9f_to_observed_changed_paths","44","git diff --name-only 9f97502e..origin/codex/noether-pc-20260629","package visibility only"
"changed_path_signal","B3 post-9F OLP source-use/interlinear route refresh batch plus uploader-transfer copies of the two 9F OLP packages","path inventory over 9f97502e..origin/codex/noether-pc-20260629","package visibility only; not reviewer/source return"
"source_use_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_9F97502E_SOURCE_USE_FABLE_D214_ROUTE_REFRESH_20260707","local artifact path","prior package lineage"
"interlinear_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707","local artifact path","prior package lineage"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence found in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
