"branch_head","claim","value","evidence_basis"
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"61f213fafabc80e526dcb5a169b9a5e47732e4d8","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
