evidence_id	origin_locator	bytes	sha256	lineage	witness_role	accepted_state	authority_role
ZERO_ACCEPTED_01	cleaned_original_language_pdfs_001_029/26_Local_constants_in_the_functional_equation_of_the_Artin_L_function_of_an_orthogonal_repr.pdf	165466	D936E4D4893C4998EE3A3CAAA75ED41D7046582610FB279348F4AED115AA3FC0	CURRENT_CLEANED_RECOMBINED_BRANCH	RAW_PRIOR_CLEANED_FRENCH_PDF	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_02	compiled_source_pdfs_001_029_pass2/Paper_26.pdf	145913	42EEA1B1706CCD964F48F8FC1CC4FB63C066DB45B3FE19F6BB551840AA8933FB	CURRENT_COMPILED_SOURCE_BRANCH	RAW_PRIOR_COMPILED_FRENCH_PDF	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_03	reports/cleaned_original_language_papers_001_029_manifest.csv#D026_ROW	501	F35F597ECDCABE8D77C377B5D6701285EE8F9CA991CAFFBA9B29C5648106FC3C	CURRENT_BATCH06_REPORT_LINEAGE	DERIVED_EXACT_D026_REPORT_ROW	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_04	reports/cleaned_source_segment_compile_status_001_029.csv#D026_ROW	78	26B1E3BC8B18BD3D42A3318B2D1069A582574828363DF82AFF2DFEB385958488	CURRENT_BATCH06_REPORT_LINEAGE	DERIVED_EXACT_D026_REPORT_ROW	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_05	reports/deligne_bilingual_status_batch06.csv#D026_ROW	355	3CB3B461B30465F3E6889CE3846381B7701D4FAEEA291CA3E0AFD4DBE2FABEB0	CURRENT_BATCH06_REPORT_LINEAGE	DERIVED_EXACT_D026_REPORT_ROW	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_06	reports/deligne_translation_status_batch06.csv#D026_ROW	204	EDF1A9398E31D516590E5A7D1C9F8C7459DDB1AA13C2807DFCAB99A5F871ED49	CURRENT_BATCH06_REPORT_LINEAGE	DERIVED_EXACT_D026_REPORT_ROW	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_07	source_tex_cleaned_001_029/Paper_26.tex	54144	C52AA9D5FBDF27DC84CAA7C3EFDC49FF960A00C798B79D5F6923C09B8497B916	CURRENT_CLEANED_TEX_BRANCH	RAW_PRIOR_FRENCH_TEX_CANDIDATE	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_08	D026_contact.jpg	1203200	D3007879D6D0260400E6A7D9217B2C894D211AA500EA5AF767C35D11B0FF62F2	D021_D045_DIAGRAM_CARRIER_D026_SUBSET	RAW_D026_CONTACT_SHEET_WITNESS	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_09	D026_p001_diag01.png	39786	9FAC2DDBC0C518A2856E11270A63EDFD7298D87D2E1AFF11B428746042D5B98E	D021_D045_DIAGRAM_CARRIER_D026_SUBSET	RAW_D026_DIAGRAM_OR_FORMULA_CROP_WITNESS	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
ZERO_ACCEPTED_10	D026_p001_diag02.png	12640	2CAB67A67A31F6730A82820DE01F5AE97DD8FAE3657324809AD128148DD6E85D	D021_D045_DIAGRAM_CARRIER_D026_SUBSET	RAW_D026_DIAGRAM_OR_FORMULA_CROP_WITNESS	ZERO_ACCEPTED	NONE_COMPARISON_ROUTING_ONLY
