"field","value"
"packet","SLAVIC_28019A34_CURRENT_HEAD_LOCAL_RETURN_WATCHER_20260707"
"generated_local_time","2026-07-07T11:05:33+02:00"
"prior_frontier","94419346d6fbcdb3442b0fa9ec48c4f2ea3d23a9"
"verified_live_frontier","28019a34851454d37431f2c900c80b45ea90f23e"
"packet_head_frontier","28019a34851454d37431f2c900c80b45ea90f23e"
"frontier_note","live branch advanced from intermediate 94419346 to current-head 28019A34 during watcher run"
"commit_count","1"
"changed_path_count","63"
"direct_slavic_uploader_paths","13"
"slavic_return_package","SLAVIC_9737E10C_HEARTBEAT_REFRESH_RECOVERY_20260707"
"b3_slavic_return_status","package_status=ok; manifest_bad=0; sha_bad=0; placeholder_hits=0; credential_hits=0"
"canonical_slavic_mutation","none_observed_beyond_returned_watcher_packet"
"interslavic_state_c","retained: E=2341; W=223; S=239; D1=1.753704"
"claim_boundary","source-use/provenance/gap/generated-draft/non-canonical only; no review/approval/license/gate/source-cert/final/translation-completion claim"
"push_policy","language lane no push; B3 already returned branch-visible package"
