"path","top_category","package_root","lane_class","direct_slavic_uploader_path","trigger_class","canonical_slavic_mutation"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/B3_ACTION_SUMMARY.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","package_accounting_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/BRANCH_PR_STATE.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","non_slavic_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/MANIFEST.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","package_accounting_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/MANIFEST_REPLAY.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","package_accounting_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/PACKAGE_FILE_LEDGER.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","non_slavic_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/PACKAGE_ROOT_SUMMARY.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","package_accounting_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/README.md","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","non_slavic_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/SAFETY_SCAN_HITS.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","non_slavic_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/SHA256SUMS.txt","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","package_accounting_visibility","no_new_canonical_mutation_observed"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_94419346_9737_SAME_FRONTIER_LOCAL_RETURNS_BATCH_20260707/SHA256SUMS_REPLAY.csv","transfer-audits","transfer-audits/session12-20260705","b3_transfer_audit_visibility","False","package_accounting_visibility","no_new_canonical_mutation_observed"
