path,role,status
README.md,tranche overview,final
STATUS.md,gate and localization status,final
CLAIM_AND_CURSOR.md,non-overlapping claim and source cursor,final
SOURCE_USE.md,authority and boundary policy,final
SOURCE_CHECK.md,complete source reconciliation report,final
SOURCE_UNIT_MAP.csv,source-to-target unit map,final
TERMINOLOGY.md,sense-window terminology ledger,final
LOCALIZATION_STATUS.csv,explicit language and regional status,final
BUILD_REPORT.md,build and extraction report,final
RENDER_CHECK.md,complete rendered visual inspection report,final
source/Noether_Paper33_German_P31_section_interval_exact_CRLF.tex,byte-exact full marker interval boundary witness,frozen
source/Noether_Paper33_German_P31_logical_article_exact_CRLF.tex,byte-exact logical translation source,frozen
source/Noether_Paper33_German_P31_Sealed_control.tex,standalone German control wrapper,final
source/Noether_Paper33_German_P31_Sealed_control.log,final German build log,final
source/Noether_Paper33_German_P31_Sealed_control.pdf,final German control PDF,final
witness/Noether_Paper33_SimplifiedChinese_Inherited_declared_block_exact_CRLF.tex,full inherited BEGIN-END translation witness,frozen
witness/Noether_Paper33_SimplifiedChinese_Inherited_declared_unit_exact_CRLF.tex,inherited section-through-END witness,frozen
witness/Noether_Paper33_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex,inherited logical translation witness,frozen
witness/Noether_Paper33_SimplifiedChinese_structural_next_section_boundary_defect_exact_CRLF.tex,adverse inherited boundary extraction,frozen
zh-Hans-CN/Noether_Paper33_Chinese_P31Reconciled_zh-Hans-CN_v001.tex,editable PRC-oriented Simplified Chinese target,final_internal
zh-Hans-CN/Noether_Paper33_Chinese_P31Reconciled_zh-Hans-CN_v001.log,final Hans build log,final
zh-Hans-CN/Noether_Paper33_Chinese_P31Reconciled_zh-Hans-CN_v001.pdf,final Hans PDF,final_internal
zh-Hant-controlled/Noether_Paper33_Chinese_P31Reconciled_zh-Hant-controlled_v001.tex,editable controlled non-localized Traditional-script target,final_internal
zh-Hant-controlled/Noether_Paper33_Chinese_P31Reconciled_zh-Hant-controlled_v001.log,final Hant build log,final
zh-Hant-controlled/Noether_Paper33_Chinese_P31Reconciled_zh-Hant-controlled_v001.pdf,final controlled Hant PDF,final_internal
evidence/CHINESE_NATIVE_EVIDENCE_LEDGER.csv,Chinese native and continuity evidence ledger,final
evidence/CHINESE_ADVERSE_EVIDENCE_LEDGER.csv,adverse evidence and gap ledger,final
evidence/NOE-P33_CJKV_CROSSWALK.csv,18-field sense/basin/dominance crosswalk,final
evidence/NOE-P33_TYPED_EVIDENCE_GRAPH.json,typed concept/evidence/decision graph,final
decisions/NOE-P33-TERMINOLOGY-BUNDLE.zh-Hans-CN.json,schema-valid Hans terminology decision,final_internal
decisions/NOE-P33-ZH-HANT-SCRIPT.json,schema-valid controlled Hant decision,final_internal
qa/source_version_cursor.json,exact source/witness/version cursor,final
qa/source_alignment_checks.json,source structure notation and math checks,final
qa/HANS_HANT_SCRIPT_DIFF_REPORT.json,Hans/Hant math and conversion comparison,final
qa/OPENCC_CONVERSION_RECORD.json,OpenCC and controlled-variant provenance,final
qa/BUILD_LOG.json,machine-readable build result,final
qa/Noether_Paper33_zh-Hans-CN_OpenCC_s2t_raw.tex,raw OpenCC s2t output,frozen
qa/Noether_Paper33_German_P31_Sealed_control.txt,German PDF text extraction,final
qa/Noether_Paper33_Chinese_P31Reconciled_zh-Hans-CN_v001.txt,Hans PDF text extraction,final
qa/Noether_Paper33_Chinese_P31Reconciled_zh-Hant-controlled_v001.txt,Hant PDF text extraction,final
rendered/german/page-1.png,German final page render 1,visually_inspected
rendered/german/page-2.png,German final page render 2,visually_inspected
rendered/german/page-3.png,German final page render 3,visually_inspected
rendered/zh-Hans-CN/page-1.png,Hans final page render 1,visually_inspected
rendered/zh-Hans-CN/page-2.png,Hans final page render 2,visually_inspected
rendered/zh-Hant-controlled/page-1.png,Hant final page render 1,visually_inspected
rendered/zh-Hant-controlled/page-2.png,Hant final page render 2,visually_inspected
SHA256SUMS.txt,checksum inventory generated after manifest freeze,final
